window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,1.5648427,1.0257734,0.959953,0.6313492,0.0,0.0,1.0,40.827507,1.3999232,0.0,0.1386327,1.3365889,1.0
1,1.7544523,1.0823431,0.93664944,0.7233107,0.0,0.0,1.0,40.83383,1.6974735,0.0,0.11366869,1.0959052,1.0
2,1.3714566,0.9972869,0.79408026,0.7615683,0.0,0.0,1.0,40.83383,1.2500875,0.0,0.13249311,1.2773957,1.0
3,1.1147388,0.9715547,0.9543746,0.46381834,0.0,0.0,1.0,40.84726,1.1147388,0.0,0.1023783,0.9870521,0.0
4,0.44069368,0.83919245,0.8110936,0.74093837,0.0,0.0,1.0,40.161896,0.4185281,0.0,0.11941601,1.1513165,1.0
5,0.61493754,0.8746542,0.75533503,0.705311,0.0,0.0,1.0,39.651104,0.6050528,0.0,0.10856268,1.046677,1.0
6,1.7365276,1.0829096,0.8312523,0.89386284,0.0,0.0,1.0,38.53748,1.7004532,0.0,0.11000816,1.0606133,1.0
7,1.4082226,1.0132549,0.8364603,0.69806033,0.0,0.0,1.0,38.53748,1.3340772,0.0,0.12019162,1.1587943,1.0
8,1.3215822,0.9918277,0.83107716,0.7443879,0.0,0.0,1.0,37.507042,1.2213727,0.0,0.12803552,1.234419,1.0
9,1.5850302,1.0419828,0.833628,0.74311894,0.0,0.0,1.0,36.507008,1.4851828,0.0,0.12364438,1.1920831,1.0
10,1.2545253,0.99633324,0.8280401,0.7988849,0.0,0.0,1.0,20.001831,1.2450713,0.0,0.10597148,1.0216947,1.0
11,0.4964029,0.8528177,0.78735054,0.830484,0.0,0.0,1.0,20.296911,0.49019548,0.0,0.10747396,1.0361805,1.0
12,1.0797608,0.9649047,0.8240001,0.82506114,0.0,0.0,1.0,20.035082,1.0797608,0.0,0.09139943,0.88120234,0.0
13,1.0569499,0.94602334,0.9308578,0.8401008,0.0,0.0,1.0,19.566402,0.98044676,0.0,0.12684484,1.2229395,1.0
14,2.556075,1.2170395,1.0242952,0.8219391,0.0,0.0,1.0,19.099016,2.4059615,0.0,0.12221104,1.1782639,1.0
15,2.2063155,1.1566318,1.1359273,0.93142,0.0,0.0,1.0,35.998207,2.088224,0.0,0.12048003,1.161575,1.0
16,1.3058221,1.0043079,0.9630188,0.8144074,0.0,0.0,1.0,37.903282,1.2870169,0.0,0.108051345,1.0417472,1.0
17,1.4086361,1.004512,0.9185987,0.8127865,0.0,0.0,1.0,37.25186,1.2880903,0.0,0.13145483,1.2673854,1.0
18,1.250871,0.99743587,0.8751566,0.77677804,0.0,0.0,1.0,37.25186,1.250871,0.0,0.10151726,0.9787506,0.0
19,0.9987413,0.9411053,1.1045984,0.75782204,0.0,0.0,1.0,37.25186,0.95457846,0.0,0.11743152,1.1321836,1.0
20,0.15292452,0.7886964,0.86239594,0.7705451,0.0,0.0,1.0,43.209473,0.15292452,0.0,0.08213999,0.79193,0.0
21,0.2573524,0.8076204,0.9727555,0.7571917,0.0,0.0,1.0,42.46784,0.25246266,0.0,0.109461,1.055338,1.0
22,0.08181619,0.7746715,1.1234293,0.73269004,0.0,0.0,1.0,43.9271,0.07915503,0.0,0.11368433,1.096056,1.0
23,1.1007756,0.9689,1.0245503,0.80614156,0.0,0.0,1.0,55.340225,1.1007756,0.24246874,0.101807125,0.98154527,0.0
24,1.1396796,0.9699989,0.95993185,0.64870876,0.0,0.0,1.0,57.152065,1.1065555,0.30390444,0.112592235,1.085527,1.0
25,1.4468111,1.0346876,1.068924,0.8726148,0.0,0.0,1.0,73.37678,1.4468111,0.85405046,0.08346374,0.8046926,0.0
26,2.3037472,1.1976067,1.0598112,0.79379374,0.0,0.0,1.0,78.123474,2.3037472,1.0150009,0.095014624,0.9160572,0.0
27,1.2825242,1.0034537,1.0512048,0.5429026,0.0,0.0,1.0,84.82677,1.2825242,1.2422956,0.09629733,0.92842406,0.0
28,2.914163,1.3136578,1.2760705,1.1905524,0.0,0.0,1.0,84.82677,2.914163,1.2422956,0.08211044,0.7916451,0.0
29,2.1425848,1.1669668,1.2089635,1.0456382,0.0,0.0,1.0,90.82718,2.1425848,1.445757,0.08210971,0.7916381,0.0
30,1.8932384,1.0901344,1.1549214,0.7430926,0.0,0.0,1.0,98.33402,1.7384548,1.7002983,0.13010654,1.2543862,1.0
31,1.3602387,0.8725594,1.1701341,1.0048329,0.0,0.0,1.0,98.33402,0.59403473,1.7002983,0.115150034,1.1101872,1.0
32,2.5215893,1.2390224,1.1824312,0.79345006,0.0,0.0,1.0,111.47667,2.5215893,2.145938,0.096315,0.9285944,0.0
33,2.1014218,1.0614187,1.2275478,0.70435464,0.0,0.0,1.0,125.65741,1.5874133,2.6267772,0.119074136,1.1480204,1.0
34,2.75782,1.2623621,1.3048819,1.037856,0.0,0.0,1.0,125.65741,2.6443536,2.6267772,0.116437174,1.1225969,1.0
35,2.7160063,1.2714705,1.2792315,0.5851955,0.0,0.0,1.0,134.03682,2.692263,2.9109054,0.106334776,1.0251974,1.0
36,2.8165622,1.2929574,1.244372,0.6904687,0.0,0.0,1.0,134.03682,2.8052816,2.9109054,0.10491295,1.0114892,1.0
37,2.831342,1.2949401,1.2082765,0.64581156,0.0,0.0,1.0,139.23662,2.8157103,3.0872197,0.105366446,1.0158615,1.0
38,2.469776,1.1364894,1.1692737,0.6557168,0.0,0.0,1.0,139.23662,1.982277,3.0872197,0.11165395,1.0764806,1.0
39,2.469776,1.2094637,1.230996,0.83585465,0.0,0.0,1.0,139.23662,2.366114,3.0872197,0.10948319,1.0555519,1.0
40,2.8009355,1.0369729,0.9873265,0.6548616,0.0,0.0,1.0,151.44467,1.4588312,3.5011692,0.13169777,1.2697277,1.0
41,2.0694435,0.95551413,1.0537242,0.62063295,0.0,0.0,1.0,124.478546,1.0303673,2.5868044,0.116850704,1.1265837,1.0
42,1.8424572,1.091287,1.0825546,0.6105072,0.0,0.0,1.0,116.110794,1.7445176,2.3030715,0.11366575,1.0958769,1.0
43,1.6812695,1.0400271,1.0537736,0.6873175,0.0,0.0,1.0,110.16868,1.4748963,2.1015868,0.0959666,0.92523545,0.0
44,2.3342447,1.2034048,1.1744058,0.76808465,0.0,0.0,1.0,95.963356,2.3342447,1.619914,0.10246537,0.9878915,0.0
45,1.2959312,0.91847265,0.919146,0.6663992,0.0,0.0,1.0,95.963356,0.83553314,1.619914,0.09118734,0.87915754,0.0
46,1.0337775,0.8136389,0.8355324,0.41911274,0.0,0.0,1.0,86.29917,0.2841194,1.2922218,0.11919185,1.1491553,1.0
47,1.0084689,0.81421006,0.8755757,0.7176033,0.0,0.0,1.0,85.36618,0.28712347,1.260586,0.11173688,1.0772802,1.0
48,0.9437582,0.83840925,0.9360727,0.6377642,0.0,0.0,1.0,82.98065,0.41440853,1.1796978,0.13103878,1.2633742,1.0
49,0.6929455,0.8767181,0.71346134,0.65661436,0.0,0.0,1.0,66.44496,0.61590886,0.6190071,0.14078768,1.3573655,1.0
50,0.4829801,0.8432582,0.6978709,0.60370964,0.0,0.0,1.0,59.044117,0.4399135,0.36805996,0.13273297,1.2797083,1.0
51,0.5520384,0.855737,0.7131983,0.6228994,0.0,0.0,1.0,55.49556,0.50555044,0.2477358,0.13097185,1.2627288,1.0
52,0.16541912,0.77654576,0.69667715,0.55024946,0.0,0.0,1.0,54.287525,0.08901347,0.20677389,0.13039882,1.2572042,1.0
53,0.17055361,0.7895823,0.7375563,0.4351969,0.0,0.0,1.0,54.476807,0.15758428,0.21319202,0.08635995,0.83261555,0.0
54,0.681443,0.8891773,0.9429629,0.6728692,0.0,0.0,1.0,55.122128,0.681443,0.2350735,0.09759554,0.94094044,0.0
55,0.4010295,0.82865024,0.7954956,0.6455776,0.0,0.0,1.0,55.42657,0.36307722,0.24539654,0.13469823,1.2986557,1.0
56,0.15667784,0.5783208,0.69786173,0.5699698,0.0,0.0,1.0,53.965282,0.0,0.1958473,0.13111082,1.2640687,1.0
57,1.9487996,1.0635232,0.93978375,0.6265686,0.0,0.0,1.0,53.965282,1.5984828,0.1958473,0.16866733,1.6261594,1.0
