window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,25.241505,4.223667,4.223842,0.0009726118,0.0,0.0,1.0,2.0023816,20.0,0.0,0.15930238,1.7487863,1.0
1,27.276226,4.222257,4.2224207,0.0010067561,0.0,0.0,1.0,2.0023818,20.0,0.0,0.18578082,2.039461,1.0
2,27.562313,4.2225227,4.222689,0.0009819733,0.0,0.0,1.0,2.00239,20.0,0.0,0.18950379,2.0803306,1.0
3,25.176243,4.2224917,4.2226562,0.0009826974,0.0,0.0,1.0,2.0024226,20.0,8.923077,0.1584531,1.7394632,1.0
4,26.911243,4.222365,4.2225266,0.0009975877,0.0,0.0,1.0,2.00239,20.0,0.0,0.18103121,1.9873207,1.0
5,25.54801,4.223595,4.2237716,0.0009791456,0.0,0.0,1.0,2.0023818,20.0,0.0,0.16329102,1.7925727,1.0
6,26.633888,4.2236567,4.2238317,0.0009742802,0.0,0.0,1.0,2.0024064,20.0,3.6923077,0.17742187,1.947698,1.0
7,28.543436,4.223787,4.2239623,0.0009696592,0.0,0.0,1.0,2.0023816,20.0,0.0,0.20227142,2.220491,1.0
8,28.622757,4.2236977,4.223873,0.0009726118,0.0,0.0,1.0,2.0023818,20.0,0.0,0.20330362,2.2318223,1.0
9,27.850758,4.2243376,4.2245154,0.000961357,0.0,0.0,1.0,2.00239,20.0,0.0,0.19325736,2.1215365,1.0
10,27.694172,4.2245765,4.2247562,0.0009647028,0.0,0.0,1.0,2.0024226,20.0,8.923077,0.1912197,2.0991676,1.0
11,27.134144,4.2246056,4.2247853,0.0009647028,0.0,0.0,1.0,2.00239,20.0,0.0,0.18393189,2.0191636,1.0
12,26.612854,4.2247615,4.224942,0.0009676945,0.0,0.0,1.0,2.0023572,20.0,0.0,0.17714816,1.9446933,1.0
13,26.299747,4.224787,4.224968,0.0009676945,0.0,0.0,1.0,2.0024064,20.0,3.6923077,0.17307363,1.8999641,1.0
14,26.372566,4.224538,4.2247157,0.0009633994,0.0,0.0,1.0,2.002398,20.0,1.0,0.17402121,1.9103664,1.0
15,25.865679,4.2245283,4.2247057,0.00096232427,0.0,0.0,1.0,2.0024064,20.0,3.6923077,0.16742495,1.837954,1.0
16,25.831932,4.2245245,4.2247024,0.00096339954,0.0,0.0,1.0,2.0024061,20.0,3.6153846,0.16698581,1.8331333,1.0
17,25.656282,4.2245393,4.224717,0.0009633994,0.0,0.0,1.0,2.0024142,20.0,6.230769,0.16470003,1.8080405,1.0
18,25.693932,4.2245746,4.2247524,0.0009633994,0.0,0.0,1.0,2.00239,20.0,0.0,0.16518997,1.813419,1.0
19,25.627075,4.2245917,4.22477,0.0009633994,0.0,0.0,1.0,2.0023572,20.0,0.0,0.16431992,1.8038677,1.0
20,25.740595,4.224644,4.224824,0.0009640904,0.0,0.0,1.0,2.0024064,20.0,3.6923077,0.16579722,1.8200852,1.0
21,25.710888,4.2246675,4.224848,0.0009640903,0.0,0.0,1.0,2.002398,20.0,1.0,0.16541061,1.8158411,1.0
22,25.90166,4.224724,4.2249045,0.0009647028,0.0,0.0,1.0,2.0024064,20.0,3.6923077,0.1678932,1.8430945,1.0
23,25.803862,4.2247243,4.2249045,0.0009640903,0.0,0.0,1.0,2.0023816,20.0,0.0,0.1666205,1.8291229,1.0
24,25.94476,4.224774,4.2249546,0.0009647028,0.0,0.0,1.0,2.00239,20.0,0.0,0.16845407,1.8492515,1.0
25,25.755167,4.2247243,4.2249045,0.0009640903,0.0,0.0,1.0,2.00239,20.0,0.0,0.16598682,1.8221667,1.0
26,25.798088,4.224847,4.2250266,0.00096565095,0.0,0.0,1.0,2.0023572,20.0,0.0,0.16654536,1.8282982,1.0
27,25.704927,4.2248406,4.22502,0.00096565095,0.0,0.0,1.0,2.0023737,20.0,0.0,0.16533305,1.8149897,1.0
28,26.04998,4.224781,4.2249613,0.0009640903,0.0,0.0,1.0,2.00239,20.0,0.0,0.16982333,1.864283,1.0
