window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,4.5575166,1.3505145,1.4542186,0.8819128,0.0,0.0,1.0,1.6862983,4.0964,0.0,0.12557328,1.3216181,1.0
1,4.801622,1.3792173,1.3374562,0.93489724,0.0,0.0,1.0,1.6862092,4.2932367,0.0,0.12716112,1.3383296,1.0
2,5.203917,1.3739396,1.567341,0.8581249,0.0,0.0,1.0,3.035422,4.2570443,1.6456763,0.15539666,1.6354995,1.0
3,5.387995,1.404945,1.427846,0.9200787,0.0,0.0,1.0,3.035422,4.469672,1.6456763,0.15079021,1.5870181,1.0
4,5.4496803,1.3956898,1.4622613,0.9429081,0.0,0.0,1.0,3.035422,4.4062023,1.6456763,0.15930459,1.6766292,1.0
5,5.4657793,1.397113,1.4754943,0.9598722,0.0,0.0,1.0,3.035422,4.4159617,1.6456763,0.15955226,1.6792358,1.0
6,6.0108714,1.4349704,1.5051671,0.9432873,0.0,0.0,1.0,3.035422,4.675579,1.6456763,0.1725438,1.8159674,1.0
7,4.957537,1.3486906,1.4790906,0.9007124,0.0,0.0,1.0,4.0469446,4.083892,2.9916391,0.15308912,1.6112133,1.0
8,5.151196,1.3334146,1.4772443,0.9230237,0.0,0.0,1.0,6.0695624,3.9791322,5.6829963,0.17497727,1.8415791,1.0
9,6.200078,1.4784348,1.4511945,0.9598722,0.0,0.0,1.0,4.0469446,4.9736485,2.9916391,0.16195558,1.70453,1.0
10,4.8778963,1.316811,1.4066014,0.92620546,0.0,0.0,1.0,6.0695624,3.8652685,5.6829963,0.16613509,1.748518,1.0
11,6.7835965,1.5345494,1.4356116,0.9572197,0.0,0.0,1.0,6.0695624,5.3584695,5.6829963,0.16721462,1.7598796,1.0
12,5.050457,1.3253392,1.4815784,0.89833933,0.0,0.0,1.0,4.0469446,3.9237533,2.9916391,0.1729675,1.8204268,1.0
13,7.875027,1.6561433,1.5215865,0.9173624,0.0,0.0,1.0,6.0695624,6.192333,5.6829963,0.16878383,1.7763951,1.0
14,4.362841,1.2484521,1.4980375,0.8730706,0.0,0.0,1.0,4.0469446,3.3964787,2.9916391,0.17225343,1.8129115,1.0
15,7.1722608,1.6444688,1.622668,0.95299566,0.0,0.0,1.0,3.035422,6.112272,1.6456763,0.14209324,1.4954853,1.0
16,4.315616,1.2963922,1.487458,0.97747034,0.0,0.0,1.0,3.035422,3.7252412,1.6456763,0.13803743,1.4527992,1.0
17,4.619073,1.3944783,1.4171796,0.90165037,0.0,0.0,1.0,3.035422,4.397894,1.6456763,0.10866761,1.1436914,1.0
18,3.8912334,1.2988003,1.4707884,0.9007572,0.0,0.0,1.0,3.372264,3.7417557,2.0938883,0.10585967,1.1141387,1.0
19,3.5814714,1.2754277,1.6102997,0.92657775,0.0,0.0,1.0,2.3609314,3.5814714,0.7481783,0.08472264,0.8916783,0.0
20,3.8309464,1.2981455,1.6037058,0.9255888,0.0,0.0,1.0,2.3609314,3.7372653,0.7481783,0.1018197,1.0716194,1.0
21,4.460469,1.314757,1.4171717,0.98236865,0.0,0.0,1.0,2.3609314,3.851183,0.7481783,0.13796352,1.4520214,1.0
22,3.7568824,1.2681142,1.3197143,0.89516604,0.0,0.0,1.0,2.3609314,3.5313172,0.7481783,0.11235519,1.1825019,1.0
23,4.978038,1.4487989,1.6539632,0.91836464,0.0,0.0,1.0,2.36086,4.770412,0.7480835,0.10683022,1.1243534,1.0
24,3.6910534,1.2737876,1.3883402,0.9183197,0.0,0.0,1.0,2.3609314,3.570224,0.7481783,0.10420236,1.096696,1.0
25,4.493604,1.3271525,1.427333,0.93695325,0.0,0.0,1.0,2.3609314,3.9361885,0.7481783,0.13345863,1.4046088,1.0
26,4.2699766,1.2982556,1.286587,0.87611747,0.0,0.0,1.0,2.3609314,3.7380197,0.7481783,0.13364777,1.4065994,1.0
27,4.910014,1.321147,1.4315015,1.003127,0.0,0.0,1.0,2.3609314,3.8950038,0.7481783,0.1657582,1.7445514,1.0
28,4.2787437,1.3092586,1.4602968,0.8458012,0.0,0.0,1.0,2.3609314,3.813476,0.7481783,0.12813593,1.3485892,1.0
29,4.4694033,1.2736442,1.3437068,0.97160786,0.0,0.0,1.0,2.3609314,3.5692406,0.7481783,0.1634798,1.720572,1.0
30,4.975198,1.3613958,1.4110268,0.9782081,0.0,0.0,1.0,2.3609314,4.1710215,0.7481783,0.1473546,1.5508595,1.0
31,5.0151887,1.3400582,1.3273342,0.98546624,0.0,0.0,1.0,2.3609314,4.024693,0.7481783,0.16182505,1.7031561,1.0
32,4.4884224,1.2991083,1.2985176,0.9210173,0.0,0.0,1.0,2.3609314,3.7438674,0.7481783,0.14900312,1.5682095,1.0
33,3.786821,1.1915702,1.2891868,0.94286233,0.0,0.0,1.0,2.3609314,3.0063953,0.7481783,0.16548553,1.7416816,1.0
34,4.3092966,1.2837801,1.3087926,0.96345174,0.0,0.0,1.0,2.3609314,3.6387503,0.7481783,0.14504127,1.5265124,1.0
35,4.202939,1.2535218,1.4806595,0.8634647,0.0,0.0,1.0,2.3609314,3.4312458,0.7481783,0.1560691,1.6425767,1.0
36,4.1055603,1.2483823,1.3027484,0.9966399,0.0,0.0,1.0,2.3609314,3.3960004,0.7481783,0.1517359,1.5969712,1.0
37,5.194523,1.3461673,1.2771604,0.95297176,0.0,0.0,1.0,2.3609314,4.066588,0.7481783,0.17031172,1.7924756,1.0
38,4.0716233,1.2261678,1.2935684,1.0425808,0.0,0.0,1.0,2.3609314,3.243658,0.7481783,0.16430955,1.7293047,1.0
39,4.319439,1.2893844,1.24233,0.85487086,0.0,0.0,1.0,2.3609314,3.6771832,0.7481783,0.14242983,1.4990277,1.0
40,4.2671175,1.2515302,1.2785368,0.95053434,0.0,0.0,1.0,1.6862803,3.4175875,0.0,0.16249591,1.7102168,1.0
41,5.8493853,1.4470255,1.3203946,0.9790132,0.0,0.0,1.0,1.6862803,4.7582507,0.0,0.15726691,1.6551833,1.0
42,3.9586763,1.2414793,1.3070184,1.0391953,0.0,0.0,1.0,1.6861912,3.348661,0.0,0.14446783,1.520477,1.0
43,3.855726,1.270167,1.2583506,0.9124736,0.0,0.0,1.0,1.6861912,3.5453947,0.0,0.118776865,1.250088,1.0
44,3.3865023,1.1601965,1.2719293,0.96826655,0.0,0.0,1.0,1.6862803,2.7912421,0.0,0.15290867,1.6093142,1.0
45,6.398081,1.566723,1.526187,0.88113105,0.0,0.0,1.0,1.6861912,5.5791087,0.0,0.13486473,1.4194076,1.0
46,4.016079,1.2556722,1.3980416,0.9717228,0.0,0.0,1.0,1.6861912,3.4459927,0.0,0.1399255,1.4726704,1.0
47,3.8273704,1.2486935,1.3446332,0.9059815,0.0,0.0,1.0,1.6862803,3.3981342,0.0,0.1293057,1.3609006,1.0
48,6.9636893,1.629793,1.5485102,0.87960535,0.0,0.0,1.0,1.3489815,6.011629,0.0,0.1380076,1.4524852,1.0
49,4.068268,1.2809576,1.2502414,0.85510105,0.0,0.0,1.0,1.3490528,3.619394,0.0,0.12868236,1.3543401,1.0
50,4.3840976,1.3006251,1.372118,0.92242086,0.0,0.0,1.0,1.3490528,3.7542694,0.0,0.14055765,1.4793236,1.0
