window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,4.0777597,0.7711743,0.909939,0.45996743,0.0,0.0,1.0,0.89855635,3.1275399,0.0,0.08563839,1.8680673,1.0
1,3.2341096,0.71764183,0.73576015,0.38874835,0.0,0.0,1.0,1.1230807,2.5350077,0.0,0.0819651,1.7879401,1.0
2,3.5811925,0.75663817,0.7701816,0.40349787,0.0,0.0,1.0,1.1230807,2.9666443,0.0,0.072976336,1.5918645,1.0
3,3.1638894,0.73485583,0.70031035,0.38557518,0.0,0.0,1.0,1.3475266,2.7255433,0.0,0.06690882,1.4595112,1.0
4,2.198478,0.659306,0.6292799,0.39838883,0.0,0.0,1.0,1.7518075,1.8893087,0.03604739,0.06727721,1.4675469,1.0
5,2.2218263,0.6803578,0.66682655,0.3439372,0.0,0.0,1.0,2.3581522,2.122324,0.30635107,0.051984187,1.1339536,1.0
6,2.6383083,0.72697455,0.7108922,0.3538672,0.0,0.0,1.0,2.6947193,2.6383083,0.45639002,0.0381745,0.8327169,0.0
7,2.7547257,0.7374923,0.72161376,0.35623908,0.0,0.0,1.0,3.8176882,2.7547257,0.9570007,0.03704499,0.8080784,0.0
8,1.6410236,0.6368746,0.6509616,0.39557523,0.0,0.0,1.0,4.266347,1.6410236,1.1570091,0.04095933,0.89346355,0.0
9,1.9798617,0.667487,0.76148874,0.34929413,0.0,0.0,1.0,4.266347,1.9798617,1.1570091,0.040362883,0.88045305,0.0
10,2.1874094,0.67881405,0.6350107,0.41266716,0.0,0.0,1.0,4.266347,2.1052365,1.1570091,0.05095583,1.1115216,1.0
11,3.2911005,0.76083905,0.7853055,0.40942183,0.0,0.0,1.0,4.266347,3.0131423,1.1570091,0.05792611,1.2635673,1.0
12,1.5797372,0.62464476,0.6878908,0.30600056,0.0,0.0,1.0,4.714857,1.5056556,1.3569515,0.05228786,1.1405778,1.0
13,1.997561,0.6656722,0.83388007,0.449378,0.0,0.0,1.0,4.714857,1.9597738,1.3569515,0.0483688,1.0550896,1.0
14,3.9605412,0.81232804,0.9141908,0.37986597,0.0,0.0,1.0,4.714857,3.583056,1.3569515,0.059642527,1.3010083,1.0
15,4.9887195,0.87821156,0.87227535,0.36798787,0.0,0.0,1.0,4.714857,4.3122973,1.3569515,0.06638884,1.4481685,1.0
16,2.448566,0.6866099,0.8805169,0.40944353,0.0,0.0,1.0,4.714857,2.1915264,1.3569515,0.06120578,1.3351082,1.0
17,5.3738217,0.9007999,0.9241393,0.37819058,0.0,0.0,1.0,4.714857,4.5623198,1.3569515,0.069140956,1.5082016,1.0
18,3.9183378,0.77580947,0.88485396,0.3788393,0.0,0.0,1.0,4.714857,3.1788447,1.3569515,0.07631333,1.6646558,1.0
19,4.0507984,0.7844453,0.9473417,0.57894564,0.0,0.0,1.0,4.714857,3.2744317,1.3569515,0.076898836,1.6774276,1.0
20,4.762766,0.85407996,0.9904381,0.56772816,0.0,0.0,1.0,4.714857,4.045193,1.3569515,0.06907788,1.5068257,1.0
