channel,error,precision,recall,f1,tp,tn,fp,fn,context_ood_rate_window,context_ood_rate_point,score_mode,elapsed_seconds
A-1,,1.0,0.5,0.6666666666666666,42.0,8272.0,0.0,42.0,0.0,0.0,counterfactual_successor_memory,105.49247670173645
A-2,,0.24,0.05454545454545454,0.08888888888888889,6.0,7501.0,19.0,104.0,0.1608667104399212,0.6136304062909568,counterfactual_successor_memory,84.71091985702515
A-3,,1.0,0.07567567567567568,0.1407035175879397,14.0,7736.0,0.0,171.0,0.17657475335188463,0.5724024744350461,counterfactual_successor_memory,110.49798321723938
A-4,,0.8648648648648649,0.2909090909090909,0.43537414965986393,32.0,7681.0,5.0,78.0,0.3013751445829585,0.7924576706003078,counterfactual_successor_memory,73.17997479438782
A-5,,0.021739130434782608,0.84,0.04238143289606458,42.0,2469.0,1890.0,8.0,1.0,1.0,counterfactual_successor_memory,21.660412788391113
A-6,,0.36666666666666664,0.825,0.5076923076923077,33.0,4072.0,57.0,7.0,0.8415984593163216,0.9923242983928999,counterfactual_successor_memory,12.999617338180542
A-7,,0.9456830158086745,0.9720833333333333,0.9587014588041914,2333.0,5813.0,134.0,67.0,0.892822851656265,0.9935306097999281,counterfactual_successor_memory,119.83498167991638
A-8,,0.0,0.0,0.0,0.0,4286.0,0.0,3805.0,0.904284299157999,0.9976517117785193,counterfactual_successor_memory,22.506892919540405
A-9,,0.606864770379787,0.9883540372670807,0.7519936989268485,3819.0,1812.0,2474.0,45.0,0.9938537185003073,1.0,counterfactual_successor_memory,21.234599113464355
B-1,,0.9459459459459459,1.0,0.9722222222222222,70.0,7686.0,4.0,0.0,0.0,0.0,counterfactual_successor_memory,71.22750759124756
C-1,,0.0,0.0,0.0,0.0,1630.0,40.0,310.0,0.3053435114503817,0.702020202020202,counterfactual_successor_memory,56.410927057266235
C-2,,0.13026819923371646,0.5037037037037037,0.2070015220700152,68.0,1178.0,454.0,67.0,1.0,1.0,counterfactual_successor_memory,17.58850598335266
D-1,,1.0,0.8931860036832413,0.943579766536965,2910.0,4967.0,0.0,348.0,0.8628501827040195,0.9843161094224924,counterfactual_successor_memory,78.44272947311401
D-11,,1.0,0.2833333333333333,0.44155844155844154,17.0,7087.0,0.0,43.0,0.4569545709478407,0.6583181754582342,counterfactual_successor_memory,112.33199763298035
D-12,,1.0,0.02701715954728003,0.0526128688233203,74.0,4895.0,0.0,2665.0,0.34637091481821763,0.34975111343987425,counterfactual_successor_memory,4.028536319732666
D-13,,1.0,0.4625,0.6324786324786325,74.0,7219.0,0.0,86.0,0.0,0.0,counterfactual_successor_memory,45.46495485305786
D-14,,0.595,0.5409090909090909,0.5666666666666667,119.0,2040.0,81.0,101.0,0.0,0.0,counterfactual_successor_memory,105.62776207923889
D-15,,0.3939393939393939,0.1828125,0.2497331910352188,117.0,1054.0,180.0,523.0,0.6853146853146853,0.9626467449306296,counterfactual_successor_memory,57.70848989486694
D-16,,0.0,0.0,0.0,0.0,1257.0,0.0,650.0,0.607293868921776,0.8327215521761929,counterfactual_successor_memory,51.92000770568848
D-2,,0.9121621621621622,0.03201327958264169,0.061855670103092786,135.0,4081.0,13.0,4082.0,0.0,0.0,counterfactual_successor_memory,74.172287940979
