window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,8.92087,4.4739666,4.477624,0.026938807,21.96312,8.047113,0.0042288583,0.18906106,1.310229,1.0
1,8.037979,4.4689045,4.4723973,0.032707244,21.96312,8.037979,0.0042288583,0.12278089,0.8508948,0.0
2,8.035626,4.4676003,4.4711046,0.026938807,21.96312,8.035626,0.0042288583,0.124758825,0.86460227,0.0
3,8.580686,4.461158,4.466778,0.03588861,21.96312,8.024001,0.0042288583,0.17289875,1.1982211,1.0
4,8.874955,4.4653707,4.468973,0.029935982,21.96312,8.031603,0.0042288583,0.1875868,1.3000121,1.0
5,8.028915,4.4638815,4.47033,0.02911948,21.96312,8.028915,0.0042288583,0.12072499,0.83664703,0.0
6,8.024712,4.4615517,4.4678783,0.02911948,21.96312,8.024712,0.0042288583,0.12931561,0.8961817,0.0
7,8.013128,4.455132,4.455601,0.033016924,21.96312,8.013128,0.0042288583,0.13424163,0.9303199,0.0
8,8.020894,4.459436,4.4630365,0.09487521,21.96312,8.020894,0.0042288583,0.12673081,0.87826854,0.0
9,8.019078,4.45843,4.4639664,0.10833167,21.96312,8.019078,0.0042288583,0.12349248,0.85582626,0.0
10,8.046284,4.4603148,4.467299,0.06838055,21.96312,8.02248,0.0042288583,0.14551948,1.0084776,1.0
11,8.027318,4.462996,4.4710174,0.066718854,21.96312,8.027318,0.0042288583,0.14412569,0.9988183,0.0
12,8.337617,4.4654174,4.470666,0.07174886,21.96312,8.031687,0.0042288583,0.15999988,1.1088295,1.0
13,8.035776,4.4676833,4.4735727,0.03772852,21.96312,8.035776,0.0042288583,0.13423486,0.930273,0.0
14,8.040837,4.470488,4.475758,0.026476331,21.96312,8.040837,0.0042288583,0.1181218,0.8186065,0.0
15,8.037277,4.4685154,4.4735575,0.026476331,21.96312,8.037277,0.0042288583,0.13514514,0.93658143,0.0
16,8.122943,4.468219,4.4744434,0.028375998,21.96312,8.036742,0.0042288583,0.14871821,1.0306454,1.0
17,8.287153,4.4695125,4.476358,0.02911948,21.96312,8.039077,0.0042288583,0.15701853,1.0881681,1.0
18,8.088038,4.469358,4.46988,0.025613906,21.96312,8.038797,0.0042288583,0.14682154,1.0175011,1.0
19,8.156653,4.470638,4.47135,0.04574153,21.96312,8.041107,0.0042288583,0.15022038,1.0410557,1.0
20,8.0577135,4.4698462,4.472175,0.04503029,21.96312,8.039679,0.0042288583,0.14522107,1.0064095,1.0
21,8.044183,4.4723425,4.4772515,0.042923067,21.96312,8.044183,0.0042288583,0.13021915,0.90244335,0.0
22,8.055539,4.475561,4.478992,0.045403928,21.96312,8.049991,0.0042288583,0.14458035,1.0019692,1.0
23,8.053437,4.4774714,4.4808297,0.045403928,21.96312,8.053437,0.0042288583,0.1308291,0.90667045,0.0
24,8.851004,4.473842,4.475076,0.046610445,21.96312,8.046889,0.0042288583,0.18549424,1.2855103,1.0
25,9.283356,4.4711266,4.471909,0.030448737,21.96312,8.041989,0.0042288583,0.20793523,1.4410305,1.0
26,8.688056,4.4712877,4.472278,0.033076834,21.96312,8.04228,0.0042288583,0.17740087,1.2294216,1.0
27,8.331394,4.4721527,4.4731426,0.033076834,21.96312,8.04384,0.0042288583,0.15903434,1.1021382,1.0
28,8.043116,4.4717507,4.4773793,0.035889886,21.96312,8.043116,0.0042288583,0.11253411,0.7798827,0.0
29,8.049354,4.475208,4.4782896,0.029711073,21.96312,8.049354,0.0042288583,0.1308263,0.906651,0.0
30,8.863115,4.484056,4.5871634,0.19720717,21.96312,8.065319,0.0042288583,0.18507718,1.2826198,1.0
31,8.128864,4.4797654,4.4846168,0.025228946,21.96312,8.057577,0.0042288583,0.1479437,1.0252779,1.0
32,9.15902,4.48266,4.520385,0.21171293,21.96312,8.062799,0.0042288583,0.20034926,1.3884583,1.0
33,8.63074,4.486501,4.496379,0.3840138,21.96312,8.069732,0.0042288583,0.1729576,1.1986289,1.0
34,8.112761,4.4797187,4.4860992,0.07978692,21.96312,8.057493,0.0042288583,0.147124,1.0195973,1.0
35,8.07778,4.4909616,4.592009,0.44415084,21.96312,8.07778,0.0042288583,0.13510303,0.9362896,0.0
36,8.060146,4.4811893,4.483163,0.12620986,21.96312,8.060146,0.0042288583,0.1231708,0.853597,0.0
37,8.579219,4.4862165,4.48995,0.3328774,21.96312,8.069218,0.0042288583,0.17035334,1.1805809,1.0
38,8.059265,4.480701,4.482248,0.3692986,21.96312,8.059265,0.0042288583,0.10720968,0.7429834,0.0
39,8.061064,4.4816976,4.4828124,0.037078995,21.96312,8.061064,0.0042288583,0.10294486,0.71342736,0.0
40,8.066893,4.484928,4.4864397,0.30070704,21.96312,8.066893,0.0042288583,0.13020158,0.9023216,0.0
41,8.072586,4.4880834,4.4896393,0.13035691,21.96312,8.072586,0.0042288583,0.10735533,0.74399275,0.0
42,8.071664,4.487572,4.488248,0.11333432,21.96312,8.071664,0.0042288583,0.10193852,0.70645326,0.0
43,8.069701,4.4864845,4.4870214,0.036098503,21.96312,8.069701,0.0042288583,0.12423208,0.8609519,0.0
44,8.072731,4.4881635,4.4885254,0.0418653,21.96312,8.072731,0.0042288583,0.12751602,0.88371015,0.0
45,8.187531,4.487909,4.489649,0.039369255,21.96312,8.072271,0.0042288583,0.15018289,1.0407959,1.0
46,8.07658,4.490297,4.492371,0.035252333,21.96312,8.07658,0.0042288583,0.12036681,0.8341648,0.0
47,8.081065,4.492782,4.493318,0.0037637814,21.96312,8.081065,0.0042288583,0.11273597,0.78128165,0.0
