window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,3.340823,0.9217273,0.87676907,0.42897722,12.983939,1.8074327,4.1760287,0.13941121,1.246824,1.0
1,4.4775233,0.9230703,0.91271144,0.31699952,16.592493,1.8125062,5.596904,0.15075733,1.348298,1.0
2,6.2925544,0.7708074,0.6662563,0.5267324,22.35447,1.2373073,7.865693,0.11452991,1.0242981,1.0
3,8.113682,0.9467302,0.94673157,0.41003948,28.135796,1.9018854,10.142102,0.1536408,1.3740864,1.0
4,9.93481,0.95103383,0.93075097,0.37594593,33.917126,1.918143,12.418511,0.12998194,1.1624933,1.0
5,11.027486,1.0107871,1.0612214,0.33463836,37.38592,2.1438713,13.784357,0.3247464,2.904369,1.0
6,11.0578375,1.0127835,0.9683206,0.2582693,37.482277,2.151413,13.822297,0.14796157,1.3232942,1.0
7,11.3614025,1.0441374,1.000984,0.25483498,38.44597,2.2698574,14.201753,0.15653652,1.3999842,1.0
8,10.568213,1.071573,1.0283401,0.37934262,35.92792,2.3735,13.210266,0.156164,1.3966526,1.0
9,9.980372,1.0707852,1.0133976,0.35420194,34.061768,2.370524,12.475465,0.1619752,1.4486251,1.0
10,10.113162,0.8826736,1.0017473,0.52348185,34.483322,1.6599009,12.641453,0.22740686,2.033813,1.0
11,9.561703,0.8242626,1.032571,0.49702302,32.732666,1.4392434,11.952128,0.22370379,2.0006945,1.0
12,8.521087,1.2614,1.1919646,0.28322768,29.429136,3.0906034,10.651358,0.22464232,2.0090883,1.0
13,8.565816,0.69708335,0.76542413,0.5015716,29.571136,0.9588024,10.70727,0.2441475,2.183533,1.0
14,8.632911,1.2527504,1.1820557,0.28322768,29.784134,3.057928,10.791139,0.24490115,2.1902733,1.0
15,8.677641,0.8451192,0.8530051,0.41955033,29.926132,1.5180327,10.847051,0.22313698,1.9956254,1.0
16,8.789464,0.92110395,0.8804872,0.498826,30.281126,1.8050779,10.98683,0.12808909,1.1455646,1.0
17,8.901288,1.1534913,1.1456838,0.31197578,30.636122,2.68296,11.12661,0.27937365,2.4985778,1.0
18,8.990748,1.1160144,1.0745165,0.40994295,30.92012,2.5413847,11.238435,0.20047423,1.7929411,1.0
19,9.080207,0.8932013,1.0354117,0.40082276,31.204117,1.6996709,11.350259,0.2862559,2.5601294,1.0
20,9.214396,0.6902194,0.73392653,0.5285867,31.630112,0.93287265,11.517996,0.123345114,1.1031369,1.0
21,9.236762,0.9449837,1.0014814,0.4420857,31.70111,1.8952878,11.545952,0.3008849,2.6909637,1.0
22,9.259126,0.81476665,0.86464876,0.49969152,31.772108,1.4033709,11.573907,0.25539747,2.284147,1.0
23,9.3262205,0.9838688,0.96575403,0.4422652,31.985106,2.0421827,11.657775,0.31036025,2.7757065,1.0
24,9.393315,1.0842912,1.038326,0.28582975,32.198105,2.4215453,11.741644,0.33681783,3.01233,1.0
25,9.482775,0.65360695,0.72114676,0.53028303,32.4821,0.794563,11.853468,0.10815302,0.96726644,0.0
26,7.684837,0.6778774,0.9172784,0.3481298,26.77439,0.88624877,9.606046,0.13959034,1.2484261,1.0
27,6.5297837,0.57607186,0.6769017,0.50686693,23.107573,0.5016611,8.16223,0.12889612,1.1527823,1.0
28,6.687158,0.5304508,0.5849384,0.5041258,23.607172,0.32931995,8.358948,0.16439673,1.4702821,1.0
29,6.99068,0.5670205,0.5734496,0.44210815,24.57073,0.467468,8.73835,0.15571725,1.3926572,1.0
30,6.262231,0.579493,0.8234299,0.5104286,22.258204,0.514585,7.8277884,0.1357381,1.2139736,1.0
