window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0239122,0.2836884,0.0
1,0.0,0.0,0.0,0.027083144,0.0,0.0,0.0,0.020261616,0.24037877,0.0
2,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.022391463,0.26564676,0.0
3,0.0,0.0,0.0,0.027083144,0.0,0.0,0.0,0.023381218,0.27738896,0.0
4,0.0,0.0,0.0,0.036920387,0.0,0.0,0.0,0.022554774,0.26758423,0.0
5,0.0,0.0,0.19789127,0.04727766,0.0,0.0,0.0,0.022174653,0.26307458,0.0
6,0.0,0.0,0.0,0.036920387,0.0,0.0,0.0,0.022397595,0.2657195,0.0
7,0.0,0.0,0.0,0.043022618,0.0,0.0,0.0,0.021541953,0.2555684,0.0
8,0.0,0.0,0.19789127,0.04727766,0.0,0.0,0.0,0.020092148,0.23836826,0.0
9,0.0,0.0,0.19789127,0.04727766,0.0,0.0,0.0,0.018309027,0.21721375,0.0
10,0.8640793,0.4369035,0.4938594,0.03676669,0.0,0.8640793,0.0,0.01351185,0.16030122,0.0
11,0.47329286,0.23931058,0.47880414,0.045290876,0.0,0.47329286,0.0,0.009762292,0.115817405,0.0
12,0.0,0.0,0.0,0.036920387,0.0,0.0,0.0,0.01126059,0.13359283,0.0
13,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.012999493,0.15422276,0.0
14,0.0,0.0,0.0,4.564455e-05,0.0,0.0,0.0,0.010401162,0.12339681,0.0
15,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,1.7695129e-08,0.0,0.0,0.0,0.0,0.0,0.0
