window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,4.35437,1.0961121,1.0943586,0.5587899,16566.244,3.956976,0.0,0.105023,1.286939,1.0
1,3.4956694,1.0292917,1.0658045,0.58542335,16566.244,3.3360832,0.0,0.09276047,1.1366756,1.0
2,3.3868396,1.0095654,1.0255408,0.7240649,16566.244,3.152786,0.0,0.0989161,1.2121059,1.0
3,3.850859,1.0620022,1.0701061,0.58387977,16566.244,3.6400273,0.0,0.095111646,1.1654866,1.0
4,3.9392333,1.0632906,1.0824559,0.53959215,16566.244,3.6519992,0.0,0.0999453,1.2247176,1.0
5,3.184055,0.9893627,1.0274891,0.6869341,16566.244,2.9650638,0.0,0.098827526,1.2110206,1.0
6,4.0397067,1.0707146,1.082037,0.64987403,16566.244,3.7209828,0.0,0.101578526,1.244731,1.0
7,3.7848704,1.0542667,1.1260211,0.53959215,16566.244,3.5681496,0.0,0.09576855,1.1735362,1.0
8,4.042273,1.0835348,1.141227,0.50732744,16566.244,3.8401082,0.0,0.09388179,1.1504161,1.0
9,3.8969333,1.0683882,1.153176,0.50732744,16566.244,3.6993663,0.0,0.09405898,1.1525874,1.0
10,4.221898,1.1111778,1.040421,0.7397514,16566.244,4.096966,0.0,0.08871682,1.0871252,1.0
11,2.3018064,0.87446237,1.1173346,0.8059661,16566.244,1.8974134,0.0,0.13130037,1.6089389,1.0
12,3.8769772,1.065308,1.1616436,0.60535574,16566.244,3.6707447,0.0,0.0947065,1.160522,1.0
13,3.2515824,1.0093398,1.1522514,0.5065747,16566.244,3.1506903,0.0,0.08907317,1.0914919,1.0
14,3.312685,0.9927118,1.2196652,0.5917225,16566.244,2.9961832,0.0,0.10623692,1.3018143,1.0
15,3.609673,1.0230943,1.2112886,0.64847636,16566.244,3.2784965,0.0,0.10515965,1.2886136,1.0
16,3.7117481,1.0367332,1.2461908,0.5524971,16566.244,3.4052284,0.0,0.102594785,1.257184,1.0
17,4.224178,1.1046268,1.2483919,0.552497,16566.244,4.0360937,0.0,0.0924723,1.1331444,1.0
18,4.1072907,1.0879333,1.2209527,0.5917225,16566.244,3.8809786,0.0,0.095203236,1.1666089,1.0
19,4.124498,1.0894086,1.2298439,0.5524971,16566.244,3.8946874,0.0,0.0953648,1.1685888,1.0
20,4.61763,1.1344968,1.2096641,0.53180945,16566.244,4.3136454,0.0,0.098037876,1.2013443,1.0
21,3.6780922,1.039208,1.1833202,0.5524971,16566.244,3.428225,0.0,0.098600924,1.2082437,1.0
22,3.2394147,0.9955649,1.1559643,0.60344744,16566.244,3.022694,0.0,0.09832403,1.2048508,1.0
23,2.5055983,0.9399151,0.91221464,0.6144019,16566.244,2.5055983,0.0,0.045390323,0.55620754,0.0
24,2.0474854,0.8906131,0.88765675,0.5036768,16566.244,2.0474854,0.0,0.039007895,0.47799802,0.0
25,1.1934737,0.7987045,0.77989125,0.64630353,16566.244,1.1934737,0.0,0.046174914,0.5658218,0.0
26,2.4332888,0.9321332,0.8076326,0.89060056,16566.244,2.4332888,0.0,0.03442823,0.42187938,0.0
27,1.2236915,0.80195653,0.7114508,0.86407024,16566.244,1.2236915,0.0,0.04653177,0.57019466,0.0
28,3.925037,1.0926749,1.1118051,0.88713413,28714.828,3.925037,1.1146086,0.037667416,0.46157196,0.0
29,2.4342244,0.93223387,1.0725538,0.90092516,28714.828,2.4342244,1.1146086,0.036901183,0.45218262,0.0
30,2.8187828,0.97362,1.108789,0.92246825,28714.828,2.8187828,1.1146086,0.03779493,0.46313447,0.0
31,2.8917985,0.9814779,1.0289333,0.9289572,28714.828,2.8917985,1.1146086,0.033903576,0.4154503,0.0
32,3.5891268,1.0565243,1.2798569,0.71247435,28714.828,3.5891268,1.1146086,0.04114358,0.50416845,0.0
33,3.5501418,1.0523287,0.8853845,0.8922489,28714.828,3.5501418,1.1146086,0.04783178,0.58612484,0.0
34,4.2550383,1.1281896,1.0457697,0.85565484,28714.828,4.2550383,1.1146086,0.046569243,0.57065386,0.0
35,3.8957396,1.0895219,1.0678744,0.84310275,28714.828,3.8957396,1.1146086,0.043544333,0.533587,0.0
36,3.115324,1.0055337,1.1609032,0.74462634,28714.828,3.115324,1.1146086,0.04597951,0.5634274,0.0
37,6.06515,1.3229934,1.3964493,0.659135,28714.828,6.06515,1.1146086,0.043485552,0.5328667,0.0
38,6.33037,1.3515364,1.378163,0.7988286,28714.828,6.33037,1.1146086,0.044322964,0.54312825,0.0
39,7.11344,1.4358102,1.3533767,0.8480905,28714.828,7.11344,1.1146086,0.040548068,0.4968711,0.0
40,7.057507,1.4297907,1.406957,0.8530396,28714.828,7.057507,1.1146086,0.039409116,0.48291454,0.0
41,7.266484,1.4522808,1.4767594,0.59559697,28714.828,7.266484,1.1146086,0.0392711,0.48122332,0.0
42,1.5100197,0.8327711,1.448217,0.79346704,28714.828,1.5100197,1.1146086,0.0387321,0.47461846,0.0
43,3.1371565,1.0078833,1.4475596,0.82971954,28714.828,3.1371565,1.1146086,0.039975446,0.48985428,0.0
44,3.5623496,1.0536425,1.2491993,0.95698947,24297.16,3.5623496,0.70021516,0.03923781,0.48081535,0.0
45,2.4458163,0.9334814,0.9557653,1.0011772,23744.955,2.4458163,0.6484163,0.04622403,0.5664237,0.0
46,1.797347,0.86369324,0.71147954,0.7887552,23744.955,1.797347,0.6484163,0.042312786,0.51849574,0.0
47,1.8402034,0.86830544,0.77876663,0.69429475,23744.955,1.8402034,0.6484163,0.041005835,0.5024805,0.0
