window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,5.5288444,1.6128865,1.7108496,0.5967447,44952.91,4.5197415,1.1944443,0.15196091,1.6379019,1.0
1,4.8182225,1.5750097,1.65435,0.39664257,44952.91,4.3529973,1.1944443,0.121108055,1.3053563,1.0
2,4.688767,1.5171062,1.692252,0.65435004,44952.91,4.09809,1.1944443,0.13098492,1.4118134,1.0
3,5.144354,1.6148808,1.74255,0.64428926,44952.91,4.528521,1.1944443,0.12882587,1.3885423,1.0
4,5.78686,1.7101177,1.6890402,0.705141,44952.91,4.9477797,1.1944443,0.13773187,1.484535,1.0
5,4.827838,1.5704306,1.6885617,0.6422691,44952.91,4.332839,1.1944443,0.123061396,1.3264102,1.0
6,4.6964526,1.5901638,1.7111069,0.581064,44952.91,4.41971,1.1944443,0.10937587,1.1789016,1.0
7,5.1799774,1.6924288,1.8068043,0.6078001,44952.91,4.8699083,1.1944443,0.10965548,1.1819153,1.0
8,5.792549,1.7638971,1.7938884,0.67718023,44952.91,5.184531,1.1944443,0.12386505,1.3350724,1.0
9,6.044783,1.7669907,1.820632,0.7233641,44952.91,5.19815,1.1944443,0.13595179,1.4653486,1.0
10,4.783547,1.587223,1.7222044,0.6083034,0.0,4.406764,0.0,0.115442365,1.2442889,1.0
11,4.7511215,1.5175196,1.6586229,0.6894163,0.0,4.0999103,0.0,0.13488181,1.4538158,1.0
12,4.4265084,1.4857892,1.6696388,0.6815564,0.0,3.9602242,0.0,0.12398875,1.3364056,1.0
13,5.3355565,1.6373802,1.5392452,0.7757503,0.0,4.6275697,0.0,0.13333312,1.4371234,1.0
14,4.8210387,1.6712034,1.6678327,0.61349356,0.0,4.7764683,0.0,0.095251314,1.0266608,1.0
15,5.1218586,1.6205928,1.5074741,0.71539706,0.0,4.5536666,0.0,0.12585354,1.3565052,1.0
16,3.544041,1.3588392,1.3234437,0.5049712,1762.8588,3.4013553,0.0,0.103897765,1.1198561,1.0
17,3.8064494,1.3610111,1.6474253,0.6529269,1762.8588,3.410917,0.0,0.123516575,1.3313164,1.0
18,4.133284,1.3339022,1.4211594,0.5657709,1762.8588,3.2915761,0.0,0.16056275,1.7306165,1.0
19,5.7502985,1.6101618,1.6040844,0.2935795,1762.8588,4.507746,0.0,0.16584644,1.7875663,1.0
20,5.7301335,1.6188699,1.5975026,0.39460722,1762.8588,4.546082,0.0,0.16181913,1.7441583,1.0
21,5.9220223,1.6034049,1.5860431,0.43452907,1762.8588,4.4780006,0.0,0.17825796,1.9213432,1.0
22,4.5175986,1.3146069,1.3074403,0.48620147,1762.8588,3.2066329,0.0,0.20115001,2.168084,1.0
23,5.522027,1.5852096,1.6091995,0.36312625,1762.8588,4.3979,0.0,0.16053349,1.730301,1.0
24,5.882935,1.5875593,1.5819917,0.5219042,1762.8588,4.408244,0.0,0.18145485,1.9558008,1.0
25,4.461313,1.3276093,1.5983015,0.55506855,1762.8588,3.263873,0.0,0.19002928,2.0482197,1.0
26,4.5296803,1.317821,1.53418,0.5518899,1762.8588,3.2207823,0.0,0.20050374,2.161118,1.0
27,3.62781,1.2979035,1.56633,0.5432423,1762.8588,3.1331,0.0,0.13463326,1.4511368,1.0
28,3.7628913,1.2972255,1.3401312,0.5945919,1762.8588,3.130115,0.0,0.14636555,1.5775927,1.0
29,3.6890285,1.2954069,1.3181423,0.51523787,1762.8588,3.1221094,0.0,0.14091145,1.518806,1.0
30,3.8554978,1.382821,1.3359282,0.53593683,1762.8588,3.5069299,0.0,0.11912511,1.2839832,1.0
31,4.4027066,1.3288249,1.2848622,0.62772745,1762.8588,3.2692244,0.0,0.18468423,1.9906085,1.0
32,4.3704014,1.3764362,1.3998525,0.6980815,0.0,3.4788225,0.0,0.16071433,1.7322502,1.0
33,4.153885,1.3488847,1.3154203,0.6686318,0.0,3.3575332,0.0,0.15565027,1.6776675,1.0
34,4.5991488,1.3920479,1.4342912,0.6551563,0.0,3.5475492,0.0,0.17135525,1.8469427,1.0
35,4.4011025,1.3925397,1.4189166,0.6463687,0.0,3.5497146,0.0,0.15635623,1.6852766,1.0
36,4.8978457,1.4337189,1.8982188,0.6468655,9695.727,3.7309966,0.08333335,0.17567992,1.893556,1.0
37,4.442234,1.4108889,1.5100431,0.700244,9695.727,3.6304927,0.08333335,0.15204684,1.6388282,1.0
38,4.8300657,1.3929108,1.6837232,0.7138696,9695.727,3.5513482,0.08333335,0.18822366,2.028758,1.0
39,3.9373658,1.3510458,1.3674035,0.5024211,9695.727,3.367047,0.08333335,0.13767758,1.4839499,1.0
40,4.1667247,1.3848714,1.4266454,0.5785561,9695.727,3.5159564,0.08333335,0.1418413,1.5288284,1.0
41,4.0320597,1.3451645,1.5464689,0.5203587,9695.727,3.341156,0.08333335,0.14759244,1.5908166,1.0
42,4.4157853,1.3845941,1.526702,0.5203587,9695.727,3.5147357,0.08333335,0.16073444,1.732467,1.0
43,4.594691,1.3837566,1.4195421,0.5428359,9695.727,3.511049,0.08333335,0.17459127,1.881822,1.0
44,4.6475406,1.38898,1.518298,0.5030801,9695.727,3.5340438,0.08333335,0.17629825,1.9002205,1.0
45,4.5154986,1.3907918,1.5085491,0.68004453,9695.727,3.5420196,0.08333335,0.16563147,1.7852494,1.0
46,4.933736,1.4641643,1.4963773,0.6285333,9695.727,3.8650253,0.08333335,0.16607437,1.7900231,1.0
47,4.2116313,1.4404019,1.5445726,0.6694297,9695.727,3.760417,0.08333335,0.124584794,1.3428301,1.0
48,4.3342395,1.4472297,1.5447938,0.5504919,9695.727,3.790475,0.08333335,0.13080487,1.4098728,1.0
49,4.4145746,1.4478525,1.5435238,0.6794238,9695.727,3.7932165,0.08333335,0.13619983,1.4680221,1.0
50,4.399186,1.4604539,1.5243704,0.5352129,9695.727,3.8486912,0.08333335,0.13069323,1.4086695,1.0
51,4.8057046,1.4510689,1.4967397,0.62853336,9695.727,3.807376,0.08333335,0.16228399,1.7491686,1.0
52,4.620489,1.4310951,1.498406,0.5352129,0.0,3.719446,0.0,0.15699378,1.6921484,1.0
53,4.664723,1.4292873,1.4942847,0.5352129,0.0,3.7114875,0.0,0.16085914,1.733811,1.0
54,4.705733,1.4369725,1.4833889,0.6285333,9695.727,3.7453198,0.08333335,0.16075212,1.7326574,1.0
55,4.514652,1.3853388,1.4644994,0.6285333,9695.727,3.518014,0.08333335,0.16787359,1.8094159,1.0
56,4.8309927,1.4177366,1.5059389,0.682069,9695.727,3.6606383,0.08333335,0.17752717,1.9134665,1.0
57,5.0461173,1.4562433,1.504471,0.79889506,9695.727,3.8301551,0.08333335,0.17693274,1.9070594,1.0
58,4.574057,1.4043093,1.4448879,0.62853336,9695.727,3.6015272,0.08333335,0.16435786,1.7715217,1.0
59,5.3300424,1.5077944,1.4808013,0.71596724,9695.727,4.057097,0.08333335,0.17594849,1.8964506,1.0
60,3.8562722,1.3449249,1.4165667,0.5352129,9695.727,3.3401012,0.08333335,0.1337425,1.4415358,1.0
61,3.5165672,1.2722408,1.3981826,0.5474657,9695.727,3.0201256,0.08333335,0.13635094,1.4696509,1.0
62,3.7356417,1.3147473,1.4393507,0.5203587,9695.727,3.207251,0.08333335,0.13644928,1.4707108,1.0
63,3.6764596,1.2907212,1.425601,0.5359907,9695.727,3.1014814,0.08333335,0.14192039,1.5296807,1.0
64,3.5415988,1.25976,1.3851528,0.5643408,9695.727,2.9651818,0.08333335,0.14430793,1.5554147,1.0
65,3.8892446,1.2629296,1.4282726,0.6523202,9695.727,2.979135,0.08333335,0.17375807,1.8728415,1.0
66,3.8889534,1.3244317,1.3332043,0.5518488,42308.625,3.2498841,1.1111112,0.14490397,1.5618392,1.0
67,4.0572324,1.3713422,1.5367427,0.5478376,42308.625,3.456397,1.1111112,0.13885728,1.4966652,1.0
68,4.834502,1.4529678,1.5703449,0.6859743,42308.625,3.8157353,1.1111112,0.1635516,1.7628316,1.0
69,4.649457,1.4122472,1.5742829,0.6859743,42308.625,3.6364722,1.1111112,0.16661893,1.7958926,1.0
70,5.17219,1.492231,1.5259631,0.7337663,42308.625,3.9885828,1.1111112,0.17143981,1.8478541,1.0
71,4.6665745,1.4388431,1.5826616,0.5478376,42308.625,3.7535548,1.1111112,0.15725602,1.694975,1.0
72,5.109235,1.4908489,1.5402448,0.5647271,42308.625,3.9824984,1.1111112,0.16777459,1.8083488,1.0
73,5.3582306,1.5379691,1.5507511,0.5416363,42308.625,4.1899347,1.1111112,0.1666909,1.7966683,1.0
