window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,24.26698,1.7566289,1.8416508,0.41873112,1.550152,16.525192,0.0,0.21609595,2.3385255,1.0
1,23.531467,1.7479734,1.8452717,0.41873112,1.4768062,16.40636,0.0,0.2070679,2.2408266,1.0
2,26.331432,1.7544274,1.8729987,0.43494922,1.3389057,16.494968,0.0,0.24985014,2.703803,1.0
3,24.359777,1.7305391,1.8511051,0.4479728,1.2770059,16.167002,0.0,0.22620142,2.4478836,1.0
4,23.446024,1.6999465,1.9742931,0.50186944,1.0918177,15.746993,0.0,0.22149166,2.3969162,1.0
5,23.883444,1.7853849,1.8790792,0.44558856,0.9156556,16.919987,0.0,0.20106485,2.1758635,1.0
6,20.83099,1.7108771,1.8873059,0.42277166,0.83066255,15.897059,0.0,0.1743501,1.8867643,1.0
7,25.395239,1.7775625,1.8557311,0.41303802,0.7740404,16.812592,0.0,0.22718622,2.458541,1.0
8,23.510902,1.6631268,1.8027514,0.38027406,0.7016555,15.241491,0.0,0.23565331,2.5501692,1.0
9,25.460669,1.7509414,1.8148915,0.39833283,0.6856931,16.447107,0.0,0.23709854,2.5658092,1.0
10,26.326298,1.7537216,1.906272,0.4702384,0.6831068,16.485277,0.0,0.2500157,2.7055948,1.0
11,26.750969,1.755545,1.8502941,0.44363347,0.7180977,16.510311,0.0,0.2561674,2.7721667,1.0
12,26.423609,1.7448356,1.884121,0.44862133,0.7251042,16.363281,0.0,0.25472927,2.7566035,1.0
13,27.299044,1.7226186,1.8608547,0.4555928,0.9305357,16.05826,0.0,0.2787962,3.0170486,1.0
14,27.831795,1.7454447,1.8655015,0.4555928,1.106215,16.371643,0.0,0.27726927,3.0005248,1.0
15,27.924433,1.7494138,1.8148569,0.39653206,1.230156,16.426136,0.0,0.29522648,3.1948524,1.0
16,27.58401,1.7348281,1.7963822,0.37897947,1.4665893,16.225887,0.0,0.3052649,3.303485,1.0
17,27.2004,1.7183921,1.8088896,0.6696109,1.8330073,16.000235,0.04520058,0.31454659,3.4039285,1.0
18,27.080427,1.7132518,1.8295615,0.4555928,2.0854685,15.929663,0.11666561,0.31691366,3.4295444,1.0
19,18.208847,1.3471223,1.7868097,0.51094586,3.4282165,10.903028,0.49676174,0.26931933,2.9144928,1.0
20,17.877245,1.3603603,1.560034,0.5018172,3.530328,11.084773,0.5256668,0.25419167,2.7507858,1.0
21,17.607985,1.3694927,1.3808333,0.47090647,3.6406794,11.210153,0.5569043,0.2430877,2.630622,1.0
22,17.522846,1.3570274,1.3793269,0.50482213,3.743376,11.039016,0.585975,0.24748051,2.6781597,1.0
23,18.17889,1.4033359,1.4621694,0.42810705,3.9083364,11.674791,0.6326709,0.23949403,2.5917323,1.0
24,17.197725,1.4015888,1.4322389,0.34749395,4.077765,11.6508045,0.6806316,0.21810612,2.3602788,1.0
25,17.627632,1.3912634,1.445098,0.42798287,4.1690345,11.509046,0.70646757,0.23276857,2.5189514,1.0
26,17.974176,1.3973943,1.4450982,0.3931797,4.2769933,11.593218,0.7370278,0.2377246,2.5725842,1.0
27,18.771645,1.3752016,1.4013755,0.40378255,4.2769933,11.288531,0.7370278,0.2674244,2.8939865,1.0
28,17.557707,1.3586016,1.3383521,0.44068655,4.2769933,11.060628,0.7370278,0.2474937,2.6783025,1.0
29,18.006763,1.4068394,1.4143927,0.45316824,4.2769933,11.72289,0.7370278,0.23393063,2.531527,1.0
30,18.092102,1.3824596,1.435721,0.43296185,5.9792333,11.388178,1.2188865,0.24782853,2.6819258,1.0
31,18.23332,1.392216,1.4894146,0.46520448,5.9792333,11.522123,1.2188865,0.24618839,2.6641767,1.0
32,19.486214,1.4149033,1.5530012,0.540215,5.9792333,11.8336,1.2188865,0.2631446,2.847672,1.0
33,18.320433,1.4048241,1.416746,0.4714094,5.9792333,11.695223,1.2188865,0.24197112,2.6185386,1.0
34,17.841364,1.3841348,1.4646939,0.46520448,5.9792333,11.411176,1.2188865,0.2411819,2.609998,1.0
35,19.968494,1.4402549,1.5489959,0.38560888,5.9792333,12.181656,1.2188865,0.26117545,2.8263621,1.0
36,18.535166,1.3986752,1.5041766,0.46734187,5.9792333,11.610804,1.2188865,0.24986103,2.703921,1.0
37,18.117975,1.3959926,1.4797473,0.49923286,5.9792333,11.573974,1.2188865,0.2416855,2.6154478,1.0
38,17.923393,1.3822103,1.4305432,0.4781723,5.9792333,11.384754,1.2188865,0.24404219,2.6409512,1.0
39,18.227945,1.4158814,1.408344,0.5253989,5.9792333,11.847029,1.2188865,0.23461041,2.5388832,1.0
40,17.317945,1.4260472,1.3610961,0.45540568,5.9792333,11.986597,1.2188865,0.20983654,2.270788,1.0
41,15.76438,1.3641157,1.3952583,0.4447008,5.901522,11.136332,1.1968886,0.20212857,2.1873746,1.0
42,16.744322,1.4172951,1.4022131,0.470507,5.901522,11.866438,1.1968886,0.20093638,2.174473,1.0
43,16.274452,1.3784447,1.377612,0.44625464,5.784538,11.3330555,1.1637734,0.20752387,2.245761,1.0
44,17.603975,1.4493499,1.5548658,0.47950238,5.700712,12.306522,1.1400447,0.20605658,2.2298825,1.0
45,16.813519,1.4179759,1.4399651,0.4447008,5.4378757,11.875785,1.0656427,0.20218155,2.187948,1.0
46,19.351238,1.4615017,1.6308247,0.45918742,3.732894,12.473356,0.5830078,0.23798902,2.5754457,1.0
47,22.581026,1.6583183,1.6999661,0.34132388,3.1667376,15.175474,0.42274404,0.22124721,2.394271,1.0
48,19.552076,1.5553973,1.6538968,0.37912768,3.037654,13.762459,0.38620389,0.2034753,2.2019484,1.0
49,17.155815,1.4583066,1.4235853,0.43516332,3.0238128,12.429489,0.38228583,0.19280073,2.0864315,1.0
50,19.229578,1.4513929,1.6088845,0.5091301,2.9815438,12.334571,0.37032062,0.23999363,2.597139,1.0
51,18.93648,1.4598435,1.5732415,0.44869867,2.9237108,12.45059,0.35394964,0.22994284,2.4883723,1.0
52,18.169329,1.4618624,1.5915818,0.44869867,2.8847184,12.478309,0.34291193,0.21281923,2.3030658,1.0
53,18.467709,1.4997458,1.6062709,0.44869867,2.7099166,12.998414,0.2934302,0.20349757,2.2021894,1.0
54,19.110315,1.4970139,1.6145676,0.44869867,2.3776984,12.960907,0.1993881,0.21767329,2.3555949,1.0
55,20.626764,1.501942,1.6303862,0.44869867,1.9835311,13.028566,0.087809846,0.24638203,2.6662722,1.0
56,19.058811,1.4746182,1.6823405,0.47950238,1.9630779,12.653434,0.08202009,0.22605814,2.4463332,1.0
57,20.486038,1.5019871,1.6425819,0.44869867,1.6686491,13.029184,0.0,0.24351054,2.6351979,1.0
58,21.36127,1.4774235,1.6965861,0.51682436,1.5081356,12.691949,0.0,0.27274746,2.951591,1.0
59,21.130585,1.4896673,1.654391,0.44869867,1.3710502,12.8600445,0.0,0.26220313,2.8374834,1.0
60,19.637829,1.5001132,1.6573131,0.44869867,0.9039006,13.003458,0.0,0.22710998,2.457716,1.0
61,19.048637,1.5227457,1.7234117,0.47950238,0.83146614,13.314182,0.0,0.206121,2.2305794,1.0
62,20.135977,1.5249896,1.729993,0.49132752,0.7564128,13.344989,0.0,0.22676112,2.4539406,1.0
63,19.189768,1.520602,1.6939616,0.44869867,0.7657051,13.284751,0.0,0.20976268,2.2699885,1.0
64,19.267075,1.4716734,1.5946544,0.51767623,0.9014397,12.613004,0.0,0.23169225,2.507304,1.0
65,21.40011,1.526137,1.6943973,0.5034278,0.92140704,13.360742,0.0,0.2512718,2.719188,1.0
66,20.07826,1.4686413,1.6412945,0.5045149,0.93903244,12.571376,0.0,0.250064,2.7061174,1.0
67,22.036879,1.5344293,1.7189401,0.44869867,0.9813546,13.474587,0.0,0.26017568,2.815543,1.0
68,21.093794,1.5437692,1.773642,0.49132752,0.9985522,13.602817,0.0,0.23780079,2.5734086,1.0
69,21.1093,1.5476246,1.8131826,0.4954876,1.0271398,13.655747,0.0,0.23651367,2.55948,1.0
70,20.24849,1.5398395,1.8180952,0.5085241,1.0578331,13.548864,0.0,0.22295909,2.4127963,1.0
71,18.938637,1.5127748,1.8349097,0.54378504,1.1174163,13.177291,0.0,0.20784108,2.2491937,1.0
72,20.325348,1.4991425,1.6730441,0.53584564,1.211759,12.990131,0.0,0.2414926,2.6133604,1.0
73,22.155666,1.5179895,1.6638327,0.5045149,1.22578,13.248883,0.0,0.26989868,2.9207623,1.0
74,21.605135,1.4897854,1.787693,0.49230203,1.4544697,12.861667,0.0,0.2718898,2.9423099,1.0
75,22.870039,1.5328543,1.7956072,0.49689803,1.485499,13.452964,0.0,0.27898237,3.0190632,1.0
76,21.383747,1.53799,1.8083509,0.5002713,1.4555651,13.523472,0.0,0.24586369,2.660663,1.0
77,20.552036,1.5415579,1.8497065,0.54378504,1.4702545,13.572457,0.0,0.22817801,2.4692738,1.0
78,21.119461,1.5376115,1.803874,0.48566628,1.4702545,13.518276,0.0,0.24086246,2.6065412,1.0
79,20.696787,1.4823568,1.8083677,0.57425886,1.4702545,12.759678,0.0,0.25663945,2.777275,1.0
80,22.036963,1.5110681,1.8145049,0.5593919,1.4702545,13.153859,0.0,0.27070558,2.9294944,1.0
81,21.57189,1.488776,1.7786707,0.5806228,1.539132,12.847807,0.0,0.27168503,2.9400938,1.0
82,22.35794,1.510913,1.8195937,0.57425886,1.539132,13.15173,0.0,0.29262182,3.1666653,1.0
83,22.707571,1.5258932,1.8586572,0.61715674,1.4702545,13.357394,0.0,0.29816404,3.2266417,1.0
84,22.615398,1.5235621,1.8283592,0.5593919,1.4702545,13.32539,0.0,0.27647254,2.9919026,1.0
85,22.491425,1.5253533,1.7526716,0.6561164,1.4702545,13.349982,0.0,0.27319533,2.9564376,1.0
86,22.508228,1.5173522,1.8249985,0.5593919,1.4702545,13.240134,0.0,0.29110423,3.1502423,1.0
87,22.19446,1.5039085,1.8188864,0.5593919,1.4702545,13.055564,0.0,0.29525435,3.1951537,1.0
88,22.687384,1.5250282,1.8571322,0.6009398,1.4702545,13.345519,0.0,0.28724307,3.108458,1.0
