window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,1.6191658,1.1389656,1.173631,0.15467656,1.32526,1.6191658,0.37950984,0.1301484,0.9188574,0.0
1,1.5391779,1.0916693,1.1777985,0.325414,1.32526,1.5391779,0.37950984,0.11692857,0.82552445,0.0
2,1.5846707,1.1185689,1.1525286,0.63575345,1.32526,1.5846707,0.37950984,0.1367063,0.9651567,0.0
3,1.5994442,1.1273043,1.1065462,0.5720351,1.32526,1.5994442,0.37950984,0.13928388,0.9833546,0.0
4,1.373472,0.9936886,1.1375769,0.42883292,1.32526,1.373472,0.37950984,0.13919966,0.98276,0.0
5,1.6096678,1.1260273,1.1853533,0.5088916,1.32526,1.5972846,0.37950984,0.14477895,1.0221503,1.0
6,1.5887134,1.1209593,1.1466179,0.49928778,1.32526,1.5887134,0.37950984,0.13213484,0.9328819,0.0
7,1.2117454,0.8980608,0.9236732,0.76980966,1.32526,1.2117454,0.37950984,0.13463806,0.9505547,0.0
8,1.1600761,0.8675091,0.9262766,0.8080374,1.32526,1.1600761,0.37950984,0.1413406,0.9978752,0.0
9,1.2482115,0.86029166,0.92770195,0.6527735,1.32526,1.1478698,0.37950984,0.1770178,1.2497588,1.0
10,1.4726647,1.0123842,1.0518771,0.01957192,1.32526,1.4050901,0.37950984,0.16110422,1.1374078,1.0
11,1.5387985,1.012001,1.0590932,0.69626683,1.32526,1.4044422,0.37950984,0.18035632,1.2733291,1.0
12,1.5095391,1.0088358,1.068748,0.06699626,1.32526,1.3990891,0.37950984,0.1735895,1.2255548,1.0
13,1.4672118,1.0329711,1.0798432,0.032630138,1.3252003,1.439907,0.37949273,0.14931567,1.0541798,1.0
14,1.4535756,0.98052937,1.0538442,0.048949502,1.318219,1.351217,0.3774935,0.17229801,1.2164369,1.0
15,1.3839508,0.9628821,1.0207897,0.479975,1.1090549,1.3213718,0.31759596,0.16080733,1.1353117,1.0
16,1.2325426,0.9103581,0.89275146,0.19795103,0.8703307,1.2325426,0.2492334,0.117361,0.82857746,0.0
17,1.2979434,0.949029,0.99213564,0.5297403,0.78471243,1.2979434,0.2247152,0.13275585,0.93726623,0.0
18,1.3070766,0.95442945,1.016112,0.5167706,0.7538616,1.3070766,0.21588057,0.13780417,0.9729077,0.0
19,1.3260144,0.9532219,0.8883953,0.3515732,0.8721491,1.3050344,0.24975413,0.14814746,1.0459322,1.0
20,1.3215046,0.9629606,0.9821408,0.7167744,0.9466133,1.3215046,0.27107817,0.11798582,0.83298874,0.0
21,1.3390323,0.97332466,0.9928517,0.65770257,1.0324522,1.3390323,0.29565954,0.12686391,0.89566875,0.0
22,1.3589429,0.98509765,1.1768754,0.76667744,1.2130497,1.3589429,0.34737656,0.123225756,0.8699831,0.0
23,1.3724676,0.99309474,1.0028613,0.018157275,1.6300514,1.3724676,0.4667918,0.118015185,0.83319604,0.0
24,1.3771725,0.99587667,0.9994367,0.033129655,1.6300514,1.3771725,0.4667918,0.0884007,0.6241155,0.0
25,1.4121002,1.0165292,1.0358741,0.14432453,1.6300514,1.4121002,0.4667918,0.12651211,0.89318496,0.0
26,1.3896453,1.0032518,1.0096052,0.058670808,1.6300514,1.3896453,0.4667918,0.1037437,0.7324383,0.0
27,1.4240364,1.023587,1.027695,0.025387691,1.6300514,1.4240364,0.4667918,0.09754463,0.6886724,0.0
28,1.3695834,0.9913893,1.0339946,0.48430085,1.6300514,1.3695834,0.4667918,0.120578945,0.85129637,0.0
29,1.324886,0.96496004,0.9086348,0.7767268,1.6300514,1.324886,0.4667918,0.12695515,0.8963129,0.0
30,1.3961676,1.0071083,1.008357,0.025959294,1.6300514,1.3961676,0.4667918,0.13165364,0.92948455,0.0
31,1.4694445,0.9752254,0.99450105,0.5020445,1.6300514,1.3422469,0.4667918,0.17999189,1.2707562,1.0
32,1.3364317,0.9717869,1.021202,0.03195139,1.6300514,1.3364317,0.4667918,0.1391445,0.98237056,0.0
33,1.3126523,0.95772636,0.9928715,0.6509351,1.0817677,1.3126523,0.30978182,0.11354081,0.80160666,0.0
34,1.2942781,0.9468618,0.9819886,0.51890963,0.6745587,1.2942781,0.19317089,0.11662567,0.82338595,0.0
35,1.2259942,0.90648603,0.9094603,0.46630672,0.6745587,1.2259942,0.19317089,0.1395698,0.98537326,0.0
36,1.3147428,0.924548,0.88824755,0.6626691,0.67456686,1.2565408,0.19317323,0.1603865,1.1323407,1.0
37,1.3141726,0.9586253,0.9104921,0.7080181,0.67456955,1.3141726,0.19317399,0.1030879,0.7278083,0.0
38,1.0859405,0.82367325,0.83636117,0.6107913,0.67456955,1.0859405,0.19317399,0.101385556,0.7157896,0.0
39,1.1621909,0.8687596,0.8712897,0.50659466,0.67449075,1.1621909,0.19315143,0.12919351,0.9121159,0.0
40,1.1890639,0.8846494,0.85258144,0.5783219,0.67449075,1.1890639,0.19315143,0.092983685,0.6564718,0.0
