window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,3.9198642,0.89137757,1.1398299,0.6667664,0.955524,3.7384846,0.0,0.08278086,1.1386198,1.0
1,7.123806,1.2880219,1.3897051,0.5593078,1.0423882,6.756189,0.0,0.08400537,1.1554625,1.0
2,6.133232,1.1206107,1.0974504,0.87445617,1.0423882,5.48251,0.0,0.09735749,1.3391159,1.0
3,5.691343,1.1305561,1.1199687,0.6561373,1.0423882,5.5581756,0.0,0.07767959,1.0684538,1.0
4,5.9427977,1.159605,1.1468047,0.65304106,1.0423882,5.779182,0.0,0.078583695,1.0808893,1.0
5,6.2992043,1.1741811,1.142908,0.8164492,1.0423882,5.890078,0.0,0.08713127,1.1984581,1.0
6,6.058951,1.1643184,1.1488665,0.7603188,1.146625,5.8150425,0.0,0.0814156,1.1198412,1.0
7,5.693647,1.1357945,1.0477172,0.6315098,1.214073,5.5980296,0.0,0.076250814,1.0488014,1.0
8,5.4875,1.1212666,1.0034767,0.81389886,1.214073,5.4875,0.0,0.05835088,0.80259454,0.0
9,5.2589955,1.0912322,0.9838371,0.6508295,1.214073,5.2589955,0.0,0.06117367,0.841421,0.0
10,5.209614,1.0847415,1.0543402,0.6418601,1.214073,5.209614,0.0,0.06635103,0.9126336,0.0
11,5.135424,1.07499,0.9717975,0.7959578,1.214073,5.135424,0.0,0.07254058,0.9977686,0.0
12,5.4272676,1.1133497,1.0250834,0.71636075,1.214073,5.4272676,0.0,0.05797065,0.79736465,0.0
13,4.7959375,1.0303682,1.0911419,0.22231722,1.214073,4.7959375,0.0,0.0500007,0.687741,0.0
14,5.592126,1.1219275,0.9650412,0.8584643,1.214073,5.4925284,0.0,0.0764695,1.0518094,1.0
15,5.311337,1.0314249,1.0764853,0.47391352,1.214073,4.8039765,0.0,0.0946409,1.3017503,1.0
16,5.2457795,1.0812155,1.1058487,0.61870044,1.214073,5.182788,0.0,0.075227454,1.0347255,1.0
17,5.8119845,1.1534017,1.0215153,0.8760389,1.3489685,5.731987,0.0,0.075601846,1.0398751,1.0
18,4.2957416,0.93646306,1.1671549,0.84740025,1.3489685,4.0814986,0.0,0.08360641,1.149975,1.0
19,6.101521,1.1709542,1.1570792,0.771111,1.3489685,5.865528,0.0,0.08106028,1.1149539,1.0
20,5.976648,1.1417415,1.2052577,0.6260084,1.3489685,5.6432753,0.0,0.08497386,1.1687837,1.0
21,4.6776314,1.0133473,1.046516,0.75794536,1.3489685,4.6664405,0.0,0.07320096,1.0068519,1.0
22,4.3060393,0.9659765,1.1696631,0.6111719,1.3489685,4.3060393,0.0,0.06485377,0.8920394,0.0
23,4.0513015,0.9324939,1.1694918,0.7064678,1.483864,4.0513015,0.0,0.065315574,0.8983913,0.0
24,4.222874,0.9550453,0.96533954,0.5503738,1.483864,4.222874,0.0,0.07056751,0.97062975,0.0
25,5.517415,1.1251986,0.9358617,0.56627226,1.483864,5.517415,0.0,0.06273441,0.8628884,0.0
26,3.635577,0.8778515,0.83063495,0.8345498,1.483864,3.635577,0.0,0.07051078,0.96984947,0.0
27,8.171196,1.4740092,1.4915321,0.18563789,1.4838638,8.171196,0.0,0.04613573,0.6345798,0.0
28,5.8906813,1.1742604,1.3955684,0.4258421,1.4838637,5.8906813,0.0,0.07080631,0.9739143,0.0
29,5.7585597,1.1405337,1.3240654,0.42221558,1.2876533,5.6340857,0.0,0.07729204,1.0631231,1.0
30,5.71326,1.1257728,1.2663752,0.4492782,1.3489685,5.521784,0.0,0.07990592,1.099076,1.0
31,6.106785,1.128646,1.2417995,0.41677707,1.165031,5.5436435,0.0,0.09380392,1.2902379,1.0
32,6.828427,1.1413211,1.2264562,0.4076625,1.011747,5.640076,0.0,0.116469406,1.6019932,1.0
33,3.8492665,0.8843832,0.849571,0.61109513,1.124153,3.6852708,0.0,0.08194654,1.127144,1.0
34,3.9685528,0.86938256,0.8531273,0.57029366,1.011747,3.5711446,0.0,0.0958188,1.3179518,1.0
35,3.6325727,0.84272957,0.82877916,0.5481681,1.0791773,3.3683662,0.0,0.08899605,1.2241075,1.0
36,3.4107263,0.8290541,0.81554514,0.50669974,1.0791773,3.2643223,0.0,0.082019106,1.1281421,1.0
37,3.6608908,0.8490221,0.85327053,0.52053964,1.0791773,3.4162405,0.0,0.08757862,1.2046112,1.0
38,3.5244102,0.83699054,0.85120183,0.34401885,1.1241463,3.3247032,0.0,0.08518021,1.1716219,1.0
39,3.5705273,0.84300596,0.8814871,0.34401885,1.1803588,3.370469,0.0,0.08503242,1.1695892,1.0
40,3.9874332,0.92409915,0.9284161,0.21196195,1.1803588,3.9874332,0.0,0.065299585,0.8981714,0.0
41,4.4041476,0.9788717,0.9604899,0.21196195,1.1803588,4.4041476,0.0,0.06406567,0.8811994,0.0
42,4.660268,1.0125359,0.9905376,0.21196195,1.2525907,4.660268,0.0,0.066895515,0.9201228,0.0
43,5.0387745,1.0622865,1.0203105,0.44384864,1.0117362,5.0387745,0.0,0.068272755,0.93906623,0.0
44,5.3758717,1.0960574,1.0520618,0.44449234,1.0117362,5.2957063,0.0,0.07584726,1.0432508,1.0
45,4.712409,0.9732198,0.9792563,0.6574873,1.0117362,4.3611474,0.0,0.08943346,1.2301239,1.0
46,3.702659,0.85503197,0.8649714,0.64174604,1.0117362,3.4619641,0.0,0.08714481,1.1986443,1.0
47,3.4973779,0.848606,1.1800292,0.45588946,1.059914,3.4130747,0.0,0.07783357,1.0705717,1.0
48,6.684266,1.2652888,1.3788428,0.44896474,1.1241733,6.583234,0.0,0.07589071,1.0438484,1.0
49,5.397259,1.0926155,1.1133779,0.49382487,1.7537022,5.26952,0.080607526,0.07773825,1.0692606,1.0
50,6.019511,1.1374217,1.1752423,0.36678407,1.7986642,5.6104097,0.10075712,0.087849565,1.2083379,1.0
51,4.8961797,0.99406976,1.2486653,0.60106945,1.7986642,4.5197754,0.10075712,0.0900018,1.2379411,1.0
52,6.8832846,1.2546191,1.5109023,0.29812524,2.0234945,6.5020576,0.20151408,0.08488195,1.1675195,1.0
53,7.304764,1.2821158,1.2824996,0.38589448,2.0234945,6.711255,0.20151408,0.09107269,1.2526709,1.0
54,7.8462863,1.3830476,1.5720383,0.32223055,2.2483246,7.479152,0.30227098,0.0828994,1.1402503,1.0
55,7.6613336,1.3910428,1.5925279,0.32223055,2.8328874,7.539981,0.56424093,0.07604602,1.0459846,1.0
56,7.157923,1.3247323,1.6029865,0.422095,3.102684,7.035485,0.6851494,0.0763178,1.0497229,1.0
57,7.016817,1.318671,1.6186479,0.422095,3.102684,6.98937,0.6851494,0.07351854,1.01122,1.0
58,6.944493,1.3127724,1.378288,0.39984986,3.3724804,6.944493,0.80605775,0.054630715,0.7514251,0.0
59,6.825221,1.2970954,1.3667345,0.40960234,3.3724804,6.825221,0.80605775,0.04847149,0.6667073,0.0
60,6.9458222,1.3129472,1.3728333,0.40960234,3.642303,6.9458222,0.9269779,0.047012467,0.64663893,0.0
61,6.958836,1.3146577,1.3636948,0.46213016,3.912099,6.958836,1.047886,0.059823014,0.8228432,0.0
62,6.717276,1.2829072,1.3429954,0.4728824,3.912099,6.717276,1.047886,0.054531895,0.75006586,0.0
