window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,1.0099355,1.049991,0.91212106,0.77887076,46.854977,0.9853173,0.52331036,0.122146636,1.0713859,1.0
1,1.2364252,1.0785404,1.0624359,0.75451964,46.854977,1.1251192,0.52331036,0.14623265,1.2826518,1.0
2,1.2354172,1.1010648,0.9200456,0.8480029,46.854977,1.2354172,0.52331036,0.09036473,0.79261696,0.0
3,1.3966095,1.1275765,0.91453457,0.7583036,44.59996,1.3652407,0.4196695,0.12149247,1.065648,1.0
4,1.5221881,1.1347622,0.978699,0.74485415,42.97387,1.4004278,0.3449341,0.1423293,1.2484143,1.0
5,1.3593847,1.1081489,1.024886,0.7660041,46.837635,1.2701072,0.5225134,0.13690457,1.2008322,1.0
6,1.3626244,1.1226357,1.1229509,0.7455595,46.837635,1.3410466,0.5225134,0.11924928,1.0459722,1.0
7,1.2249075,1.0873233,1.0071902,0.8254975,42.97387,1.1681274,0.3449341,0.12984146,1.1388795,1.0
8,2.63149,1.3835729,1.3082854,0.74565125,43.77526,2.6188138,0.3817662,0.11558481,1.0138301,1.0
9,0.72830975,0.9975066,1.1285433,0.83892244,43.77526,0.72830975,0.3817662,0.105373725,0.9242655,0.0
10,0.85444784,1.0232657,1.1408367,0.9255184,45.084927,0.85444784,0.44195864,0.07968996,0.6989852,0.0
11,1.7232379,1.2006843,1.1815636,0.6441432,40.18099,1.7232379,0.2165729,0.098978534,0.86817133,0.0
12,1.8743277,1.2315389,1.1571709,0.7825782,35.371605,1.8743277,0.0,0.10327373,0.90584576,0.0
13,1.1672617,1.0871465,1.0461804,0.93971586,35.016693,1.1672617,0.0,0.11346754,0.9952588,0.0
14,1.7235607,1.1974431,1.1254171,0.7752935,34.668125,1.7073663,0.0,0.11709768,1.0271,1.0
15,2.3512397,1.3289307,1.1797963,0.8951868,34.668125,2.3512397,0.0,0.10815228,0.94863707,0.0
16,1.6785725,1.1886004,1.0706363,0.76117754,33.187637,1.664065,0.0,0.11684789,1.0249089,1.0
