window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,3.7029085,2.1416605,2.1437314,0.039505035,102.4282,2.9244344,0.0031055666,0.49244338,1.7605616,1.0
1,3.863996,2.1348433,2.135295,0.03304068,102.4282,2.9140675,0.0031055666,0.5402205,1.9313723,1.0
2,3.9159224,2.1344101,2.1468177,0.3790896,102.4282,2.9134088,0.0031055666,0.5547038,1.9831523,1.0
3,4.2074566,2.1211421,2.134159,0.28545424,102.4282,2.8932314,0.0031055666,0.6427223,2.2978323,1.0
4,4.4728694,2.1202095,2.131041,0.36671016,102.4282,2.891813,0.0031055666,0.71664035,2.5621006,1.0
5,3.7429814,2.1113403,2.1152756,0.021231296,102.4282,2.8783255,0.0031055666,0.51977956,1.8582927,1.0
6,3.9695444,2.1011302,2.103441,0.036123194,102.4282,2.8627987,0.0031055666,0.5886624,2.1045594,1.0
7,3.7403142,2.0948436,2.095808,0.039505035,102.4282,2.8532383,0.0031055666,0.52816993,1.8882896,1.0
8,3.7717416,2.0887115,2.0928383,0.028211918,102.4282,2.8439128,0.0031055666,0.5404367,1.9321451,1.0
9,3.6248932,2.0852103,2.0860145,0.028211918,102.4282,2.8385885,0.0031055666,0.5010816,1.7914445,1.0
10,3.7102215,2.0799608,2.080235,0.028211918,102.4282,2.8306055,0.0031055666,0.5280505,1.8878626,1.0
11,3.6691782,2.0774598,2.0786815,0.030071558,102.4282,2.826802,0.0031055666,0.51785654,1.8514177,1.0
12,3.8313587,2.0709546,2.0711384,0.028211918,102.4282,2.8169093,0.0031055666,0.56751055,2.0289385,1.0
13,3.6855915,2.0841687,2.086103,0.02821192,102.4282,2.8370044,0.0031055666,0.5187497,1.8546109,1.0
14,4.060268,2.0838215,2.08702,0.03769092,102.4282,2.8364766,0.0031055666,0.6245065,2.2327077,1.0
15,4.002907,2.0803075,2.082047,0.2643773,102.4282,2.8311327,0.0031055666,0.610474,2.1825395,1.0
16,3.9288003,2.0899317,2.0959768,0.25451523,102.4282,2.8457687,0.0031055666,0.58385164,2.0873604,1.0
17,4.0282936,2.100386,2.106747,0.27460203,102.4282,2.8616667,0.0031055666,0.6055073,2.1647828,1.0
18,4.41678,2.1017249,2.1104271,0.379579,102.4282,2.8637028,0.0031055666,0.7131213,2.5495195,1.0
19,4.098392,2.1045835,2.1075325,0.030071558,102.4282,2.86805,0.0031055666,0.622536,2.225663,1.0
20,4.222952,2.1071353,2.1138058,0.04038236,102.4282,2.8719308,0.0031055666,0.65565395,2.3440647,1.0
21,4.617647,2.1188676,2.1181471,0.46090764,102.4282,2.8897727,0.0031055666,0.75755155,2.7083645,1.0
22,4.322508,2.1298184,2.140536,0.37876552,102.4282,2.906426,0.0031055666,0.66908133,2.3920698,1.0
23,3.968654,2.1481328,2.1496181,0.030071558,102.4282,2.9342773,0.0031055666,0.56142616,2.0071857,1.0
24,4.388481,2.1624234,2.1625385,0.030071558,102.4282,2.9560094,0.0031055666,0.66698116,2.3845613,1.0
25,4.3856525,2.176618,2.179765,0.37359908,0.67449075,2.977596,2.0450188e-05,0.65762067,2.3510962,1.0
