window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,0.6826883,0.38132486,0.41218814,0.14381975,1.5274678,0.0,0.81952167,3.7115352,0.41220513,0.85336035,0.14042567,1.2408284,1.0
1,0.85001624,0.47228557,0.47285503,0.17026655,1.71061,0.29651004,0.7280587,3.7115352,1.1675106,0.85336035,0.10607368,0.93728757,0.0
2,1.2967365,0.40740553,0.42935845,0.08668096,2.116323,1.2967365,1.0,3.8803122,0.62876976,0.95641786,0.109978355,0.9717901,0.0
3,0.7651343,0.3835038,0.37421167,0.1244942,1.6650945,0.18429808,0.9023569,3.8803122,0.43029824,0.95641786,0.10654324,0.94143677,0.0
4,0.9182661,0.37448275,0.41446567,0.08496401,1.9628074,0.9182661,1.0,4.0490947,0.3553907,1.0594788,0.10993751,0.97142917,0.0
5,0.847583,0.38452193,0.4024507,0.14102699,1.5577003,0.0,0.8305395,4.0490947,0.4387525,1.0594788,0.12392845,1.0950558,1.0
6,0.847583,0.41026214,0.38037294,0.122047186,1.8004019,0.5178789,0.9140556,4.0490947,0.6524901,1.0594788,0.118991464,1.0514317,1.0
7,0.847583,0.41606677,0.4111538,0.15026388,1.6246946,0.08469796,0.7951808,4.0490947,0.7006896,1.0594788,0.13227865,1.1688398,1.0
8,0.88866645,0.4271533,0.42178443,0.1155869,1.9292216,0.8354652,0.9464497,4.0490947,0.7927482,1.0594788,0.1337611,1.1819389,1.0
9,1.2246917,0.4465338,0.43415514,0.1119472,2.0504596,1.1343598,0.96573234,4.1333876,0.9536771,1.110949,0.13891971,1.2275215,1.0
10,0.99372,0.47268063,0.47891384,0.14185783,1.9084083,0.7841529,0.82723093,4.048902,1.1707911,1.0593611,0.12158587,1.0743563,1.0
11,0.97681,0.44674927,0.44353214,0.12114352,1.9683285,0.9318775,0.9184528,4.048902,0.9554663,1.0593611,0.12876172,1.1377635,1.0
12,1.1125335,0.4896137,0.46204454,0.15026388,1.9118873,0.7927299,0.7951808,4.048902,1.3113974,1.0593611,0.13479409,1.1910666,1.0
13,1.5697819,0.51390564,0.5057794,0.1305222,2.174364,1.4398284,0.87477696,3.9645915,1.5131091,1.00788,0.14235482,1.2578747,1.0
14,1.0884565,0.48124728,0.5204797,0.15924248,1.8155628,0.55525595,0.76358163,3.8801076,1.2419255,0.9562929,0.16095611,1.4222394,1.0
15,1.5057626,0.53675485,0.5579255,0.14146048,2.170585,1.4305114,0.82881,3.8801076,1.7028408,0.9562929,0.13018028,1.1502982,1.0
16,1.7910131,0.572985,0.6186305,0.15510671,2.1959164,1.4929625,0.7778193,3.7957983,2.003683,0.9048125,0.16141008,1.4262507,1.0
17,2.030003,0.605552,0.71290743,0.15924248,2.2845173,1.7113951,0.76358163,3.7113338,2.2741082,0.85323733,0.16782987,1.4829773,1.0
18,1.8602363,0.59403425,0.71986383,0.15770553,2.2541354,1.6364928,0.7688114,3.7113338,2.1784687,0.85323733,0.1489654,1.3162872,1.0
19,2.9892752,0.6920952,0.74985474,0.15432395,2.660377,2.6380227,0.78057384,3.2241478,2.9927323,0.555755,0.15622434,1.3804286,1.0
20,5.662424,0.9159748,0.95151156,0.15510672,3.5103958,4.7336206,0.77781916,2.5152817,4.851749,0.12291178,0.17661586,1.560612,1.0
21,5.9676166,0.9646743,1.0393157,0.15924248,3.639349,5.051536,0.76358163,2.6986742,5.2561326,0.23489374,0.1718086,1.5181341,1.0
22,7.7688875,1.1056257,1.1205208,0.13254203,4.6383266,7.5143704,0.8659089,2.3926854,6.426543,0.048052847,0.12412282,1.0967733,1.0
23,8.381569,1.1623816,1.19202,0.15510672,4.454729,7.0617375,0.77781916,2.1370583,6.8978243,0.0,0.17360382,1.5339969,1.0
24,8.122112,1.1622387,1.2312858,0.15924248,4.384684,6.8890514,0.76358163,1.920758,6.8966374,0.0,0.171046,1.5113957,1.0
25,8.912409,1.2356753,1.2510315,0.15510672,4.735621,7.7542357,0.77781916,1.5746778,7.506429,0.0,0.16146578,1.4267429,1.0
26,8.643357,1.2486656,1.26124,0.14913997,4.8973937,8.153063,0.7993214,1.4340829,7.6142955,0.0,0.13261567,1.1718178,1.0
27,9.277321,1.2648668,1.2720293,0.143547,5.0722017,8.584026,0.8205847,1.3099849,7.748825,0.0,0.1392861,1.230759,1.0
28,8.871631,1.2609438,1.262625,0.16248387,4.6995916,7.6654105,0.75278217,1.2303104,7.7162495,0.0,0.16405217,1.4495968,1.0
29,8.635654,1.268083,1.2623507,0.16143501,4.7447476,7.7767363,0.7562431,1.1246767,7.775531,0.0,0.14888349,1.3155634,1.0
30,8.918924,1.2820232,1.2834377,0.15195896,4.97324,8.340051,0.7890164,1.10102,7.8912854,0.0,0.13561395,1.1983111,1.0
31,7.520348,1.1493391,1.2378871,0.1653461,4.2384224,6.528465,0.74349684,1.0299649,6.7895236,0.0,0.16229744,1.4340917,1.0
32,8.276467,1.2013417,1.233212,0.14082493,4.8706284,8.087077,0.83134824,0.94472796,7.2213354,0.0,0.12074329,1.0669111,1.0
33,7.668431,1.1388288,1.1739762,0.15417445,4.380114,6.8777847,0.7811022,1.0295944,6.7022495,0.0,0.15034156,1.3284471,1.0
34,9.253227,1.1865386,1.1821064,0.11622138,5.3436437,9.253227,0.94316685,0.9108366,7.098415,0.0,0.10430254,0.9216375,0.0
35,7.039051,1.0997205,1.1653868,0.14155151,4.445527,7.039051,0.8284477,0.94455814,6.377508,0.0,0.10776358,0.9522199,0.0
36,8.165693,1.0516555,1.0602702,0.116212614,4.7363772,7.7561,0.94321215,0.95857173,5.978394,0.0,0.13024648,1.1508831,1.0
37,4.921061,0.8921218,0.9441972,0.14655663,3.534808,4.793805,0.8090041,0.9919856,4.653682,0.0,0.12175437,1.0758452,1.0
38,3.602919,0.81700957,0.8099013,0.17134258,2.947706,3.3463907,0.7247677,1.0961577,4.029977,0.0,0.137958,1.2190237,1.0
39,2.9672945,0.6953667,0.7346071,0.1544224,2.6719413,2.6665328,0.78022635,1.1242633,3.0198972,0.0,0.14964144,1.3222607,1.0
40,2.9559674,0.57921666,0.6871194,0.116212614,2.608638,2.5104678,0.94321215,1.2527653,2.0554285,0.0,0.17055078,1.5070198,1.0
41,1.3796037,0.51903915,0.6344433,0.1465828,2.0563488,1.1488788,0.8089049,1.2145824,1.555736,0.0,0.14430222,1.2750823,1.0
42,2.0016403,0.63244575,0.6454061,0.16606216,2.3261304,1.8139862,0.7412096,1.2972722,2.4974241,0.0,0.1394641,1.2323318,1.0
43,1.6438273,0.5713654,0.64077073,0.16174431,2.1353896,1.3437424,0.7552192,1.3491633,1.9902346,0.0,0.1434526,1.267575,1.0
44,1.8855358,0.6866549,0.6312984,0.22472435,2.0773122,1.200561,0.5920084,1.5331646,2.947558,0.0,0.13921613,1.2301407,1.0
45,1.8011978,0.5547862,0.5951405,0.13962527,2.2602763,1.6516325,0.836182,1.7539672,1.8525667,0.0,0.1424518,1.2587316,1.0
46,1.2142098,0.5017183,0.5831109,0.15999784,1.8874136,0.7323936,0.7610374,2.0238388,1.4119095,0.0,0.15520786,1.3714467,1.0
47,2.0366883,0.6406564,0.6683285,0.16776142,2.3416939,1.8523557,0.7358377,2.4093375,2.5656025,0.05822085,0.13866036,1.2252297,1.0
48,6.747691,0.7436097,0.7478733,0.08267113,3.944953,5.8049583,1.0,2.9233742,3.4204905,0.37209857,0.16568264,1.4640039,1.0
49,4.0333886,0.74184686,0.736768,0.13462357,3.0852578,3.6855047,0.8569561,3.6431315,3.4058523,0.8115921,0.14369231,1.2696931,1.0
50,6.077353,0.8676297,0.8813545,0.1255841,3.7493272,5.3226714,0.8972423,2.923753,4.4503083,0.3723299,0.15901682,1.4051034,1.0
51,6.1960278,0.85138917,0.88160914,0.12323041,3.7169516,5.242854,0.90836114,3.6431177,4.315453,0.81158364,0.1719565,1.5194409,1.0
52,8.189289,0.8859759,0.8902288,0.09162873,4.486997,7.1412897,1.0,4.722613,4.6026487,1.470738,0.16062252,1.4192917,1.0
