window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,3.340823,0.9217273,0.87676907,0.42897722,1.0858471,2.0212219,0.98668253,12.983939,1.8074327,4.1760287,0.13941121,1.246824,1.0
1,4.4775233,0.9230703,0.91271144,0.31699952,1.2526776,2.639383,1.0,16.592493,1.8125062,5.596904,0.15075733,1.348298,1.0
2,6.2925544,0.7708074,0.6662563,0.5267324,0.8142813,1.0149816,0.86318094,22.35447,1.2373073,7.865693,0.11452991,1.0242981,1.0
3,8.113682,0.9467302,0.94673157,0.41003948,1.1407518,2.2246616,1.0,28.135796,1.9018854,10.142102,0.1536408,1.3740864,1.0
4,9.93481,0.95103383,0.93075097,0.37594593,1.19503,2.4257798,1.0,33.917126,1.918143,12.418511,0.12998194,1.1624933,1.0
5,11.027486,1.0107871,1.0612214,0.33463836,1.3396485,2.9616387,1.0,37.38592,2.1438713,13.784357,0.3247464,2.904369,1.0
6,11.0578375,1.0127835,0.9683206,0.2582693,1.4934559,3.5315454,1.0,37.482277,2.151413,13.822297,0.14796157,1.3232942,1.0
7,11.3614025,1.0441374,1.000984,0.25483498,1.5475276,3.7318985,1.0,38.44597,2.2698574,14.201753,0.15653652,1.3999842,1.0
8,10.568213,1.071573,1.0283401,0.37934262,1.340772,2.9658017,1.0,35.92792,2.3735,13.210266,0.156164,1.3966526,1.0
9,9.980372,1.0707852,1.0133976,0.35420194,1.3833,3.1233816,1.0,34.061768,2.370524,12.475465,0.1619752,1.4486251,1.0
10,10.113162,0.8826736,1.0017473,0.52348185,0.93566984,1.4647659,0.86678857,34.483322,1.6599009,12.641453,0.22740686,2.033813,1.0
11,9.561703,0.8242626,1.032571,0.49702302,0.8989655,1.3287642,0.89731544,32.732666,1.4392434,11.952128,0.22370379,2.0006945,1.0
12,8.521087,1.2614,1.1919646,0.28322768,1.7940396,4.645306,1.0,29.429136,3.0906034,10.651358,0.22464232,2.0090883,1.0
13,8.565816,0.69708335,0.76542413,0.5015716,0.75650704,0.80090916,0.8919154,29.571136,0.9588024,10.70727,0.2441475,2.183533,1.0
14,8.632911,1.2527504,1.1820557,0.28322768,1.7817377,4.599724,1.0,29.784134,3.057928,10.791139,0.24490115,2.1902733,1.0
15,8.677641,0.8451192,0.8530051,0.41955033,1.0067791,1.7282488,1.0,29.926132,1.5180327,10.847051,0.22313698,1.9956254,1.0
16,8.789464,0.92110395,0.8804872,0.498826,1.002612,1.7128084,0.8951672,30.281126,1.8050779,10.98683,0.12808909,1.1455646,1.0
17,8.901288,1.1534913,1.1456838,0.31197578,1.5761219,3.83785,1.0,30.636122,2.68296,11.12661,0.27937365,2.4985778,1.0
18,8.990748,1.1160144,1.0745165,0.40994295,1.3448852,2.9810426,1.0,30.92012,2.5413847,11.238435,0.20047423,1.7929411,1.0
19,9.080207,0.8932013,1.0354117,0.40082276,1.0883393,2.0304563,1.0,31.204117,1.6996709,11.350259,0.2862559,2.5601294,1.0
20,9.214396,0.6902194,0.73392653,0.5285867,0.7277226,0.6942534,0.8611363,31.630112,0.93287265,11.517996,0.123345114,1.1031369,1.0
21,9.236762,0.9449837,1.0014814,0.4420857,1.0963145,2.060007,0.9681084,31.70111,1.8952878,11.545952,0.3008849,2.6909637,1.0
22,9.259126,0.81476665,0.86464876,0.49969152,0.8860302,1.2808348,0.8941395,31.772108,1.4033709,11.573907,0.25539747,2.284147,1.0
