window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,1.008037,0.86782205,0.8535554,0.6670908,0.71061367,0.82332385,0.8804902,4.0300994,1.0398899,0.07329009,0.13883255,1.2884066,1.0
1,1.4588132,0.9742418,0.8773112,0.64376014,0.8132925,1.254861,0.9027753,3.2542288,1.3653953,0.024579251,0.1577936,1.4643706,1.0
2,1.0271726,0.84565353,0.89907944,0.6336536,0.71195436,0.82895845,0.91278297,2.3793042,0.9720833,0.0,0.1562873,1.4503917,1.0
3,1.6579442,0.96297294,0.86890274,0.58432007,0.845857,1.3917227,0.965001,2.3793042,1.3309273,0.0,0.16664782,1.5465404,1.0
4,0.9662418,0.5786683,0.62534326,0.22795038,0.7399012,0.946413,1.0,2.3793042,0.15545735,0.0,0.11420562,1.0598614,1.0
5,2.0008488,0.8190945,0.84150624,0.32281256,0.9340256,1.7622763,1.0,2.3793042,0.89084727,0.0,0.14943415,1.3867924,1.0
6,1.9435514,0.81143636,0.8268612,0.32281256,0.9252929,1.7255747,1.0,2.3793042,0.8674234,0.0,0.14664602,1.3609178,1.0
7,2.676052,0.9281102,0.9223319,0.2902279,1.0991797,2.4563837,1.0,2.3793042,1.2242929,0.0,0.13528751,1.2555075,1.0
8,2.4291956,0.8991922,0.92273337,0.2902279,1.0649316,2.3124464,1.0,2.3793042,1.1358416,0.0,0.123298876,1.1442496,1.0
9,2.3087296,0.8692106,0.8186159,0.3019372,1.0153434,2.1040378,1.0,2.3793042,1.0441371,0.0,0.13770667,1.277958,1.0
10,2.1358588,0.8388445,0.8118565,0.3019372,0.97987217,1.9549596,1.0,2.3793042,0.95125645,0.0,0.1362437,1.2643813,1.0
11,2.2751017,0.84041506,0.7947922,0.3019372,0.9817068,1.9626702,1.0,2.3793042,0.95606035,0.0,0.15676448,1.45482,1.0
12,2.1766024,0.8289349,0.7798498,0.32108745,0.9471099,1.8172667,1.0,2.0756109,0.9209461,0.0,0.16863208,1.5649548,1.0
13,0.7957418,0.6526699,0.63500786,0.42898583,0.6638734,0.6268844,1.0,0.81375915,0.38180557,0.0,0.19068357,1.7695991,1.0
14,1.2335716,0.7252625,0.5671234,0.42133057,0.7435015,0.9615443,1.0,0.55119574,0.6038441,0.0,0.19485432,1.8083049,1.0
15,1.4882615,0.7058844,0.7255552,0.32108745,0.806517,1.226385,1.0,0.5560366,0.54457235,0.0,0.17349681,1.610101,1.0
16,0.8454466,0.6205297,0.84846544,0.3608449,0.678187,0.6870415,1.0,0.6149531,0.28349856,0.0,0.1787386,1.6587462,1.0
17,1.1247289,0.63330704,0.6838073,0.32136756,0.7233613,0.8768994,1.0,0.6149531,0.3225805,0.0,0.1947661,1.8074862,1.0
18,1.0086355,0.6916277,0.6340902,0.42133057,0.7090208,0.8166293,1.0,0.61717904,0.5009654,0.0,0.18014227,1.6717727,1.0
19,1.1859735,0.7068765,0.7147302,0.388073,0.75023144,0.9898288,1.0,0.61717904,0.54760695,0.0,0.1687632,1.5661718,1.0
20,1.106106,0.69346386,0.737092,0.388073,0.7359962,0.9300011,1.0,0.61717904,0.5065817,0.0,0.16605386,1.5410283,1.0
21,1.1761707,0.7017183,0.7229646,0.3767443,0.7538204,1.0049125,1.0,0.61717904,0.5318295,0.0,0.1602231,1.486917,1.0
22,1.4578937,0.70790607,0.7437516,0.32136756,0.8085681,1.2350054,1.0,0.64456344,0.55075604,0.0,0.16331863,1.5156446,1.0
