window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,2.7612233,1.3653891,1.3774902,0.7140013,1.0113397,2.7149572,0.87917817,68.98693,3.1151927,0.83505946,0.10932875,1.0233823,1.0
1,2.2472308,1.2772872,1.4391258,0.8600184,0.8537464,1.737642,0.71687496,68.98693,2.6996026,0.83505946,0.15603188,1.4605515,1.0
2,2.5287516,1.4384888,1.56611,0.84489423,0.9713136,2.4667354,0.7308498,68.98693,3.4600153,0.83505946,0.09812444,0.91850334,0.0
3,2.8441927,1.4741087,1.7529194,0.83148617,1.0044593,2.6722884,0.7437026,68.98693,3.6280396,0.83505946,0.12334818,1.1546125,1.0
4,2.6734188,1.4629031,1.6254072,0.8668213,0.9733871,2.4795945,0.71076185,68.98693,3.5751812,0.83505946,0.122724295,1.1487727,1.0
5,5.1664624,1.6775559,1.7064819,0.5565129,1.4066478,5.1664624,1.0,68.98693,4.5877314,0.83505946,0.09298667,0.8704108,0.0
6,4.802589,1.7228824,1.7774107,0.65246505,1.3370775,4.7350216,0.97191197,70.93526,4.801543,0.89469326,0.11118635,1.0407706,1.0
7,5.6663375,1.6836576,1.7515992,0.56714225,1.3992926,5.120849,1.0,70.93526,4.616514,0.89469326,0.1393449,1.3043514,1.0
8,3.5625718,1.5376529,1.8998711,0.80546576,1.0666707,3.0580926,0.7699808,65.61109,3.927787,0.7317328,0.15718327,1.4713293,1.0
9,4.6040535,1.6679075,1.6524355,0.6313683,1.3159587,4.6040535,1.0,67.11822,4.542218,0.7778624,0.10173946,0.9523421,0.0
10,2.6701863,1.3538202,1.5690875,0.8161971,0.9322062,2.2242107,0.7589213,61.612316,3.0606203,0.6093394,0.1524841,1.4273423,1.0
11,3.8883245,1.5580924,1.8247302,0.7037939,1.1628664,3.6546507,0.8933167,61.612316,4.0242033,0.6093394,0.12634687,1.1826822,1.0
12,2.983073,1.4879138,1.7619976,0.8669689,0.9899315,2.5821946,0.71063036,2.5432134,3.6931605,0.0,0.14853677,1.3903929,1.0
13,3.0073502,1.4844837,1.8750179,0.8270819,1.0145736,2.7350123,0.74802357,2.3475792,3.67698,0.0,0.13533813,1.2668457,1.0
14,3.0597575,1.4936645,1.8764083,0.8320607,1.0173863,2.7524557,0.74314255,2.1629996,3.7202873,0.0,0.13940552,1.3049189,1.0
15,2.7717097,1.4470352,1.8119248,0.8669689,0.9627343,2.4135308,0.71063036,52.947784,3.5003297,0.34413794,0.14171311,1.3265194,1.0
16,2.9208999,1.3835062,1.9872822,0.7757361,0.979949,2.520288,0.80237365,49.313766,3.2006536,0.23290898,0.14876,1.3924825,1.0
17,2.6747417,1.4183904,1.6984226,0.86856437,0.9426759,2.2891386,0.70921224,44.874466,3.365208,0.09703216,0.14367557,1.344889,1.0
18,3.2746298,1.470734,1.937304,0.7889233,1.0320928,2.843658,0.7876749,44.562916,3.6121206,0.087496325,0.15290256,1.4312593,1.0
19,2.6801941,1.3421562,1.7972467,0.7765606,0.9501056,2.3352141,0.80143857,42.334736,3.0055993,0.019296842,0.14121999,1.3219035,1.0
20,3.3520672,1.4911579,1.7605,0.774055,1.0574588,3.000965,0.804287,42.030273,3.7084632,0.009977944,0.14254172,1.3342756,1.0
21,1.8996161,1.3350033,1.3993893,0.9561327,0.8384587,1.6428354,0.6392015,45.993782,2.971858,0.13129187,0.09090428,0.85091835,0.0
22,1.8938491,1.317319,1.5977613,0.9338583,0.8390906,1.6467539,0.65566534,43.914696,2.8884387,0.067655794,0.10314932,0.9655392,0.0
23,2.4639604,1.4648377,1.9634464,0.89389765,0.95742524,2.3806067,0.68743014,43.300545,3.5843067,0.04885804,0.102310546,0.9576878,0.0
24,2.7306552,1.4878472,1.9321016,0.8358764,1.0107968,2.7115905,0.7394446,41.44522,3.6928463,0.0,0.093301624,0.8733589,0.0
25,2.51616,1.5006917,1.5336192,0.91489905,0.967578,2.4435692,0.6703619,36.617054,3.7534354,0.0,0.106209755,0.99418676,0.0
26,2.5603383,1.2814652,1.240965,0.6910099,0.9656217,2.4314373,0.9116785,33.845737,2.7193105,0.0,0.11682828,1.0935824,1.0
27,2.7034423,1.4571985,1.7684397,0.81327224,1.0054147,2.6782138,0.761904,32.37962,3.5482717,0.0,0.101562984,0.9506902,0.0
