window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,21.91511,1.7566289,1.8416508,0.41873112,2.1873794,11.738159,0.90308356,1.550152,16.525192,0.0,0.21609595,2.3385255,1.0
1,21.250883,1.7479734,1.8452717,0.41873112,2.1766014,11.651861,0.90308356,1.4768062,16.40636,0.0,0.2070679,2.2408266,1.0
2,22.740072,1.7544274,1.8729987,0.43494922,2.1413927,11.3699465,0.86360943,1.3389057,16.494968,0.0,0.24985014,2.703803,1.0
3,20.32395,1.7305391,1.8511051,0.4479728,2.0791843,10.871846,0.83432406,1.2770059,16.167002,0.0,0.22620142,2.4478836,1.0
4,17.15425,1.6999465,1.9742931,0.50186944,1.9182144,9.582967,0.73164856,1.0918177,15.746993,0.0,0.22149166,2.3969162,1.0
5,20.05101,1.7853849,1.8790792,0.44558856,2.1512423,11.448812,0.83953595,0.9156556,16.919987,0.0,0.20106485,2.1758635,1.0
6,18.60031,1.7108771,1.8873059,0.42277166,2.1197433,11.196601,0.8929153,0.83066255,15.897059,0.0,0.1743501,1.8867643,1.0
7,23.308002,1.7775625,1.8557311,0.41303802,2.2292497,12.073414,0.91780996,0.7740404,16.812592,0.0,0.22718622,2.458541,1.0
8,23.510902,1.6631268,1.8027514,0.38027406,2.1751094,11.6399145,1.0,0.7016555,15.241491,0.0,0.23565331,2.5501692,1.0
9,24.395605,1.7509414,1.8148915,0.39833283,2.2371206,12.1364355,0.95816827,0.6856931,16.447107,0.0,0.23709854,2.5658092,1.0
10,20.761055,1.7537216,1.906272,0.4702384,2.0521398,10.655301,0.78860515,0.6831068,16.485277,0.0,0.2500157,2.7055948,1.0
11,22.574032,1.755545,1.8502941,0.44363347,2.1202824,11.200917,0.8438585,0.7180977,16.510311,0.0,0.2561674,2.7721667,1.0
12,22.00869,1.7448356,1.884121,0.44862133,2.094729,10.996311,0.8329176,0.7251042,16.363281,0.0,0.25472927,2.7566035,1.0
13,22.333141,1.7226186,1.8608547,0.4555928,2.0508919,10.645309,0.81809247,0.9305357,16.05826,0.0,0.2787962,3.0170486,1.0
14,22.76898,1.7454447,1.8655015,0.4555928,2.0780678,10.862906,0.81809247,1.106215,16.371643,0.0,0.27726927,3.0005248,1.0
15,26.901161,1.7494138,1.8148569,0.39653206,2.2403233,12.16208,0.9633557,1.230156,16.426136,0.0,0.29522648,3.1948524,1.0
16,27.58401,1.7348281,1.7963822,0.37897947,2.2727313,12.421569,1.0,1.4665893,16.225887,0.0,0.3052649,3.303485,1.0
17,14.389718,1.7183921,1.8088896,0.6696109,1.6304235,7.2786365,0.529026,1.8330073,16.000235,0.04520058,0.31454659,3.4039285,1.0
18,22.154293,1.7132518,1.8295615,0.4555928,2.03974,10.556018,0.81809247,2.0854685,15.929663,0.11666561,0.31691366,3.4295444,1.0
19,13.05198,1.3471223,1.7868097,0.51094586,1.504678,6.2717967,0.71679336,3.4282165,10.903028,0.49676174,0.26931933,2.9144928,1.0
20,13.081422,1.3603603,1.560034,0.5018172,1.5351168,6.515519,0.7317358,3.530328,11.084773,0.5256668,0.25419167,2.7507858,1.0
21,13.862953,1.3694927,1.3808333,0.47090647,1.6012776,7.045266,0.7873106,3.6406794,11.210153,0.5569043,0.2430877,2.630622,1.0
22,12.734708,1.3570274,1.3793269,0.50482213,1.5261806,6.4439673,0.7267488,3.743376,11.039016,0.585975,0.24748051,2.6781597,1.0
23,15.9944105,1.4033359,1.4621694,0.42810705,1.7272878,8.054224,0.87983423,3.9083364,11.674791,0.6326709,0.23949403,2.5917323,1.0
24,17.197725,1.4015888,1.4322389,0.34749395,1.915164,9.558542,1.0,4.077765,11.6508045,0.6806316,0.21810612,2.3602788,1.0
25,15.514685,1.3912634,1.445098,0.42798287,1.7126901,7.9373417,0.88013434,4.1690345,11.509046,0.70646757,0.23276857,2.5189514,1.0
26,17.491821,1.3973943,1.4450982,0.3931797,1.797238,8.614313,0.97316396,4.2769933,11.593218,0.7370278,0.2377246,2.5725842,1.0
27,17.697989,1.3752016,1.4013755,0.40378255,1.7449005,8.195249,0.94280434,4.2769933,11.288531,0.7370278,0.2674244,2.8939865,1.0
28,14.932103,1.3586016,1.3383521,0.44068655,1.6467297,7.409199,0.8504587,4.2769933,11.060628,0.7370278,0.2474937,2.6783025,1.0
29,14.822955,1.4068394,1.4143927,0.45316824,1.6797845,7.6738677,0.8231882,4.2769933,11.72289,0.7370278,0.23393063,2.531527,1.0
30,15.708651,1.3824596,1.435721,0.43296185,1.6914848,7.7675514,0.8682601,5.9792333,11.388178,1.2188865,0.24782853,2.6819258,1.0
31,14.559263,1.392216,1.4894146,0.46520448,1.6387726,7.345487,0.7984976,5.9792333,11.522123,1.2188865,0.24618839,2.6641767,1.0
32,13.109266,1.4149033,1.5530012,0.540215,1.5303556,6.477396,0.6727457,5.9792333,11.8336,1.2188865,0.2631446,2.847672,1.0
33,14.406068,1.4048241,1.416746,0.4714094,1.6416235,7.368314,0.78633887,5.9792333,11.695223,1.2188865,0.24197112,2.6185386,1.0
34,14.246286,1.3841348,1.4646939,0.46520448,1.6292602,7.2693214,0.7984976,5.9792333,11.411176,1.2188865,0.2411819,2.609998,1.0
35,19.889952,1.4402549,1.5489959,0.38560888,1.8705765,9.201531,0.99606663,5.9792333,12.181656,1.2188865,0.26117545,2.8263621,1.0
36,14.721872,1.3986752,1.5041766,0.46734187,1.642244,7.373282,0.7942671,5.9792333,11.610804,1.2188865,0.24986103,2.703921,1.0
37,13.336279,1.3959926,1.4797473,0.49923286,1.5799342,6.8743706,0.73607993,5.9792333,11.573974,1.2188865,0.2416855,2.6154478,1.0
38,13.863773,1.3822103,1.4305432,0.4781723,1.6025332,7.05532,0.77350163,5.9792333,11.384754,1.2188865,0.24404219,2.6409512,1.0
39,12.656471,1.4158814,1.408344,0.5253989,1.5563542,6.685566,0.6943444,5.9792333,11.847029,1.2188865,0.23461041,2.5388832,1.0
40,14.174453,1.4260472,1.3610961,0.45540568,1.6981822,7.8211775,0.81848353,5.9792333,11.986597,1.2188865,0.20983654,2.270788,1.0
41,13.265617,1.3641157,1.3952583,0.4447008,1.6454074,7.398612,0.8414931,5.901522,11.136332,1.1968886,0.20212857,2.1873746,1.0
42,13.195934,1.4172951,1.4022131,0.470507,1.6579449,7.498999,0.78808415,5.901522,11.866438,1.1968886,0.20093638,2.174473,1.0
43,13.639186,1.3784447,1.377612,0.44625464,1.6595807,7.512097,0.8380734,5.784538,11.3330555,1.1637734,0.20752387,2.245761,1.0
44,13.573123,1.4493499,1.5548658,0.47950238,1.6777875,7.657878,0.7710261,5.700712,12.306522,1.1400447,0.20605658,2.2298825,1.0
45,14.14846,1.4179759,1.4399651,0.4447008,1.710374,7.9187965,0.8414931,5.4378757,11.875785,1.0656427,0.20218155,2.187948,1.0
46,15.687134,1.4615017,1.6308247,0.45918742,1.7326,8.096759,0.81065273,3.732894,12.473356,0.5830078,0.23798902,2.5754457,1.0
47,22.581026,1.6583183,1.6999661,0.34132388,2.2852318,12.52166,1.0,3.1667376,15.175474,0.42274404,0.22124721,2.394271,1.0
48,19.552076,1.5553973,1.6538968,0.37912768,2.0372703,10.5362425,1.0,3.037654,13.762459,0.38620389,0.2034753,2.2019484,1.0
49,14.807379,1.4583066,1.4235853,0.43516332,1.7794929,8.472228,0.8631114,3.0238128,12.429489,0.38228583,0.19280073,2.0864315,1.0
50,13.8398485,1.4513929,1.6088845,0.5091301,1.6244384,7.230714,0.71971667,2.9815438,12.334571,0.37032062,0.23999363,2.597139,1.0
51,15.769357,1.4598435,1.5732415,0.44869867,1.7524245,8.255493,0.83275014,2.9237108,12.45059,0.35394964,0.22994284,2.4883723,1.0
52,15.130511,1.4618624,1.5915818,0.44869867,1.754848,8.274899,0.83275014,2.8847184,12.478309,0.34291193,0.21281923,2.3030658,1.0
53,15.378988,1.4997458,1.6062709,0.44869867,1.800324,8.639022,0.83275014,2.7099166,12.998414,0.2934302,0.20349757,2.2021894,1.0
