window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,3.0597684,1.3505145,1.4542186,0.8819128,0.8878702,2.353701,0.67136747,1.6862983,4.0964,0.0,0.12557328,1.3216181,1.0
1,3.0078998,1.3792173,1.3374562,0.93489724,0.8762184,2.2572837,0.62643415,1.6862092,4.2932367,0.0,0.12716112,1.3383296,1.0
2,3.6099944,1.3739396,1.567341,0.8581249,0.91762114,2.5998864,0.69370717,3.035422,4.2570443,1.6456763,0.15539666,1.6354995,1.0
3,3.4396071,1.404945,1.427846,0.9200787,0.9010459,2.4627285,0.63838357,3.035422,4.469672,1.6456763,0.15079021,1.5870181,1.0
4,3.3796668,1.3956898,1.4622613,0.9429081,0.8821937,2.3067286,0.62015873,3.035422,4.4062023,1.6456763,0.15930459,1.6766292,1.0
5,3.3192372,1.397113,1.4754943,0.9598722,0.8737245,2.2366474,0.60727614,3.035422,4.4159617,1.6456763,0.15955226,1.6792358,1.0
6,3.7259276,1.4349704,1.5051671,0.9432873,0.9068049,2.5103836,0.6198648,3.035422,4.675579,1.6456763,0.1725438,1.8159674,1.0
7,3.245725,1.3486906,1.4790906,0.9007124,0.87584615,2.2542036,0.6547051,4.0469446,4.083892,2.9916391,0.15308912,1.6112133,1.0
8,4.546397,1.3334146,1.4772443,0.9230237,0.8535585,2.069776,0.6359726,6.0695624,3.9791322,5.6829963,0.17497727,1.8415791,1.0
9,3.7651596,1.4784348,1.4511945,0.9598722,0.92458147,2.6574821,0.60727614,4.0469446,4.9736485,2.9916391,0.16195558,1.70453,1.0
10,4.546397,1.316811,1.4066014,0.92620546,0.84121674,1.9676497,0.6333882,6.0695624,3.8652685,5.6829963,0.16613509,1.748518,1.0
11,4.546397,1.5345494,1.4356116,0.9572197,0.96126884,2.9610655,0.609255,6.0695624,5.3584695,5.6829963,0.16721462,1.7598796,1.0
12,3.316951,1.3253392,1.4815784,0.89833933,0.86201,2.1397111,0.6567626,4.0469446,3.9237533,2.9916391,0.1729675,1.8204268,1.0
13,5.0449286,1.6561433,1.5215865,0.9173624,1.0640028,3.8111758,0.6406236,6.0695624,6.192333,5.6829963,0.16878383,1.7763951,1.0
14,2.9645562,1.2484521,1.4980375,0.8730706,0.8255703,1.8381772,0.6795013,4.0469446,3.3964787,2.9916391,0.17225343,1.8129115,1.0
15,4.39253,1.6444688,1.622668,0.95299566,1.0328573,3.553451,0.61243314,3.035422,6.112272,1.6456763,0.14209324,1.4954853,1.0
16,2.5654855,1.2963922,1.487458,0.97747034,0.80191046,1.6423951,0.5944656,3.035422,3.7252412,1.6456763,0.13803743,1.4527992,1.0
17,3.02039,1.3944783,1.4171796,0.90165037,0.9050296,2.495693,0.6538953,3.035422,4.397894,1.6456763,0.10866761,1.1436914,1.0
18,2.5474598,1.2988003,1.4707884,0.9007572,0.8434226,1.9859028,0.65466636,3.372264,3.7417557,2.0938883,0.10585967,1.1141387,1.0
19,2.2673838,1.2754277,1.6102997,0.92657775,0.81458616,1.7472849,0.6330872,2.3609314,3.5814714,0.7481783,0.08472264,0.8916783,0.0
20,2.4283888,1.2981455,1.6037058,0.9255888,0.8296195,1.8716842,0.63388747,2.3609314,3.7372653,0.7481783,0.1018197,1.0716194,1.0
21,2.6361175,1.314757,1.4171717,0.98236865,0.81081367,1.716068,0.5909956,2.3609314,3.851183,0.7481783,0.13796352,1.4520214,1.0
22,2.4777925,1.2681142,1.3197143,0.89516604,0.8264963,1.8458399,0.6595342,2.3609314,3.5313172,0.7481783,0.11235519,1.1825019,1.0
23,3.184925,1.4487989,1.6539632,0.91836464,0.93019366,2.7039225,0.6397953,2.36086,4.770412,0.7480835,0.10683022,1.1243534,1.0
24,2.3616555,1.2737876,1.3883402,0.9183197,0.8178522,1.774311,0.6398324,2.3609314,3.570224,0.7481783,0.10420236,1.096696,1.0
25,2.8076558,1.3271525,1.427333,0.93695325,0.84204173,1.9744763,0.62481153,2.3609314,3.9361885,0.7481783,0.13345863,1.4046088,1.0
26,2.8893924,1.2982556,1.286587,0.87611747,0.85677785,2.0964158,0.6766764,2.3609314,3.7380197,0.7481783,0.13364777,1.4065994,1.0
27,2.8317456,1.321147,1.4315015,1.003127,0.804456,1.6634591,0.5767286,2.3609314,3.8950038,0.7481783,0.1657582,1.7445514,1.0
28,3.0202606,1.3092586,1.4602968,0.8458012,0.8816791,2.3024707,0.7058755,2.3609314,3.813476,0.7481783,0.12813593,1.3485892,1.0
29,2.67571,1.2736442,1.3437068,0.97160786,0.79070663,1.5496849,0.59867275,2.3609314,3.5692406,0.7481783,0.1634798,1.720572,1.0
30,2.9549708,1.3613958,1.4110268,0.9782081,0.84173566,1.9719436,0.5939404,2.3609314,4.1710215,0.7481783,0.1473546,1.5508595,1.0
31,2.9530532,1.3400582,1.3273342,0.98546624,0.8248413,1.8321451,0.588822,2.3609314,4.024693,0.7481783,0.16182505,1.7031561,1.0
32,2.8618774,1.2991083,1.2985176,0.9210173,0.83266747,1.8969055,0.63761324,2.3609314,3.7438674,0.7481783,0.14900312,1.5682095,1.0
33,2.3485644,1.1915702,1.2891868,0.94286233,0.75319463,1.2392777,0.6201942,2.3609314,3.0063953,0.7481783,0.16548553,1.7416816,1.0
34,2.605512,1.2837801,1.3087926,0.96345174,0.8010553,1.6353189,0.6046258,2.3609314,3.6387503,0.7481783,0.14504127,1.5265124,1.0
35,2.8939924,1.2535218,1.4806595,0.8634647,0.8342219,1.9097682,0.688564,2.3609314,3.4312458,0.7481783,0.1560691,1.6425767,1.0
36,2.3857925,1.2483823,1.3027484,0.9966399,0.76316357,1.3217695,0.5811125,2.3609314,3.3960004,0.7481783,0.1517359,1.5969712,1.0
37,3.1813922,1.3461673,1.2771604,0.95297176,0.8455129,2.0032,0.61245126,2.3609314,4.066588,0.7481783,0.17031172,1.7924756,1.0
38,2.245206,1.2261678,1.2935684,1.0425808,0.7291066,1.0399524,0.5514278,2.3609314,3.243658,0.7481783,0.16430955,1.7293047,1.0
39,3.0101275,1.2893844,1.24233,0.85487086,0.86302435,2.148105,0.69687927,2.3609314,3.6771832,0.7481783,0.14242983,1.4990277,1.0
40,2.6212919,1.2515302,1.2785368,0.95053434,0.7872776,1.5213099,0.6143004,1.6862803,3.4175875,0.0,0.16249591,1.7102168,1.0
41,3.4708395,1.4470255,1.3203946,0.9790132,0.8942344,2.4063642,0.5933683,1.6862803,4.7582507,0.0,0.15726691,1.6551833,1.0
42,2.1911724,1.2414793,1.3070184,1.0391953,0.73970026,1.1276135,0.5535114,1.6861912,3.348661,0.0,0.14446783,1.520477,1.0
