window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,3.1784484,1.0882896,1.3235301,0.35873574,2.3302512,2.2573426,0.7611964,0.0,3.850043,0.0,0.18715732,1.241595,1.0
1,2.897149,1.0697079,1.1739427,0.4113454,2.05857,1.8737571,0.7248355,0.0,3.7698102,0.0,0.17669196,1.1721683,1.0
2,6.822749,1.0376712,1.2407328,0.08327803,5.4166956,6.615077,1.0,0.0,3.6314814,0.0,0.16426024,1.0896966,1.0
3,3.78379,1.3660969,1.3788539,0.37534428,2.8246427,2.9553711,0.74932957,0.0,5.049567,0.0,0.15019143,0.99636465,0.0
4,3.0286977,0.9955546,1.2273312,0.2601289,2.7022283,2.782535,0.84019434,0.0,3.4496293,0.0,0.17010719,1.1284851,1.0
5,2.658742,0.98490506,1.2338628,0.35540733,2.124021,1.9661672,0.7636199,0.0,3.4036462,0.0,0.16062376,1.0655724,1.0
6,2.631615,0.93059736,0.9680302,0.31675988,2.1893787,2.0584455,0.7929333,0.0,3.169155,0.0,0.17108077,1.1349438,1.0
7,3.0261045,0.91084945,0.9426355,0.21322271,2.8330033,2.9671755,0.88382673,0.0,3.0838869,0.0,0.15929294,1.0567437,1.0
8,2.6774983,0.889435,0.9241358,0.24894562,2.4897642,2.482558,0.8502013,0.0,2.991423,0.0,0.17346254,1.1507444,1.0
9,2.041524,0.7074741,0.87293345,0.26295793,1.9056597,1.657864,0.83770007,0.0,2.205747,0.0,0.19590421,1.2996217,1.0
10,4.9421363,0.91078544,0.90239733,0.11434404,4.0909348,4.7432423,0.9924746,0.0,3.0836103,0.0,0.16879891,1.119806,1.0
11,4.1738906,0.7654398,0.85274947,0.12204837,3.3230958,3.6591346,0.9830587,0.0,2.456033,0.0,0.21132675,1.4019343,1.0
12,2.3231492,0.76787573,0.77471423,0.24742766,2.1586602,2.015074,0.851578,0.0,2.4665508,0.0,0.1964001,1.3029114,1.0
13,1.5556673,0.5919037,0.6992291,0.24790658,1.6617285,1.3134588,0.8511431,0.0,1.7067337,0.0,0.18127434,1.2025676,1.0
14,1.6806402,0.6647741,0.8383607,0.32904646,1.5200484,1.1134214,0.78337306,0.0,2.0213757,0.0,0.17716238,1.175289,1.0
15,1.2883544,0.6020668,0.80484277,0.47155553,1.038321,0.43327308,0.68726355,0.0,1.7506163,0.0,0.18124536,1.2023753,1.0
16,1.3955075,0.5326277,0.5075626,0.3492248,1.1641734,0.61096334,0.7681627,0.0,1.4507902,0.0,0.25935873,1.7205768,1.0
17,1.2301689,0.48147687,0.46335056,0.3492248,1.0523721,0.4531117,0.7681627,0.0,1.2299296,0.0,0.28083217,1.8630308,1.0
18,0.8279279,0.42480212,0.5909099,0.29222414,1.0606394,0.46478426,0.8127404,0.0,0.98521775,0.0,0.16537029,1.0970607,1.0
19,0.6581329,0.37947485,0.5760929,0.29222414,0.9474669,0.30499664,0.8127404,0.0,0.7895024,0.0,0.1617958,1.0733476,1.0
20,0.5898514,0.3629853,0.46819547,0.34938726,0.7931015,0.08704892,0.7680427,0.0,0.7183034,0.0,0.18053254,1.1976466,1.0
21,0.49151158,0.34232464,0.54969084,0.36582482,0.7220275,0.0,0.75608563,0.0,0.6290941,0.0,0.16510242,1.0952836,1.0
22,0.88372064,0.3215633,0.31824476,0.13253742,1.3352381,0.85248876,0.9705228,0.0,0.5394502,0.0,0.16651799,1.1046745,1.0
23,0.8700288,0.32879853,0.3175181,0.1412045,1.3178535,0.82794344,0.9604032,0.0,0.5706907,0.0,0.17263162,1.1452321,1.0
24,1.1646605,0.36274913,0.5643501,0.1349263,1.4914609,1.073059,0.9677124,0.0,0.71728355,0.0,0.1875047,1.2438996,1.0
25,1.0334201,0.3492972,0.59941214,0.1415432,1.398116,0.9412657,0.960012,0.0,0.65920043,0.0,0.19290546,1.279728,1.0
26,2.1439846,0.46973395,0.52275395,0.13835534,1.9044837,1.6562035,0.9637065,0.0,1.1792257,0.0,0.27758345,1.8414788,1.0
27,0.17585734,0.23732403,0.4882047,0.22782162,0.70608485,0.0,0.86976874,0.0,0.17571948,0.0,0.2156146,1.4303797,1.0
28,0.6725247,0.2381643,0.30706176,0.100384705,1.141313,0.57868683,1.0,0.0,0.17934766,0.0,0.22057769,1.4633046,1.0
29,0.17179187,0.24433938,0.38097304,0.39549074,0.4850104,0.0,0.7354223,0.0,0.20601055,0.0,0.20840979,1.3825833,1.0
30,0.15525466,0.24052955,0.67445815,0.4113475,0.4628786,0.0,0.7248341,0.0,0.18956038,0.0,0.20670594,1.37128,1.0
31,0.4647424,0.23768179,0.34957957,0.122950934,1.027849,0.41848764,0.98196733,0.0,0.17726424,0.0,0.1983422,1.3157952,1.0
32,0.80532044,0.23587407,0.5715201,0.075023405,1.2867186,0.7839843,1.0,0.0,0.16945882,0.0,0.16246046,1.077757,1.0
33,0.6187234,0.23517366,0.3813377,0.096634075,1.1476079,0.58757466,1.0,0.0,0.16643456,0.0,0.173571,1.151464,1.0
34,0.81715405,0.23563358,0.46203092,0.074679464,1.287823,0.78554356,1.0,0.0,0.16842043,0.0,0.16807026,1.1149722,1.0
35,0.6794442,0.23700804,0.3864559,0.08715113,1.2126762,0.6794442,1.0,0.0,0.17435507,0.0,0.14768381,0.97972924,0.0
36,0.6866457,0.23627587,0.35947934,0.0857313,1.2177768,0.6866457,1.0,0.0,0.1711937,0.0,0.13099195,0.868996,0.0
37,0.66736466,0.23533592,0.3663762,0.08715113,1.2041206,0.66736466,1.0,0.0,0.16713516,0.0,0.13147905,0.87222743,0.0
38,1.2293596,0.2448976,0.40229335,0.04988799,1.5482309,1.1532121,1.0,0.0,0.20842089,0.0,0.17917787,1.1886597,1.0
39,0.70244914,0.23557727,0.31484082,0.08905137,1.193749,0.6527209,1.0,0.0,0.16817728,0.0,0.18355155,1.2176745,1.0
40,0.767594,0.23797573,0.32937026,0.08455248,1.2340356,0.70960146,1.0,0.0,0.17853342,0.0,0.18593729,1.2335014,1.0
41,0.754117,0.23620003,0.32001778,0.08490572,1.2225882,0.6934389,1.0,0.0,0.17086627,0.0,0.18842568,1.2500093,1.0
42,2.0355687,0.32411158,0.3925276,0.05138927,2.0297534,1.8330712,1.0,0.0,0.55045325,0.0,0.19831666,1.3156258,1.0
43,1.4252688,0.23569316,0.35991025,0.03872373,1.6031941,1.2308145,1.0,0.0,0.16867766,0.0,0.21878245,1.4513952,1.0
44,1.0400134,0.23696849,0.3470326,0.060796548,1.4014543,0.94597906,1.0,0.0,0.17418432,0.0,0.19355127,1.2840123,1.0
45,1.0931956,0.23924558,0.34043664,0.060796548,1.4149213,0.964993,1.0,0.0,0.1840164,0.0,0.20795722,1.379581,1.0
46,0.6300602,0.24249625,0.27497023,0.10372991,1.1437374,0.58211,1.0,0.0,0.19805226,0.0,0.1862162,1.2353518,1.0
47,1.5367601,0.29532957,0.33985665,0.06014521,1.7533615,1.4428349,1.0,0.0,0.42617747,0.0,0.17877595,1.1859934,1.0
48,1.5568881,0.2917166,0.35166085,0.05075701,1.8341417,1.5568881,1.0,0.0,0.4105773,0.0,0.13848838,0.91872704,0.0
49,2.0935776,0.3218504,0.404013,0.03706235,2.2142618,2.0935776,1.0,0.0,0.5406898,0.0,0.13979585,0.92740077,0.0
50,1.2338254,0.28688222,0.3294223,0.073052436,1.5819829,1.2008663,1.0,0.0,0.38970327,0.0,0.16256003,1.0784175,1.0
51,1.0997622,0.28570127,0.31821078,0.08161847,1.5044076,1.0913383,1.0,0.0,0.38460416,0.0,0.15406382,1.022054,1.0
52,0.98923445,0.28536052,0.28670037,0.09261179,1.420391,0.9727156,1.0,0.0,0.3831328,0.0,0.15805338,1.0485206,1.0
53,1.09254,0.28586292,0.3134492,0.08161847,1.5052588,1.09254,1.0,0.0,0.3853021,0.0,0.12617785,0.83705944,0.0
54,0.8629451,0.27180305,0.27931768,0.09486164,1.3379252,0.85628265,1.0,0.0,0.324594,0.0,0.15409042,1.0222304,1.0
55,0.759526,0.2579104,0.26502833,0.094884746,1.2693956,0.759526,1.0,0.0,0.2646079,0.0,0.119679816,0.7939517,0.0
56,0.21709047,0.2585262,0.3208653,0.36567917,0.54544824,0.0,0.7561899,0.0,0.26726684,0.0,0.1826745,1.2118562,1.0
57,1.4814475,0.3142846,0.36810306,0.06820302,1.7807095,1.4814475,1.0,0.0,0.508022,0.0,0.123573475,0.8197821,0.0
58,0.37909356,0.31437042,0.38696694,0.38057154,0.64306504,0.0,0.74567086,0.0,0.50839263,0.0,0.13621832,0.90366757,0.0
59,0.37924427,0.3011369,0.36352617,0.25986728,0.817955,0.12213948,0.8404257,0.0,0.45125258,0.0,0.13305673,0.8826937,0.0
60,0.33550078,0.2881314,0.34921253,0.3324784,0.65370095,0.0,0.7807437,0.0,0.39509696,0.0,0.18848042,1.2503725,1.0
61,1.7450355,0.26211962,0.30655003,0.024940439,1.9674006,1.7450355,1.0,0.0,0.2827826,0.0,0.14984405,0.99406016,0.0
62,0.7209463,0.26293913,0.27197686,0.11046306,1.2019851,0.66434956,0.99728656,0.0,0.28632107,0.0,0.18742992,1.2434036,1.0
63,1.0272865,0.25083464,0.28277925,0.063626364,1.4590418,1.0272865,1.0,0.0,0.23405601,0.0,0.14175709,0.9404115,0.0
64,1.2463957,0.25191492,0.27898586,0.054745052,1.5451485,1.1488601,1.0,0.0,0.23872045,0.0,0.18730353,1.242565,1.0
65,0.44544032,0.31304947,0.3322342,0.21089002,0.98078966,0.35204485,0.8861152,0.0,0.50268894,0.0,0.14924666,0.9900971,0.0
66,0.3052397,0.28297016,0.31356108,0.38067627,0.5787098,0.0,0.74559796,0.0,0.37281165,0.0,0.19299492,1.2803216,1.0
67,0.45057806,0.31442127,0.93115,0.35264587,0.68213516,0.0,0.7656423,0.0,0.50861216,0.0,0.21838441,1.4487545,1.0
68,2.6523309,0.9718692,1.1839164,0.48366323,1.6417978,1.2853187,0.68017364,0.0,3.3473594,0.0,0.22177874,1.4712723,1.0
