channel,error,precision,recall,f1,tp,tn,fp,fn,context_ood_rate_window,context_ood_rate_point,score_mode,elapsed_seconds
A-1,,1.0,0.5,0.6666666666666666,42.0,8272.0,0.0,42.0,0.0,0.0,counterfactual_successor_memory_uncertainty,101.05299544334412
A-2,,0.24,0.05454545454545454,0.08888888888888889,6.0,7501.0,19.0,104.0,0.1608667104399212,0.6136304062909568,counterfactual_successor_memory_uncertainty,78.94153714179993
A-3,,1.0,0.010810810810810811,0.0213903743315508,2.0,7736.0,0.0,183.0,0.17657475335188463,0.5724024744350461,counterfactual_successor_memory_uncertainty,104.24580931663513
A-4,,0.5,0.02727272727272727,0.05172413793103448,3.0,7683.0,3.0,107.0,0.3013751445829585,0.7924576706003078,counterfactual_successor_memory_uncertainty,74.54274678230286
A-5,,0.024810475534114404,0.72,0.047968021319120584,36.0,2944.0,1415.0,14.0,1.0,1.0,counterfactual_successor_memory_uncertainty,23.80788826942444
A-6,,0.01008695652173913,0.725,0.019897084048027446,29.0,1283.0,2846.0,11.0,0.8415984593163216,0.9923242983928999,counterfactual_successor_memory_uncertainty,14.101035833358765
A-7,,0.9671926910299004,0.9704166666666667,0.968801996672213,2329.0,5868.0,79.0,71.0,0.892822851656265,0.9935306097999281,counterfactual_successor_memory_uncertainty,126.73006319999695
A-8,,0.0,0.0,0.0,0.0,4286.0,0.0,3805.0,0.904284299157999,0.9976517117785193,counterfactual_successor_memory_uncertainty,20.946027040481567
A-9,,0.050314465408805034,0.006211180124223602,0.0110573600552868,24.0,3833.0,453.0,3840.0,0.9938537185003073,1.0,counterfactual_successor_memory_uncertainty,19.398756504058838
B-1,,0.9459459459459459,1.0,0.9722222222222222,70.0,7686.0,4.0,0.0,0.0,0.0,counterfactual_successor_memory_uncertainty,69.1348147392273
C-1,,0.0,0.0,0.0,0.0,1630.0,40.0,310.0,0.3053435114503817,0.702020202020202,counterfactual_successor_memory_uncertainty,55.21411180496216
C-2,,0.13026819923371646,0.5037037037037037,0.2070015220700152,68.0,1178.0,454.0,67.0,1.0,1.0,counterfactual_successor_memory_uncertainty,17.93435025215149
D-1,,0.9996580027359782,0.8971761817065684,0.9456486573924296,2923.0,4966.0,1.0,335.0,0.8628501827040195,0.9843161094224924,counterfactual_successor_memory_uncertainty,81.50538039207458
D-11,,0.0243531202435312,0.26666666666666666,0.044630404463040445,16.0,6446.0,641.0,44.0,0.4569545709478407,0.6583181754582342,counterfactual_successor_memory_uncertainty,116.44092130661011
D-12,,1.0,0.02701715954728003,0.0526128688233203,74.0,4895.0,0.0,2665.0,0.34637091481821763,0.34975111343987425,counterfactual_successor_memory_uncertainty,4.652754068374634
D-13,,1.0,0.4625,0.6324786324786325,74.0,7219.0,0.0,86.0,0.0,0.0,counterfactual_successor_memory_uncertainty,46.17732858657837
D-14,,0.595,0.5409090909090909,0.5666666666666667,119.0,2040.0,81.0,101.0,0.0,0.0,counterfactual_successor_memory_uncertainty,108.93493390083313
D-15,,0.4172661870503597,0.090625,0.14890885750962773,58.0,1153.0,81.0,582.0,0.6853146853146853,0.9626467449306296,counterfactual_successor_memory_uncertainty,56.094736099243164
D-16,,0.7838926174496644,0.8984615384615384,0.8372759856630825,584.0,1096.0,161.0,66.0,0.607293868921776,0.8327215521761929,counterfactual_successor_memory_uncertainty,48.47103309631348
D-2,,0.9121621621621622,0.03201327958264169,0.061855670103092786,135.0,4081.0,13.0,4082.0,0.0,0.0,counterfactual_successor_memory_uncertainty,91.1961100101471
D-3,,0.8140691026597067,1.0,0.8975061660728967,3275.0,4333.0,748.0,0.0,0.9932861767174199,1.0,counterfactual_successor_memory_uncertainty,84.15389609336853
D-4,,0.901588201928531,0.9790575916230366,0.9387272995718293,3179.0,4595.0,347.0,68.0,0.5683875703449963,0.6450116009280742,counterfactual_successor_memory_uncertainty,43.98644256591797
D-5,,0.01161995898838004,0.34,0.02247191011235955,17.0,5848.0,1446.0,33.0,1.0,1.0,counterfactual_successor_memory_uncertainty,28.41047739982605
D-6,,1.0,0.225,0.3673469387755102,18.0,7520.0,0.0,62.0,1.0,1.0,counterfactual_successor_memory_uncertainty,23.62839150428772
D-7,,1.0,0.0273972602739726,0.05333333333333334,74.0,4657.0,0.0,2627.0,0.0,0.0,counterfactual_successor_memory_uncertainty,38.78459191322327
D-8,,0.9047619047619048,0.76,0.8260869565217391,38.0,7536.0,4.0,12.0,0.0,0.0,counterfactual_successor_memory_uncertainty,26.449273347854614
D-9,,0.9911504424778761,0.09696969696969697,0.17665615141955837,112.0,5966.0,1.0,1043.0,0.0,0.0,counterfactual_successor_memory_uncertainty,62.271979093551636
E-1,,0.7109144542772862,0.4762845849802372,0.570414201183432,241.0,7628.0,98.0,265.0,0.05671169526591213,0.23663751214771622,counterfactual_successor_memory_uncertainty,39.05988597869873
E-10,,0.8286713286713286,0.740625,0.7821782178217822,237.0,7852.0,49.0,83.0,0.10272970996831586,0.20240846612334265,counterfactual_successor_memory_uncertainty,42.05039596557617
E-11,,0.8085106382978723,0.7781569965870307,0.7930434782608695,228.0,7883.0,54.0,65.0,0.0923919659160073,0.30534629404617253,counterfactual_successor_memory_uncertainty,28.410396099090576
E-12,,0.20845697329376855,0.4836488812392427,0.2913426645930534,281.0,6580.0,1067.0,300.0,0.03725800560087666,0.22119591638308217,counterfactual_successor_memory_uncertainty,27.13126564025879
E-13,,0.08524904214559387,0.34099616858237547,0.1363984674329502,89.0,7140.0,955.0,172.0,0.17419973624265675,0.4932982288176161,counterfactual_successor_memory_uncertainty,26.4191312789917
E-2,,1.0,0.019327129563350035,0.037921348314606744,27.0,6851.0,0.0,1370.0,0.9699987853759261,1.0,counterfactual_successor_memory_uncertainty,26.319661140441895
E-3,,0.8611751152073732,0.4654420921544209,0.6042845594179467,1495.0,4570.0,241.0,1717.0,0.4639110889110889,0.6326810420042378,counterfactual_successor_memory_uncertainty,41.43772768974304
E-4,,1.0,0.003913198150124511,0.007795889440113395,11.0,5259.0,0.0,2800.0,0.7630043451272501,0.9866171003717472,counterfactual_successor_memory_uncertainty,25.344631910324097
E-5,,0.0,0.0,0.0,0.0,6565.0,1125.0,320.0,0.9533458411507192,1.0,counterfactual_successor_memory_uncertainty,25.4698486328125
E-6,,0.7386363636363636,1.0,0.8496732026143791,65.0,7928.0,23.0,0.0,0.8750156230471191,0.9908932135728543,counterfactual_successor_memory_uncertainty,28.04781150817871
E-7,,0.7253886010362695,1.0,0.8408408408408409,280.0,7640.0,106.0,0.0,0.18112595181625266,0.3694243707949165,counterfactual_successor_memory_uncertainty,34.8531756401062
E-8,,0.5045454545454545,0.35691318327974275,0.4180790960451977,222.0,7408.0,218.0,400.0,0.9911332442609012,1.0,counterfactual_successor_memory_uncertainty,26.568723440170288
E-9,,0.0,0.0,0.0,0.0,6919.0,749.0,350.0,0.9983756091465701,1.0,counterfactual_successor_memory_uncertainty,29.0539448261261
F-1,,0.08011869436201781,0.81,0.14581458145814583,81.0,7270.0,930.0,19.0,0.5029571514785758,0.9495180722891566,counterfactual_successor_memory_uncertainty,27.542754650115967
F-2,,1.0,0.5375507442489851,0.6992299229922992,1589.0,5386.0,0.0,1367.0,0.811456707097394,0.9967633660992568,counterfactual_successor_memory_uncertainty,65.19404458999634
F-3,,0.0074046649389115145,1.0,0.01470047776552738,40.0,2690.0,5362.0,0.0,1.0,1.0,counterfactual_successor_memory_uncertainty,95.86405396461487
F-4,,0.011363636363636364,0.08571428571428572,0.020066889632107024,6.0,2546.0,522.0,64.0,0.5126480947806596,0.815806246016571,counterfactual_successor_memory_uncertainty,59.2228307723999
F-5,,0.8835616438356164,0.86,0.8716216216216216,129.0,3471.0,17.0,21.0,0.22081148219707425,0.5384826827927433,counterfactual_successor_memory_uncertainty,68.0102949142456
F-7,,0.0,0.0,0.0,0.0,4350.0,0.0,420.0,0.32407991587802315,0.8167714884696017,counterfactual_successor_memory_uncertainty,78.10225868225098
F-8,,0.6971153846153846,0.27052238805970147,0.3897849462365591,145.0,1604.0,63.0,391.0,0.7778793418647166,0.9559691330004539,counterfactual_successor_memory_uncertainty,96.47628569602966
G-1,,0.06731813246471227,0.5166666666666667,0.11911623439000961,62.0,7206.0,859.0,58.0,0.9987760097919217,1.0,counterfactual_successor_memory_uncertainty,79.10567808151245
G-2,,0.7857142857142857,0.825,0.8048780487804879,33.0,7028.0,9.0,7.0,0.0,0.0,counterfactual_successor_memory_uncertainty,87.76322937011719
G-3,,0.0819327731092437,0.78,0.1482889733840304,39.0,7136.0,437.0,11.0,0.10212933753943218,0.1058638331365604,counterfactual_successor_memory_uncertainty,91.11107468605042
G-4,,0.15873015873015872,1.0,0.273972602739726,30.0,7159.0,159.0,0.0,0.14823401063684713,0.40242242787152965,counterfactual_successor_memory_uncertainty,87.22161889076233
G-6,,0.009306144792664568,0.68,0.018361009855542055,68.0,1017.0,7239.0,32.0,1.0,1.0,counterfactual_successor_memory_uncertainty,87.94498705863953
G-7,,0.26526082130965595,0.9018867924528302,0.4099485420240137,239.0,6818.0,662.0,26.0,0.3868046571798189,0.5455132343447385,counterfactual_successor_memory_uncertainty,67.25958514213562
M-1,,1.0,0.0412280701754386,0.07919123841617523,47.0,853.0,0.0,1093.0,0.33417593528816986,0.8033115905669844,counterfactual_successor_memory_uncertainty,38.30598258972168
M-2,,0.657074340527578,0.24035087719298245,0.3519588953114965,274.0,710.0,143.0,866.0,0.8614762386248737,0.9799297541394882,counterfactual_successor_memory_uncertainty,32.223063230514526
M-3,,0.0,0.0,0.0,0.0,1593.0,0.0,250.0,0.4310722100656455,0.8773738469886055,counterfactual_successor_memory_uncertainty,51.29487323760986
M-4,,0.0,0.0,0.0,0.0,1504.0,0.0,250.0,0.3887291546866015,0.7006841505131128,counterfactual_successor_memory_uncertainty,63.260825634002686
M-5,,0.18518518518518517,0.11666666666666667,0.14314928425357873,35.0,1565.0,154.0,265.0,0.5229540918163673,0.7870232788509163,counterfactual_successor_memory_uncertainty,68.48476052284241
M-6,,0.0,0.0,0.0,0.0,1511.0,74.0,180.0,0.0,0.0,counterfactual_successor_memory_uncertainty,36.555309534072876
M-7,,0.05697151424287856,0.76,0.10599721059972106,76.0,514.0,1258.0,24.0,0.4448034464189553,0.4577991452991453,counterfactual_successor_memory_uncertainty,24.788021087646484
P-1,,0.8860465116279069,0.5093582887700535,0.6468590831918506,381.0,7424.0,49.0,367.0,0.1924201803558372,0.6079552365892227,counterfactual_successor_memory_uncertainty,31.46997857093811
P-10,,0.07195696032279758,0.823076923076923,0.13234384662956092,107.0,4306.0,1380.0,23.0,0.9858645061196345,1.0,counterfactual_successor_memory_uncertainty,62.98695659637451
P-11,,0.8187134502923976,0.6194690265486725,0.7052896725440806,140.0,2994.0,31.0,86.0,0.42058096415327567,0.8557366964011074,counterfactual_successor_memory_uncertainty,104.07625675201416
P-14,,0.015416958654519973,0.36666666666666664,0.029589778076664425,66.0,1421.0,4215.0,114.0,1.0,1.0,counterfactual_successor_memory_uncertainty,73.70160365104675
P-15,,0.0,0.0,0.0,0.0,1265.0,1287.0,20.0,0.8697692608525616,0.9311819595645412,counterfactual_successor_memory_uncertainty,106.9031810760498
P-2,,0.4419607843137255,0.92,0.5970860927152318,1127.0,5277.0,1423.0,98.0,1.0,1.0,counterfactual_successor_memory_uncertainty,80.99167895317078
P-3,,0.9865642994241842,0.7700374531835206,0.864955826672276,1028.0,6860.0,14.0,307.0,0.9996338784476446,1.0,counterfactual_successor_memory_uncertainty,83.97927236557007
P-4,,1.0,0.5181818181818182,0.6826347305389222,228.0,7059.0,0.0,212.0,0.0,0.0,counterfactual_successor_memory_uncertainty,73.6430983543396
P-7,,0.9241475295755045,0.8048484848484848,0.8603822481373502,1328.0,6028.0,109.0,322.0,0.5828615542974781,0.8651598818543726,counterfactual_successor_memory_uncertainty,85.69758772850037
R-1,,0.0,0.0,0.0,0.0,6880.0,0.0,80.0,1.0,1.0,counterfactual_successor_memory_uncertainty,66.12478446960449
S-1,,1.0,0.6868008948545862,0.8143236074270557,307.0,6600.0,0.0,140.0,0.3528156996587031,0.8981126720590322,counterfactual_successor_memory_uncertainty,67.71212983131409
S-2,,0.22727272727272727,1.0,0.37037037037037035,10.0,1499.0,34.0,0.0,0.3318062827225131,0.33830200907323393,counterfactual_successor_memory_uncertainty,22.14215588569641
T-1,,0.020050497549383633,0.0880052151238592,0.03265997338816983,135.0,196.0,6598.0,1399.0,0.6515096836280524,0.8521853986551393,counterfactual_successor_memory_uncertainty,84.70646166801453
T-10,,,,,,,,,1.0,1.0,counterfactual_successor_memory_uncertainty,4.484569072723389
T-12,,0.0,0.0,0.0,0.0,2011.0,15.0,120.0,0.5246363209760676,0.7758620689655172,counterfactual_successor_memory_uncertainty,27.075960397720337
T-13,,0.14285714285714285,0.044,0.0672782874617737,11.0,1830.0,66.0,239.0,0.4115438761145002,0.7041006523765144,counterfactual_successor_memory_uncertainty,43.3336763381958
T-2,,0.053886504530281355,0.19002242152466367,0.08396284829721362,339.0,605.0,5952.0,1445.0,0.7911361998558731,0.9099628341925429,counterfactual_successor_memory_uncertainty,78.86079525947571
T-3,,0.14832925835370822,1.0,0.25833924769339955,182.0,7068.0,1045.0,0.0,0.738768115942029,0.983001808318264,counterfactual_successor_memory_uncertainty,78.04991865158081
T-4,,1.0,0.45588235294117646,0.6262626262626263,31.0,1865.0,0.0,37.0,0.3044838373305527,0.727366787377134,counterfactual_successor_memory_uncertainty,57.35551571846008
T-5,,0.5434782608695652,1.0,0.704225352112676,25.0,1888.0,21.0,0.0,0.0,0.0,counterfactual_successor_memory_uncertainty,40.515421867370605
T-8,,0.41237113402061853,0.8,0.54421768707483,80.0,1021.0,114.0,20.0,0.6918032786885245,0.9700404858299595,counterfactual_successor_memory_uncertainty,4.793376207351685
T-9,,0.8717948717948718,0.6181818181818182,0.723404255319149,68.0,692.0,10.0,42.0,1.0,1.0,counterfactual_successor_memory_uncertainty,1.646594762802124
