window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,1.2099723,0.4854993,0.48399326,0.17121725,0.0,0.0,1.0,3.7115352,1.2099723,0.85336035,0.18148844,0.9163263,0.0
1,1.1022655,0.47228557,0.50094557,0.16809714,0.0,0.0,1.0,3.7115352,1.1022655,0.85336035,0.1782721,0.9000872,0.0
2,1.3344388,0.50076914,0.4878634,0.13080253,0.0,0.0,1.0,3.8803122,1.3344388,0.95641786,0.16828646,0.8496701,0.0
3,0.7651343,0.42011157,0.4737186,0.17693423,0.0,0.0,1.0,3.8803122,0.6769883,0.95641786,0.2499898,1.2621863,1.0
4,1.0175581,0.46189347,0.49808177,0.17549548,0.0,0.0,1.0,4.0490947,1.0175581,1.0594788,0.1944636,0.9818372,0.0
5,0.847583,0.38452193,0.4238316,0.17412844,0.0,0.0,1.0,4.0490947,0.38689247,1.0594788,0.26955992,1.3609949,1.0
6,0.847583,0.4263933,0.44249958,0.16546173,0.0,0.0,1.0,4.0490947,0.72819155,1.0594788,0.2012261,1.0159808,1.0
7,0.847583,0.38069117,0.40936235,0.15405829,0.0,0.0,1.0,4.0490947,0.35566744,1.0594788,0.21605127,1.0908324,1.0
8,0.847583,0.40831786,0.5038354,0.17020783,0.0,0.0,1.0,4.0490947,0.58085626,1.0594788,0.23986083,1.2110456,1.0
9,2.018447,0.5738038,0.56063116,0.16483313,0.0,0.0,1.0,4.1333876,1.9297538,1.110949,0.22406967,1.1313169,1.0
10,1.3571976,0.49631914,0.5670737,0.17948107,0.0,0.0,1.0,4.048902,1.2981663,1.0593611,0.22379348,1.1299224,1.0
11,0.9077235,0.44674927,0.49308237,0.16983426,0.0,0.0,1.0,4.048902,0.89411575,1.0593611,0.2066733,1.0434834,1.0
12,1.8565218,0.5648195,0.59406054,0.1697237,0.0,0.0,1.0,4.048902,1.8565218,1.0593611,0.18041937,0.9109286,0.0
13,0.806304,0.43280986,0.5565615,0.15694603,0.0,0.0,1.0,3.9645915,0.78049374,1.00788,0.2088904,1.0546775,1.0
14,1.5963901,0.53290594,0.59012043,0.17098983,0.0,0.0,1.0,3.8801076,1.5963901,0.9562929,0.14090437,0.7114193,0.0
15,2.6501088,0.6527185,0.62871945,0.14737059,0.0,0.0,1.0,3.8801076,2.572998,0.9562929,0.21502016,1.0856264,1.0
16,2.3578944,0.6215451,0.65765417,0.15817484,0.0,0.0,1.0,3.7957983,2.3188994,0.9048125,0.20757696,1.048046,1.0
17,3.233714,0.7337767,0.75485164,0.15638256,0.0,0.0,1.0,3.7113338,3.233714,0.85323733,0.1863539,0.9408918,0.0
18,2.7251334,0.65559185,0.7437051,0.16585365,0.0,0.0,1.0,3.7113338,2.596419,0.85323733,0.22611414,1.1416392,1.0
19,3.857629,0.7489712,0.8175546,0.162785,0.0,0.0,1.0,3.2241478,3.3575668,0.555755,0.28234205,1.4255313,1.0
20,5.013874,0.9216085,0.92842585,0.17298244,0.0,0.0,1.0,2.5152817,4.764756,0.12291178,0.22764747,1.149381,1.0
21,5.577757,1.0140339,1.0832359,0.162785,0.0,0.0,1.0,2.6986742,5.5181274,0.23489374,0.20417593,1.0308744,1.0
22,5.811788,1.0500609,1.146199,0.15580907,0.0,0.0,1.0,2.3926854,5.811788,0.048052847,0.19444297,0.9817331,0.0
23,7.6559796,1.1735694,1.2056551,0.15847889,0.0,0.0,1.0,2.1370583,6.818523,0.0,0.26756385,1.3509169,1.0
24,7.4443746,1.1723416,1.2246414,0.17392589,0.0,0.0,1.0,1.920758,6.8085146,0.0,0.25091034,1.2668341,1.0
25,7.274809,1.2163721,1.2241813,0.17128979,0.0,0.0,1.0,1.5746778,7.167413,0.0,0.20654015,1.0428112,1.0
26,7.2197914,1.222798,1.2481648,0.16234413,0.0,0.0,1.0,1.4340829,7.2197914,0.0,0.18270995,0.92249364,0.0
27,8.235592,1.2654525,1.2673582,0.15503141,0.0,0.0,1.0,1.3099849,7.567474,0.0,0.2480221,1.2522515,1.0
28,7.4559846,1.2298158,1.258248,0.16238908,0.0,0.0,1.0,1.2303104,7.2769947,0.0,0.21197994,1.0702764,1.0
29,8.42775,1.2295662,1.2557606,0.152113,0.0,0.0,1.0,1.1246767,7.27496,0.0,0.28773156,1.4527427,1.0
30,7.669592,1.234316,1.2568731,0.16149789,0.0,0.0,1.0,1.10102,7.313676,0.0,0.2255996,1.1390414,1.0
