window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,3.340823,0.92429507,1.0766867,0.8807773,0.0,0.0,1.0,12.983939,1.4880941,4.1760287,0.12594712,0.6998687,0.0
1,4.4775233,0.6260501,0.68792415,0.454884,0.0,0.0,1.0,16.592493,0.52688736,5.596904,0.09776921,0.5432884,0.0
2,6.2925544,0.870654,0.8129737,0.6163786,0.0,0.0,1.0,22.35447,1.3152155,7.865693,0.1396932,0.7762536,0.0
3,8.113682,0.77652454,0.8994385,0.64217603,0.0,0.0,1.0,28.135796,1.0118479,10.142102,0.18918973,1.0512981,1.0
4,9.93481,0.7623671,0.6731286,0.6126571,0.0,0.0,1.0,33.917126,0.9662203,12.418511,0.1595071,0.8863563,0.0
5,11.027486,0.9389206,0.8902422,0.64692104,0.0,0.0,1.0,37.38592,1.5352304,13.784357,0.18558867,1.0312877,1.0
6,11.0578375,0.91279954,0.878972,0.5851685,0.0,0.0,1.0,37.482277,1.4510454,13.822297,0.21503764,1.194931,1.0
7,11.3614025,0.855061,0.8177946,0.42015806,0.0,0.0,1.0,38.44597,1.2649612,14.201753,0.13537581,0.7522625,0.0
8,10.568213,0.81321967,0.82612467,0.42671204,0.0,0.0,1.0,35.92792,1.1301118,13.210266,0.20871626,1.159804,1.0
9,9.980372,0.8573254,1.0348691,0.58036053,0.0,0.0,1.0,34.061768,1.272259,12.475465,0.1661372,0.9231988,0.0
10,10.113162,0.9189886,0.91835433,0.67146003,0.0,0.0,1.0,34.483322,1.470992,12.641453,0.14024533,0.7793217,0.0
11,9.561703,0.71145797,0.90060455,0.6414892,0.0,0.0,1.0,32.732666,0.8021464,11.952128,0.16697069,0.92783034,0.0
12,8.521087,0.8795209,0.93552464,0.6893806,0.0,0.0,1.0,29.429136,1.3437924,10.651358,0.1510733,0.83949107,0.0
13,8.565816,0.8960378,0.8966539,0.50267416,0.0,0.0,1.0,29.571136,1.3970245,10.70727,0.16653943,0.92543393,0.0
14,8.632911,0.8945461,0.96082616,0.58830553,0.0,0.0,1.0,29.784134,1.3922168,10.791139,0.15746835,0.8750273,0.0
15,8.677641,0.8368526,0.83621037,0.67701346,0.0,0.0,1.0,29.926132,1.2062778,10.847051,0.13759296,0.7645828,0.0
16,8.789464,0.7206205,0.75837076,0.5204197,0.0,0.0,1.0,30.281126,0.8316761,10.98683,0.112408586,0.6246372,0.0
17,8.901288,0.7068262,0.69404244,0.4203508,0.0,0.0,1.0,30.636122,0.78721875,11.12661,0.17347637,0.9639814,0.0
18,8.990748,0.6829278,0.68975997,0.49500674,0.0,0.0,1.0,30.92012,0.7101971,11.238435,0.16965172,0.9427284,0.0
19,9.080207,0.6740953,0.7115189,0.65248126,0.0,0.0,1.0,31.204117,0.681731,11.350259,0.19145702,1.0638971,1.0
20,9.214396,0.6891364,0.6881727,0.4957373,0.0,0.0,1.0,31.630112,0.73020667,11.517996,0.13354135,0.74206865,0.0
21,9.236762,0.6268604,0.6964988,0.51608676,0.0,0.0,1.0,31.70111,0.52949876,11.545952,0.20870596,1.1597468,1.0
22,9.259126,0.62009096,0.6007475,0.5508656,0.0,0.0,1.0,31.772108,0.5076817,11.573907,0.15867497,0.88173234,0.0
23,9.3262205,0.6195231,0.658977,0.50402987,0.0,0.0,1.0,31.985106,0.5058516,11.657775,0.2044536,1.1361171,1.0
24,9.393315,0.5595834,0.5797264,0.6170398,0.0,0.0,1.0,32.198105,0.31267342,11.741644,0.15089451,0.8384975,0.0
25,9.482775,0.4986949,0.5702471,0.5977467,0.0,0.0,1.0,32.4821,0.1164372,11.853468,0.16879931,0.93799174,0.0
26,7.684837,0.61702317,0.6001221,0.70547736,0.0,0.0,1.0,26.77439,0.49779463,9.606046,0.14823827,0.8237372,0.0
27,6.5297837,0.70680064,0.67724854,0.6825131,0.0,0.0,1.0,23.107573,0.7871364,8.16223,0.10513476,0.58421767,0.0
28,6.687158,0.90545124,0.76648444,0.7864352,0.0,0.0,1.0,23.607172,1.4273628,8.358948,0.11554016,0.6420388,0.0
29,6.99068,0.5517738,0.517823,0.50844634,0.0,0.0,1.0,24.57073,0.28750393,8.73835,0.13530815,0.7518865,0.0
30,6.262231,0.5551786,0.6083408,0.5160884,0.0,0.0,1.0,22.258204,0.29847714,7.8277884,0.13406599,0.744984,0.0
31,5.2766223,0.56164014,0.5120665,0.55312806,0.0,0.0,1.0,19.129303,0.31930196,6.5957775,0.12129212,0.6740016,0.0
32,4.5469527,0.56356657,0.51816696,0.57090086,0.0,0.0,1.0,16.812902,0.3255106,5.6836905,0.15567285,0.86505,0.0
33,3.854285,0.595723,0.5706276,0.34508237,0.0,0.0,1.0,14.61397,0.42914674,4.8178563,0.15146835,0.84168625,0.0
34,3.553291,0.53236955,0.6045384,0.41465557,0.0,0.0,1.0,13.658438,0.22496647,4.4416137,0.14729512,0.8184962,0.0
35,3.2763271,0.61603826,0.6401872,0.54783326,0.0,0.0,1.0,12.779192,0.4946204,4.095409,0.16569403,0.92073613,0.0
36,2.9463701,0.7342984,0.62515986,0.7119749,0.0,0.0,1.0,11.731714,0.8757583,3.6829627,0.09559761,0.53122115,0.0
37,2.5659513,0.76165485,0.81571835,0.6456448,0.0,0.0,1.0,10.524041,0.9639247,3.2074392,0.19151565,1.0642229,1.0
38,2.3057716,0.6546449,0.941998,0.45652896,0.0,0.0,1.0,9.698078,0.61904484,2.8822145,0.1357453,0.7543157,0.0
39,1.8547999,0.72824234,0.7734803,0.8138258,0.0,0.0,1.0,8.266429,0.85624033,2.3184998,0.18020888,1.001393,1.0
40,1.5229427,0.67560637,0.86537457,0.46197402,0.0,0.0,1.0,7.212919,0.68660104,1.9036783,0.18205626,1.0116585,1.0
41,1.2987946,0.53397816,0.57527715,0.5733414,0.0,0.0,1.0,6.501342,0.23015082,1.6234933,0.18647146,1.0361931,1.0
42,1.1339978,0.6624212,0.6694832,0.6170944,0.0,0.0,1.0,5.97818,0.644107,1.4174973,0.17649825,0.9807735,0.0
43,0.942352,0.6712744,0.816557,0.60852855,0.0,0.0,1.0,5.3697834,0.6726397,1.17794,0.14080049,0.7824066,0.0
44,0.7988264,0.53113157,0.7233718,0.71380913,0.0,0.0,1.0,4.914149,0.22097658,0.998533,0.18711857,1.0397891,1.0
45,0.5104801,0.47868985,0.46651843,0.6281194,0.0,0.0,1.0,3.9987683,0.051963393,0.63810015,0.21847814,1.2140493,1.0
46,0.18465212,0.51986074,0.4479158,0.66125757,0.0,0.0,1.0,2.5542195,0.18465212,0.06930621,0.14474644,0.8043336,0.0
47,0.16188577,0.51279676,0.54131794,0.660591,0.0,0.0,1.0,1.896869,0.16188577,0.0,0.15098217,0.8389846,0.0
48,0.21556932,0.52806664,0.40261352,0.54544073,0.0,0.0,1.0,1.5814334,0.21109869,0.0,0.19084719,1.0605084,1.0
49,0.32742196,0.56415963,0.554588,0.6894745,0.0,0.0,1.0,1.2045611,0.32742196,0.0,0.15705566,0.87273407,0.0
50,0.39807078,0.5860807,0.6389726,0.5883934,0.0,0.0,1.0,1.0733483,0.39807078,0.0,0.12017362,0.66778624,0.0
51,0.5262552,0.62585396,0.7045772,0.41943464,0.0,0.0,1.0,0.9219169,0.5262552,0.0,0.1588208,0.8825426,0.0
52,0.18002273,0.51842433,0.61770546,0.44340762,0.0,0.0,1.0,0.88490033,0.18002273,0.0,0.13023917,0.723719,0.0
53,0.2872853,0.55170596,0.7270246,0.44373915,0.0,0.0,1.0,0.8871486,0.2872853,0.0,0.15609638,0.8674035,0.0
54,0.46584424,0.60710955,0.6445063,0.7212649,0.0,0.0,1.0,0.9007717,0.46584424,0.0,0.12181935,0.6769313,0.0
55,0.7802337,0.70465887,0.8572333,0.6860363,0.0,0.0,1.0,0.91811967,0.7802337,0.0,0.113738015,0.6320246,0.0
56,1.4813845,0.9222132,0.9823528,0.5654848,0.0,0.0,1.0,1.8853514,1.4813845,0.0,0.12857684,0.7144817,0.0
57,1.748346,1.0050465,1.1676073,0.49139884,0.0,0.0,1.0,1.9758053,1.748346,0.0,0.14295708,0.79439044,0.0
58,2.0687869,1.1044735,1.1986125,0.4602555,0.0,0.0,1.0,2.0628588,2.0687869,0.0,0.15531863,0.8630817,0.0
59,2.2330794,1.1554505,1.3106703,0.4820521,0.0,0.0,1.0,2.1346245,2.2330794,0.0,0.11690521,0.6496242,0.0
60,2.223037,1.1523345,1.1332982,0.4922247,0.0,0.0,1.0,2.1933825,2.223037,0.0,0.17458862,0.97016203,0.0
61,2.2000747,1.1452097,1.2886909,0.6500628,0.0,0.0,1.0,2.2232256,2.2000747,0.0,0.17926316,0.99613774,0.0
62,2.5243638,1.1844481,1.3194696,0.73832065,0.0,0.0,1.0,2.2361965,2.3265352,0.0,0.2236785,1.2429469,1.0
63,2.5191865,1.231699,1.2422736,0.67617583,0.0,0.0,1.0,2.3076081,2.4788191,0.0,0.1883314,1.0465285,1.0
64,2.7396135,1.2807925,1.2840463,0.45581925,0.0,0.0,1.0,2.4298253,2.6370413,0.02032576,0.1999576,1.1111335,1.0
65,1.923776,1.0517771,1.3970419,0.76369196,0.0,0.0,1.0,2.5487142,1.8989531,0.06713848,0.18667932,1.0373482,1.0
66,2.436241,1.1910709,1.2580847,0.716277,0.0,0.0,1.0,2.6623077,2.34788,0.111866176,0.19930851,1.1075267,1.0
67,2.9502928,1.3779887,1.3552554,0.69382316,0.0,0.0,1.0,2.8160772,2.9502928,0.17241322,0.15375566,0.8543965,0.0
68,2.810067,1.3344792,1.3637494,0.5395458,0.0,0.0,1.0,2.9324296,2.810067,0.21822716,0.17703494,0.9837559,0.0
69,2.3040814,1.177481,1.2407234,0.7487001,0.0,0.0,1.0,2.967111,2.3040814,0.2318831,0.17244454,0.95824766,0.0
70,2.553065,1.2547362,1.2152059,0.75610965,0.0,0.0,1.0,3.038515,2.553065,0.25999856,0.17261654,0.9592035,0.0
71,1.2816753,0.8602471,1.1636983,0.6959142,0.0,0.0,1.0,3.0734184,1.2816753,0.27374178,0.1388858,0.77176696,0.0
72,0.6226181,0.6557536,1.1895142,0.5540441,0.0,0.0,1.0,3.0734184,0.6226181,0.27374178,0.14925954,0.8294122,0.0
