window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,9.780712,1.405059,1.7364451,0.5157293,0.0,0.0,1.0,3.1489308,7.60291,0.047125433,0.27665892,1.8184093,1.0
1,10.389712,1.4246583,1.7333468,0.54652846,0.0,0.0,1.0,3.1489308,7.756784,0.047125433,0.29969445,1.969816,1.0
2,12.730648,1.6239742,1.6782706,0.435137,0.0,0.0,1.0,3.1489308,9.32161,0.047125433,0.3111173,2.0448954,1.0
3,13.052877,1.6725518,1.6995871,0.42133483,0.0,0.0,1.0,3.1489308,9.702992,0.047125433,0.3022187,1.9864073,1.0
4,11.766699,1.6331251,1.7665032,0.44470015,0.0,0.0,1.0,3.3740225,9.393454,0.14040145,0.26196867,1.721854,1.0
5,8.991721,1.4214562,1.77452,0.54572374,0.0,0.0,1.0,3.9124227,7.7316446,0.36350974,0.22298847,1.465647,1.0
6,9.864419,1.4066465,1.6828696,0.51744664,0.0,0.0,1.0,4.719085,7.6153736,0.6977836,0.28052175,1.8437986,1.0
7,9.931767,1.3929018,1.766359,0.5842026,0.0,0.0,1.0,4.719085,7.507464,0.6977836,0.2925148,1.922626,1.0
8,13.161496,1.5468447,1.7221508,0.5506662,0.0,0.0,1.0,5.0551553,8.716068,0.83704805,0.3738496,2.4572191,1.0
9,10.879449,1.4168847,1.6663504,0.5356152,0.0,0.0,1.0,5.3924007,7.695753,0.9767996,0.3319747,2.1819859,1.0
10,13.133648,1.559067,1.6619053,0.4992852,0.0,0.0,1.0,5.3924007,8.812025,0.9767996,0.36532813,2.4012096,1.0
11,12.12007,1.562653,1.6707739,0.48112458,0.0,0.0,1.0,5.3924007,8.8401785,0.9767996,0.3134245,2.06006,1.0
12,9.872917,1.3927934,1.6804925,0.5226254,0.0,0.0,1.0,5.3924007,7.5066133,0.9767996,0.28917205,1.9006549,1.0
13,14.878748,1.7791858,1.7750782,0.55188745,0.0,0.0,1.0,5.3924007,10.5401745,0.9767996,0.33107376,2.1760643,1.0
14,10.199387,1.3872378,1.7659695,0.44788215,0.0,0.0,1.0,5.3924007,7.462996,0.9767996,0.31152928,2.0476034,1.0
15,5.1624684,1.0439664,1.6559736,0.7987432,0.0,0.0,1.0,5.3924007,4.767977,0.9767996,0.18810907,1.2363935,1.0
16,5.192342,1.0347166,1.1434354,0.8603403,0.0,0.0,1.0,5.3924007,4.6953573,0.9767996,0.19815412,1.302417,1.0
17,4.946548,1.008203,1.7401385,0.667096,0.0,0.0,1.0,5.3924007,4.4871993,0.9767996,0.19664258,1.292482,1.0
18,8.07386,1.3619342,1.3444184,0.45750567,0.0,0.0,1.0,6.9650373,7.264338,1.6284864,0.20058486,1.3183937,1.0
19,7.8061304,1.3346328,1.3498517,0.25022545,0.0,0.0,1.0,5.0639777,7.0499945,0.840704,0.19876595,1.3064384,1.0
20,8.592386,1.411687,1.6184994,0.78600657,0.0,0.0,1.0,5.0639777,7.654947,0.840704,0.20537698,1.3498911,1.0
21,8.394177,1.400883,1.4895597,0.4589511,0.0,0.0,1.0,5.0639777,7.570124,0.840704,0.19946253,1.3110169,1.0
22,8.5208235,1.4018195,1.390393,0.28369924,0.0,0.0,1.0,3.9146821,7.5774765,0.36444604,0.20626016,1.355696,1.0
23,7.751443,1.3136805,1.3528309,0.2729197,0.0,0.0,1.0,3.1489308,6.885499,0.047125433,0.20681217,1.3593242,1.0
24,7.3521256,1.262758,1.359539,0.29050216,0.0,0.0,1.0,3.1489308,6.4857073,0.047125433,0.21021385,1.3816826,1.0
25,8.490869,1.3575331,1.3709857,0.21869527,0.0,0.0,1.0,3.1489308,7.229785,0.047125433,0.22796683,1.4983684,1.0
26,7.1742125,1.2518874,1.3545034,0.29050213,0.0,0.0,1.0,3.1489308,6.4003625,0.047125433,0.20470116,1.3454491,1.0
27,8.490937,1.4182343,1.4604701,0.3546005,0.0,0.0,1.0,3.3740225,7.70635,0.14040145,0.19639993,1.2908871,1.0
28,7.5205193,1.2615461,1.3742286,0.29050216,0.0,0.0,1.0,3.3740225,6.4761925,0.14040145,0.22224073,1.4607322,1.0
29,7.316849,1.274428,1.4091959,0.58168215,0.0,0.0,1.0,3.3740225,6.577328,0.14040145,0.20101826,1.3212423,1.0
30,7.896743,1.2931274,1.3617169,0.28984717,0.0,0.0,1.0,5.399063,6.724137,0.97956043,0.22794887,1.4982504,1.0
31,7.9933753,1.3016167,1.3770196,0.25457796,0.0,0.0,1.0,5.399063,6.790786,0.97956043,0.22912416,1.5059752,1.0
32,8.50861,1.3866023,1.4458303,0.21473072,0.0,0.0,1.0,5.399063,7.458007,0.97956043,0.21337853,1.4024832,1.0
33,8.523597,1.3601625,1.3804703,0.29573736,0.0,0.0,1.0,5.399063,7.250428,0.97956043,0.22847551,1.5017118,1.0
34,8.578604,1.35881,1.4146875,0.24393177,0.0,0.0,1.0,5.399063,7.2398095,0.97956043,0.23252772,1.5283461,1.0
35,8.608797,1.3565965,1.4228475,0.2542295,0.0,0.0,1.0,5.848462,7.2224317,1.1657875,0.23558432,1.5484363,1.0
36,8.3455715,1.3586547,1.3820351,0.27547318,0.0,0.0,1.0,2.2307575,7.238591,0.0,0.21862032,1.4369361,1.0
37,8.970153,1.3824204,1.7324351,0.6232186,0.0,0.0,1.0,2.428449,7.425175,0.0,0.24259168,1.5944939,1.0
38,8.410667,1.3783724,1.7332454,0.552521,0.0,0.0,1.0,2.9234903,7.3933945,0.0,0.21195398,1.39312,1.0
39,6.306897,1.04828,1.4984233,0.6619825,0.0,0.0,1.0,3.2048602,4.801843,0.07030209,0.28839108,1.8955218,1.0
40,5.4989696,1.0242356,1.6270175,0.720837,0.0,0.0,1.0,3.2048602,4.613071,0.07030209,0.23562267,1.5486884,1.0
41,9.590711,1.3801562,1.6834072,0.55252457,0.0,0.0,1.0,3.5667017,7.407398,0.220246,0.2802688,1.842136,1.0
42,9.162404,1.3883369,1.6526027,0.5572311,0.0,0.0,1.0,4.0492973,7.4716253,0.4202294,0.250512,1.6465522,1.0
43,9.207149,1.3850725,1.7234732,0.56170654,0.0,0.0,1.0,4.7237883,7.4459963,0.6997325,0.254959,1.6757811,1.0
44,8.725089,1.383161,1.6421003,0.6508869,0.0,0.0,1.0,4.7237883,7.430989,0.6997325,0.22784519,1.497569,1.0
45,9.131385,1.3908104,1.698485,0.5302274,0.0,0.0,1.0,4.7237883,7.4910445,0.6997325,0.24733014,1.6256386,1.0
46,8.426043,1.3439168,1.5858884,0.61961,0.0,0.0,1.0,4.9488797,7.1228833,0.79300845,0.23167261,1.5227256,1.0
47,7.9502497,1.3180073,1.6151781,0.65129983,0.0,0.0,1.0,4.9488797,6.919469,0.79300845,0.21689917,1.4256235,1.0
48,7.7721086,1.3176799,1.388807,0.47095597,0.0,0.0,1.0,5.1739717,6.916898,0.88628453,0.20588943,1.3532593,1.0
49,8.187509,1.3279935,1.3399004,0.31747624,0.0,0.0,1.0,5.399063,6.99787,0.97956043,0.22604164,1.4857147,1.0
50,8.007656,1.3404568,1.458942,0.62660563,0.0,0.0,1.0,5.6233706,7.0957193,1.0725116,0.20801009,1.3671979,1.0
51,8.016055,1.3173876,1.3068467,0.5830646,0.0,0.0,1.0,6.614528,6.914603,1.4832385,0.2213875,1.4551243,1.0
52,7.848695,1.3070754,1.3158901,0.29573736,0.0,0.0,1.0,8.102129,6.833642,2.099687,0.21671203,1.4243934,1.0
53,8.00366,1.3185022,1.3232986,0.5833793,0.0,0.0,1.0,8.102129,6.9233537,2.099687,0.21997239,1.445823,1.0
54,9.097917,1.3535906,1.6302007,0.54855,0.0,0.0,1.0,8.102129,7.1988325,2.099687,0.26681796,1.7537271,1.0
55,8.981799,1.3561414,1.707634,0.52711785,0.0,0.0,1.0,10.57225,7.218859,3.1232836,0.2583017,1.6977519,1.0
56,8.28093,1.3030932,1.5261185,0.41917014,0.0,0.0,1.0,6.075124,6.802378,1.259714,0.24662787,1.6210227,1.0
57,9.570288,1.3944991,1.613425,0.5182285,0.0,0.0,1.0,4.9488797,7.5200043,0.79300845,0.27066043,1.7789826,1.0
58,8.852869,1.3525826,1.3540524,0.34405312,0.0,0.0,1.0,4.9488797,7.1909184,0.79300845,0.2526093,1.6603372,1.0
59,8.535299,1.3428408,1.3459626,0.24223381,0.0,0.0,1.0,4.9488797,7.1144357,0.79300845,0.23895882,1.570616,1.0
60,8.400779,1.3561031,1.4050128,0.34937912,0.0,0.0,1.0,4.9488797,7.218558,0.79300845,0.2233357,1.4679291,1.0
61,13.992113,1.780767,1.8760059,0.40490714,0.0,0.0,1.0,4.9488797,10.552588,0.79300845,0.29382858,1.9312611,1.0
62,8.393995,1.2767056,1.4157199,0.46458542,0.0,0.0,1.0,4.9488797,6.5952096,0.79300845,0.27070275,1.7792609,1.0
63,8.362419,1.4031768,1.500267,0.33541894,0.0,0.0,1.0,4.9488797,7.588133,0.79300845,0.19649927,1.2915401,1.0
64,7.6116457,1.2052162,1.4252822,0.5471562,0.0,0.0,1.0,5.1739717,6.033947,0.88628453,0.26580337,1.7470584,1.0
65,7.4520955,1.2089859,1.2537537,0.2543757,0.0,0.0,1.0,5.399063,6.0635433,0.97956043,0.25168866,1.654286,1.0
66,7.4918194,1.2457955,1.3293802,0.25827485,0.0,0.0,1.0,5.399063,6.352535,0.97956043,0.23010312,1.5124097,1.0
67,7.8374715,1.2453573,1.3304162,0.25067592,0.0,0.0,1.0,5.399063,6.349094,0.97956043,0.25404626,1.6697819,1.0
68,8.981905,1.4053009,1.7403326,0.5783475,0.0,0.0,1.0,5.399063,7.604809,0.97956043,0.230859,1.517378,1.0
69,9.003407,1.4165734,1.6875683,0.52050245,0.0,0.0,1.0,5.399063,7.69331,0.97956043,0.2261678,1.4865439,1.0
70,8.783717,1.4138323,1.7560561,0.54572374,0.0,0.0,1.0,5.624155,7.671789,1.0728365,0.21514696,1.4141066,1.0
71,8.333666,1.4201912,1.6484326,0.6508869,0.0,0.0,1.0,5.624155,7.7217126,1.0728365,0.18659341,1.2264314,1.0
72,8.38317,1.3416853,1.3929138,0.25063017,0.0,0.0,1.0,5.8492465,7.1053643,1.1661125,0.23031761,1.5138195,1.0
73,9.022908,1.4063582,1.648303,0.51706237,0.0,0.0,1.0,5.8492465,7.6131105,1.1661125,0.23264039,1.5290866,1.0
74,12.448369,1.5635754,1.6562645,0.39985603,0.0,0.0,1.0,4.9163556,8.84742,0.7795307,0.3290668,2.162873,1.0
75,9.810501,1.3588319,1.6375688,0.4628494,0.0,0.0,1.0,4.2168903,7.2399817,0.48967847,0.30647978,2.0144143,1.0
76,8.758449,1.407751,1.5865593,0.3199198,0.0,0.0,1.0,4.2168903,7.624045,0.48967847,0.21682295,1.4251225,1.0
77,8.788067,1.3988098,1.6485046,0.31524438,0.0,0.0,1.0,2.216328,7.553848,0.0,0.223168,1.4668269,1.0
78,8.355961,1.3841784,1.57454,0.31789008,0.0,0.0,1.0,1.312974,7.438977,0.0,0.20572719,1.3521929,1.0
79,7.9160156,1.3109055,1.4210867,0.36745253,0.0,0.0,1.0,1.2135662,6.863712,0.0,0.21878834,1.4380405,1.0
80,7.9679255,1.2953342,1.5409596,0.32285962,0.0,0.0,1.0,1.2135662,6.741462,0.0,0.2312268,1.5197954,1.0
81,8.21251,1.3330988,1.6055232,0.32896975,0.0,0.0,1.0,1.2135662,7.0379515,0.0,0.22468938,1.4768265,1.0
82,9.94311,1.3954648,1.432312,0.3379209,0.0,0.0,1.0,1.7170702,7.527586,0.0,0.29163265,1.9168278,1.0
83,8.441438,1.301989,1.4231195,0.3270789,0.0,0.0,1.0,1.8212191,6.793709,0.0,0.2575733,1.6929643,1.0
84,8.802314,1.3081932,1.5197644,0.620602,0.0,0.0,1.0,1.8816175,6.842418,0.0,0.27665454,1.8183805,1.0
85,7.8818464,1.2606004,1.2608403,0.26470482,0.0,0.0,1.0,2.0237489,6.468768,0.0,0.24710096,1.6241323,1.0
86,8.088306,1.2889712,1.5108417,0.46039498,0.0,0.0,1.0,2.1081512,6.6915064,0.0,0.24288265,1.5964063,1.0
87,8.658399,1.3174615,1.3737835,0.29964995,0.0,0.0,1.0,2.2769208,6.9151835,0.0,0.26172367,1.7202436,1.0
88,9.531367,1.4534729,1.4714003,0.30909503,0.0,0.0,1.0,8.348514,7.9830065,2.2017868,0.23645563,1.5541632,1.0
89,10.823607,1.517739,1.5651398,0.2975275,0.0,0.0,1.0,8.950607,8.487559,2.4512892,0.2717855,1.7863774,1.0
90,11.104312,1.5534499,1.6084291,0.32352805,0.0,0.0,1.0,10.533853,8.767925,3.107372,0.26797652,1.761342,1.0
91,11.409238,1.6240641,1.6942425,0.32891044,0.0,0.0,1.0,11.577647,9.322316,3.5399113,0.24945557,1.6396085,1.0
92,11.8657675,1.5798744,1.8146535,0.54102963,0.0,0.0,1.0,11.577647,8.975384,3.5399113,0.29213035,1.920099,1.0
93,11.004337,1.5845535,1.6601013,0.31265828,0.0,0.0,1.0,12.692184,9.012119,4.0017657,0.2482371,1.6315998,1.0
94,11.573723,1.6436626,1.7298102,0.35153124,0.0,0.0,1.0,12.753541,9.476184,4.027191,0.24836257,1.6324245,1.0
95,10.636798,1.641344,1.7142888,0.31524783,0.0,0.0,1.0,12.814897,9.45798,4.0526166,0.20632268,1.3561069,1.0
96,11.450579,1.7592169,1.9178344,0.57787,0.0,0.0,1.0,12.93761,10.383399,4.103468,0.19682027,1.29365,1.0
97,16.731245,2.0989935,2.1151438,0.24461485,0.0,0.0,1.0,15.95842,13.050981,5.3552647,0.27472377,1.80569,1.0
98,13.282447,1.769627,1.9725876,0.77033514,0.0,0.0,1.0,18.030289,10.465128,6.213829,0.2691678,1.7691721,1.0
99,12.9344015,1.7655432,1.8360888,0.70696956,0.0,0.0,1.0,18.030289,10.433066,6.213829,0.2563619,1.6850021,1.0
100,12.270361,1.7202979,1.7316281,0.57476145,0.0,0.0,1.0,18.030289,10.077847,6.213829,0.24671476,1.6215938,1.0
101,11.800652,1.7455213,1.8145933,0.6244106,0.0,0.0,1.0,18.030289,10.275875,6.213829,0.21664524,1.4239545,1.0
102,12.475535,1.768377,1.7656572,0.29596877,0.0,0.0,1.0,18.030289,10.455315,6.213829,0.23613709,1.5520695,1.0
103,13.048618,1.7347732,1.7391403,0.26488313,0.0,0.0,1.0,18.030289,10.191491,6.213829,0.27400777,1.8009839,1.0
104,12.397966,1.6661891,1.7271315,0.5522125,0.0,0.0,1.0,18.030289,9.653039,6.213829,0.27575284,1.8124539,1.0
105,11.552631,1.6040001,1.6040167,0.25866595,0.0,0.0,1.0,18.030289,9.164794,6.213829,0.26540086,1.7444129,1.0
106,10.648007,1.6142286,1.7498006,0.47613364,0.0,0.0,1.0,18.030289,9.245098,6.213829,0.21810678,1.4335608,1.0
107,10.981113,1.6279298,1.8218982,0.2807855,0.0,0.0,1.0,18.030289,9.352666,6.213829,0.22783075,1.4974741,1.0
108,10.918474,1.590621,1.7380316,0.61523753,0.0,0.0,1.0,18.030289,9.059754,6.213829,0.24132647,1.586178,1.0
109,10.186246,1.5898981,1.8042281,0.6163711,0.0,0.0,1.0,17.862255,9.054079,6.1441975,0.20649981,1.3572712,1.0
110,9.671935,1.5723575,1.6163449,0.32074985,0.0,0.0,1.0,17.862255,8.9163685,6.1441975,0.18897915,1.2421123,1.0
111,9.89082,1.5729637,1.7343322,0.93340254,0.0,0.0,1.0,17.862255,8.921127,6.1441975,0.19939308,1.3105603,1.0
112,9.420126,1.4837307,1.5244962,0.58590853,0.0,0.0,1.0,17.693632,8.22056,6.0743217,0.21557526,1.4169219,1.0
113,11.013736,1.5382724,1.5583655,0.34697917,0.0,0.0,1.0,17.693632,8.6487665,6.0743217,0.27100903,1.781274,1.0
114,9.767129,1.5425006,1.5518668,0.30485398,0.0,0.0,1.0,17.693632,8.681962,6.0743217,0.20647636,1.357117,1.0
115,9.68762,1.4840009,1.5336508,0.25694326,0.0,0.0,1.0,17.52501,8.222682,6.0044456,0.22958791,1.5090234,1.0
116,9.53514,1.5225061,1.554113,0.31316355,0.0,0.0,1.0,17.356386,8.524986,5.93457,0.20365186,1.3385522,1.0
117,9.917867,1.5706269,1.631929,0.31124678,0.0,0.0,1.0,17.356386,8.9027815,5.93457,0.20170687,1.3257684,1.0
118,9.39854,1.5164615,1.560944,0.29596877,0.0,0.0,1.0,17.356386,8.47753,5.93457,0.19936922,1.3104036,1.0
119,9.900023,1.5273285,1.5692192,0.25958657,0.0,0.0,1.0,17.356386,8.562846,5.93457,0.22002554,1.4461724,1.0
120,9.746919,1.5257766,1.5627693,0.26033223,0.0,0.0,1.0,17.356386,8.550663,5.93457,0.21295816,1.3997202,1.0
121,11.586587,1.6064848,1.7456323,0.46786392,0.0,0.0,1.0,17.356386,9.184301,5.93457,0.2658442,1.7473269,1.0
