window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,5.9294505,1.1503836,1.1426711,0.71796304,0.0,0.0,1.0,2.2458913,5.7155833,0.3846118,0.17408825,1.1069092,1.0
1,5.7930655,1.159055,1.1502439,0.83719087,0.0,0.0,1.0,3.3669772,5.7930655,1.0248626,0.14436986,0.91795003,0.0
2,6.1589093,1.1915563,1.2339501,0.83053064,0.0,0.0,1.0,3.3669772,6.083477,1.0248626,0.162846,1.0354273,1.0
3,6.0799174,1.1911579,1.1016847,0.74174947,0.0,0.0,1.0,3.3669772,6.0799174,1.0248626,0.15571125,0.99006224,0.0
4,8.069507,1.4138223,1.576656,0.769411,0.0,0.0,1.0,3.3669772,8.069507,1.0248626,0.13864121,0.88152546,0.0
5,7.4821515,1.3480886,1.5263177,0.8088636,0.0,0.0,1.0,3.3669772,7.4821515,1.0248626,0.106106356,0.67465836,0.0
6,6.57528,1.2465963,1.2168359,0.7307318,0.0,0.0,1.0,3.3669772,6.57528,1.0248626,0.15172097,0.96469074,0.0
7,8.548215,1.3415551,1.3081788,0.7336086,0.0,0.0,1.0,4.0393333,7.4237723,1.4088445,0.22533582,1.4327577,1.0
8,7.267261,1.2213309,1.2506219,0.67538047,0.0,0.0,1.0,4.0393333,6.349524,1.4088445,0.22222233,1.4129611,1.0
9,8.228909,1.3393266,1.3219714,0.7199323,0.0,0.0,1.0,4.0393333,7.40386,1.4088445,0.20734802,1.3183855,1.0
10,8.698997,1.3567545,1.4004986,0.72630733,0.0,0.0,1.0,4.0393333,7.559585,1.4088445,0.2250028,1.4306402,1.0
11,8.829144,1.3632618,1.3520699,0.7119526,0.0,0.0,1.0,4.0393333,7.61773,1.4088445,0.22873308,1.4543586,1.0
12,7.187029,1.1773119,1.3112906,0.6619061,0.0,0.0,1.0,4.0393333,5.9561977,1.4088445,0.2501321,1.5904205,1.0
13,6.470618,1.2348831,1.2391549,0.739264,0.0,0.0,1.0,4.0393333,6.470618,1.4088445,0.14504391,0.92223585,0.0
14,6.370707,1.2237016,1.305063,0.72157073,0.0,0.0,1.0,4.0393333,6.370707,1.4088445,0.15372938,0.97746086,0.0
15,7.462096,1.3393903,1.5002091,0.6870224,0.0,0.0,1.0,4.0393333,7.404429,1.4088445,0.16077384,1.0222518,1.0
16,7.8552403,1.3197975,1.4787477,0.67320836,0.0,0.0,1.0,4.0393333,7.22936,1.4088445,0.196177,1.2473565,1.0
17,5.8448796,1.1547227,1.4008907,0.7430429,0.0,0.0,1.0,4.0393333,5.7543545,1.4088445,0.16434325,1.0449473,1.0
18,5.969151,1.1535114,1.099874,0.6932386,0.0,0.0,1.0,4.0393333,5.743531,1.4088445,0.17492598,1.1122357,1.0
19,5.7804236,1.1369653,1.3506576,0.6739721,0.0,0.0,1.0,4.0393333,5.5956855,1.4088445,0.1721094,1.094327,1.0
20,5.4889026,1.0936368,1.0833946,0.6838059,0.0,0.0,1.0,4.0393333,5.208529,1.4088445,0.18146282,1.153799,1.0
21,5.2527156,1.0985819,1.0924731,0.71372175,0.0,0.0,1.0,4.0393333,5.2527156,1.4088445,0.15343224,0.9755715,0.0
22,5.410848,1.1072375,1.0712438,0.68929136,0.0,0.0,1.0,4.0393333,5.330056,1.4088445,0.16408542,1.0433079,1.0
23,5.209503,1.0929904,1.11347,0.71372175,0.0,0.0,1.0,4.0393333,5.2027535,1.4088445,0.15785718,1.0037068,1.0
24,5.535425,1.0996618,1.1197741,0.8841816,0.0,0.0,1.0,2.6943762,5.2623653,0.640741,0.18059087,1.1482549,1.0
25,4.496581,1.0139593,1.0068249,0.6579164,0.0,0.0,1.0,2.0213404,4.496581,0.25637096,0.14841297,0.94365746,0.0
26,5.0726056,1.0673158,1.0453563,0.8025648,0.0,0.0,1.0,1.6848837,4.9733415,0.06422096,0.16624297,1.0570264,1.0
27,4.913614,1.0606314,1.0317391,0.6807561,0.0,0.0,1.0,1.6839436,4.913614,0.063684076,0.15364861,0.97694737,0.0
28,4.9051027,1.0352209,1.085307,0.88418156,0.0,0.0,1.0,1.6830046,4.686561,0.063147806,0.1782283,1.133233,1.0
29,4.7099023,1.0378331,1.0081272,0.6963798,0.0,0.0,1.0,1.6830046,4.7099023,0.063147806,0.15043838,0.95653564,0.0
30,4.577037,1.008202,1.0358903,0.69300485,0.0,0.0,1.0,1.2134303,4.445137,0.0,0.17060784,1.0847795,1.0
31,4.3091874,0.98182684,1.1296798,0.7901094,0.0,0.0,1.0,1.0783193,4.2094655,0.0,0.16791938,1.0676855,1.0
32,4.472817,0.9906637,1.0283988,0.69300485,0.0,0.0,1.0,0.89908725,4.288426,0.0,0.17659526,1.1228495,1.0
33,4.6400723,1.0300181,1.0054569,0.6963798,0.0,0.0,1.0,0.89908725,4.6400723,0.0,0.14406258,0.91599625,0.0
34,4.7783794,1.0454967,0.9993632,0.66476935,0.0,0.0,1.0,0.8983498,4.7783794,0.0,0.1558122,0.9907041,0.0
35,4.855493,1.0309262,1.0040383,0.68822694,0.0,0.0,1.0,0.8983498,4.6481867,0.0,0.17731516,1.1274269,1.0
36,4.85784,1.0380098,1.0445694,0.87002486,0.0,0.0,1.0,0.786393,4.711481,0.0,0.17123306,1.0887549,1.0
37,4.920728,1.0566431,1.0830437,0.7775745,0.0,0.0,1.0,0.44977665,4.877977,0.0,0.1612124,1.0250404,1.0
38,4.7010007,1.0338329,1.0197213,0.7795518,0.0,0.0,1.0,0.45025826,4.674159,0.0,0.15985464,1.0164073,1.0
39,4.846064,1.0377657,1.136115,0.74859107,0.0,0.0,1.0,0.6753487,4.7093005,0.0,0.170324,1.0829748,1.0
40,4.7599125,1.0229869,1.0830401,0.70674276,0.0,0.0,1.0,1.0130724,4.5772457,0.0,0.17520687,1.1140217,1.0
41,5.0385737,1.0691068,1.1243566,0.7197113,0.0,0.0,1.0,1.3511341,4.9893446,0.0,0.1617079,1.0281909,1.0
42,4.829567,1.0320761,0.9660394,0.8188226,0.0,0.0,1.0,1.3511341,4.6584616,0.0,0.17377901,1.1049429,1.0
43,4.8726516,1.0371807,1.0674766,0.7830626,0.0,0.0,1.0,1.3511341,4.7040725,0.0,0.17337762,1.1023908,1.0
44,4.942936,1.0307564,0.99160314,0.72088534,0.0,0.0,1.0,1.3511341,4.646669,0.0,0.1859246,1.1821685,1.0
45,4.8267255,1.0348542,1.0950804,0.8064582,0.0,0.0,1.0,1.3511341,4.6832848,0.0,0.17103715,1.0875093,1.0
46,4.680639,1.034558,1.1715597,0.8720481,0.0,0.0,1.0,1.3511341,4.680639,0.0,0.14742345,0.9373657,0.0
47,5.411393,1.1016362,1.2651522,0.76665413,0.0,0.0,1.0,1.3511341,5.280007,0.0,0.16845581,1.0710963,1.0
48,5.1061397,1.0471243,1.1526506,0.78853226,0.0,0.0,1.0,1.3511341,4.7929225,0.0,0.1866395,1.186714,1.0
49,7.957987,1.4013416,1.4690953,0.58964056,0.0,0.0,1.0,1.3511341,7.957987,0.0,0.15089063,0.9594112,0.0
50,5.1615534,1.0650257,1.2268611,0.79929054,0.0,0.0,1.0,1.3511341,4.9528785,0.0,0.17620645,1.1203773,1.0
51,7.0477567,1.2805098,1.3499885,0.58904445,0.0,0.0,1.0,1.3511341,6.8783097,0.0,0.16834402,1.0703855,1.0
52,8.585229,1.4185655,1.50889,0.4402538,0.0,0.0,1.0,1.3511341,8.111889,0.0,0.18349466,1.1667181,1.0
53,8.300923,1.4057033,1.4384998,0.5589957,0.0,0.0,1.0,1.3511341,7.9969606,0.0,0.17435406,1.1085993,1.0
54,7.610962,1.3004334,1.3908935,0.7901947,0.0,0.0,1.0,1.3511341,7.0563345,0.0,0.19259347,1.2245712,1.0
55,7.2239833,1.2920269,1.3097829,0.80290943,0.0,0.0,1.0,1.3511341,6.981219,0.0,0.17290002,1.099354,1.0
56,7.189171,1.2992686,1.3037107,0.76872385,0.0,0.0,1.0,1.3511341,7.0459266,0.0,0.16640961,1.0580859,1.0
57,7.4646564,1.2900765,1.3847233,0.7020806,0.0,0.0,1.0,1.3511341,6.963792,0.0,0.18959361,1.2054973,1.0
58,7.244794,1.2852421,1.3696988,0.73222333,0.0,0.0,1.0,1.3511341,6.920594,0.0,0.17832454,1.1338449,1.0
59,6.651517,1.2183739,1.3272936,0.71315295,0.0,0.0,1.0,1.3511341,6.323102,0.0,0.18061319,1.1483968,1.0
60,6.9870095,1.2171311,1.2621181,0.74558455,0.0,0.0,1.0,1.3511341,6.3119974,0.0,0.20532872,1.305546,1.0
61,6.1653085,1.2007145,1.2034453,0.6672324,0.0,0.0,1.0,1.3511341,6.1653085,0.0,0.1215834,0.7730664,0.0
62,6.839742,1.227006,1.4175497,0.6891998,0.0,0.0,1.0,1.3511341,6.400233,0.0,0.18813178,1.1962024,1.0
63,6.742654,1.2139624,1.444644,0.73051363,0.0,0.0,1.0,1.3511341,6.283684,0.0,0.19009578,1.2086902,1.0
64,7.0827017,1.2344706,1.4605991,0.7394113,0.0,0.0,1.0,1.3511341,6.4669323,0.0,0.20006095,1.2720519,1.0
65,6.2624936,1.168429,1.4382325,0.77115625,0.0,0.0,1.0,1.3511341,5.876826,0.0,0.18676323,1.1875007,1.0
