window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,1.4112749,1.0555903,0.9501441,0.47039995,0.0,0.0,1.0,40.827507,1.4112749,0.0,0.094547056,0.7997407,0.0
1,0.9590205,0.96403706,0.8139513,0.7452321,0.0,0.0,1.0,40.83383,0.9590205,0.0,0.07572696,0.64054805,0.0
2,0.8471935,0.9413991,0.85075265,0.65089434,0.0,0.0,1.0,40.83383,0.8471935,0.0,0.06625214,0.5604038,0.0
3,0.7621542,0.92418396,0.8788518,0.8116038,0.0,0.0,1.0,40.84726,0.7621542,0.0,0.0773792,0.65452373,0.0
4,0.022120306,0.7743734,0.95703614,0.76326305,0.0,0.0,1.0,40.161896,0.022120306,0.0,0.11128811,0.9413474,0.0
5,0.25191262,0.820892,0.80126584,0.6577807,0.0,0.0,1.0,39.651104,0.25191262,0.0,0.08391193,0.7097819,0.0
6,0.63472515,0.89838755,0.9830163,0.6902743,0.0,0.0,1.0,38.53748,0.63472515,0.0,0.10951729,0.9263687,0.0
7,1.0169905,0.9757724,0.9965411,0.81282187,0.0,0.0,1.0,38.53748,1.0169905,0.0,0.08011172,0.6776372,0.0
8,1.1855593,1.009897,1.0099121,0.83801335,0.0,0.0,1.0,37.507042,1.1855593,0.0,0.07881125,0.666637,0.0
9,1.1186773,0.99635756,0.976305,0.90974826,0.0,0.0,1.0,36.507008,1.1186773,0.0,0.07064081,0.5975261,0.0
10,1.1960659,1.0120239,0.8927187,0.8011757,0.0,0.0,1.0,20.001831,1.1960659,0.0,0.0915413,0.774316,0.0
11,1.1718721,1.0071262,0.9405027,0.73400736,0.0,0.0,1.0,20.296911,1.1718721,0.0,0.08039418,0.6800264,0.0
12,1.2621276,1.0253973,1.0367473,0.8715621,0.0,0.0,1.0,20.035082,1.2621276,0.0,0.09924266,0.8394592,0.0
13,0.6092094,0.8932222,0.88803303,0.78860277,0.0,0.0,1.0,19.566402,0.6092094,0.0,0.07466981,0.631606,0.0
14,0.9667094,0.9655936,0.8956792,0.729188,0.0,0.0,1.0,19.099016,0.9667094,0.0,0.0847744,0.7170772,0.0
15,1.1534541,1.0029963,0.9965512,0.82746226,0.0,0.0,1.0,35.998207,1.1514714,0.0,0.118803754,1.0049196,1.0
16,1.0917615,0.9909088,1.0386468,0.7257567,0.0,0.0,1.0,37.903282,1.0917615,0.0,0.10970762,0.9279787,0.0
17,1.151349,1.0029715,0.98103577,0.68994474,0.0,0.0,1.0,37.25186,1.151349,0.0,0.09169543,0.77561975,0.0
18,1.0389786,0.9662381,0.88886994,0.7116204,0.0,0.0,1.0,37.25186,0.9698931,0.0,0.14228202,1.2035142,1.0
19,1.4942626,1.0723901,1.1647681,0.5903115,0.0,0.0,1.0,37.25186,1.4942626,0.0,0.11554998,0.97739714,0.0
20,0.90953773,0.9540199,1.1846812,0.7938754,0.0,0.0,1.0,43.209473,0.90953773,0.0,0.10336361,0.8743169,0.0
21,1.292711,1.0108901,1.1094558,0.7607044,0.0,0.0,1.0,42.46784,1.1904652,0.0,0.14723293,1.2453922,1.0
22,0.9539147,0.96300346,1.0803032,0.7512465,0.0,0.0,1.0,43.9271,0.9539147,0.0,0.11728006,0.9920313,0.0
23,1.009675,0.97429144,0.9377548,0.8141254,0.0,0.0,1.0,55.340225,1.009675,0.24246874,0.10385101,0.8784396,0.0
24,2.1460326,1.2043327,1.0853075,0.74437314,0.0,0.0,1.0,57.152065,2.1460326,0.30390444,0.11531289,0.9753917,0.0
25,0.68324035,0.80486375,1.1811291,0.6920766,0.0,0.0,1.0,73.37678,0.17273644,0.85405046,0.11566235,0.97834766,0.0
26,1.8485914,1.1441195,1.0880749,0.7866541,0.0,0.0,1.0,78.123474,1.8485914,1.0150009,0.09978954,0.84408504,0.0
27,1.1499206,0.9902762,1.0342535,0.6975761,0.0,0.0,1.0,84.82677,1.0886366,1.2422956,0.13723706,1.1608406,1.0
28,1.8404697,1.1424754,1.1239259,0.69468564,0.0,0.0,1.0,84.82677,1.8404697,1.2422956,0.09770276,0.82643366,0.0
29,2.0653195,1.1879934,1.4102746,0.90614897,0.0,0.0,1.0,90.82718,2.0653195,1.445757,0.115310475,0.97537124,0.0
30,2.0830252,1.1915777,1.2556853,0.77934134,0.0,0.0,1.0,98.33402,2.0830252,1.7002983,0.114520304,0.9686875,0.0
31,1.6530542,1.1045355,1.0138063,0.83611506,0.0,0.0,1.0,98.33402,1.6530542,1.7002983,0.10544664,0.8919365,0.0
32,2.4585133,1.2675905,1.1350201,0.7920996,0.0,0.0,1.0,111.47667,2.4585133,2.145938,0.10228108,0.8651601,0.0
33,2.4412866,1.2641032,1.1687907,0.80284053,0.0,0.0,1.0,125.65741,2.4412866,2.6267772,0.11225549,0.9495302,0.0
