window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,0.4219075,0.14190833,0.8435278,0.12587175,0.0,0.0,1.0,0.0,0.4219075,0.0,0.008471171,0.06370978,0.0
1,0.4219075,0.14190833,0.8435278,0.12587175,0.0,0.0,1.0,0.0,0.4219075,0.0,0.008670197,0.06520661,0.0
2,0.4219075,0.14190833,0.8435278,0.12587175,0.0,0.0,1.0,0.0,0.4219075,0.0,0.008900172,0.0669362,0.0
3,0.43538776,0.14584036,0.15961497,0.0024516077,0.0,0.0,1.0,0.0,0.43538776,0.0,0.00791622,0.05953612,0.0
4,0.4219075,0.14190833,0.15567756,0.0018724492,0.0,0.0,1.0,0.0,0.4219075,0.0,0.009431251,0.07093033,0.0
5,0.4219075,0.14190833,0.15567756,0.0024323792,0.0,0.0,1.0,0.0,0.4219075,0.0,0.009731603,0.07318921,0.0
6,0.4219075,0.14190833,0.15567756,0.002228658,0.0,0.0,1.0,0.0,0.4219075,0.0,0.00998494,0.0750945,0.0
7,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
8,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
9,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
10,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
11,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
12,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
13,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
14,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
15,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
16,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
17,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
18,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
19,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
20,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
21,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
22,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
23,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
24,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
25,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
26,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
27,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
28,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
29,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
30,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
31,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
32,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
33,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
34,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
35,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
36,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
37,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
38,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
39,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
40,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
41,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
42,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
43,0.51637685,0.16946393,0.18326361,0.0018724492,0.0,0.0,1.0,0.0,0.51637685,0.0,0.010404218,0.07824779,0.0
