window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,0.36873433,0.59841156,0.60386765,0.36878362,0.0,0.0,1.0,1.0930704,0.36873433,0.0,0.082461774,0.678021,0.0
1,0.03951595,0.49608967,0.624995,0.24225244,0.0,0.0,1.0,1.1285115,0.03951595,0.0,0.106898695,0.8789474,0.0
2,0.52955776,0.6483959,0.7092335,0.27177647,0.0,0.0,1.0,1.165579,0.52955776,0.0,0.09500126,0.78112376,0.0
3,0.8499998,0.7479901,0.8051508,0.20417249,0.0,0.0,1.0,1.7684655,0.8499998,0.0,0.090001635,0.7400156,0.0
4,1.030477,0.8040829,0.8203864,0.30497664,0.0,0.0,1.0,1.7976482,1.030477,0.0,0.08184678,0.6729644,0.0
5,1.2112305,0.8602615,0.8397448,0.26686025,0.0,0.0,1.0,1.8286086,1.2112305,0.0,0.0985873,0.81060904,0.0
6,1.3634185,0.9075619,0.86329716,0.38588226,0.0,0.0,1.0,1.844321,1.3634185,0.0,0.09810296,0.8066267,0.0
7,1.5269594,0.95839083,0.9441021,0.37779397,0.0,0.0,1.0,1.8605989,1.5269594,0.0,0.07302967,0.6004679,0.0
8,1.4763101,0.9352139,0.87226504,0.3081986,0.0,0.0,1.0,1.8947982,1.4523883,0.0,0.12734467,1.0470592,1.0
9,1.011618,0.7982214,0.7991502,0.47227386,0.0,0.0,1.0,1.9310951,1.011618,0.0,0.1066135,0.8766025,0.0
10,2.1502519,1.121694,1.3915954,0.8398246,0.0,0.0,1.0,1.9686978,2.0523837,0.0,0.13819136,1.1362433,1.0
11,1.1079146,0.82815063,1.1668087,0.5804712,0.0,0.0,1.0,2.0076754,1.1079146,0.0,0.102582894,0.8434618,0.0
12,1.9235381,1.0816485,1.0490168,0.5179373,0.0,0.0,1.0,2.047961,1.9235381,0.0,0.118579954,0.9749936,0.0
13,2.0319195,1.1153337,1.2681974,0.4844994,0.0,0.0,1.0,2.0910735,2.0319195,0.0,0.11402663,0.937555,0.0
14,1.67243,1.0036035,1.0707734,0.39166278,0.0,0.0,1.0,2.0980613,1.67243,0.0,0.07663041,0.63007414,0.0
15,1.832595,1.0533831,1.0886562,0.39166278,0.0,0.0,1.0,2.1038096,1.832595,0.0,0.08351176,0.68665427,0.0
16,1.9153531,1.0791045,1.1185393,0.4013483,0.0,0.0,1.0,2.071069,1.9153531,0.0,0.09113299,0.7493179,0.0
17,1.6393572,0.99332434,1.1341425,0.45500958,0.0,0.0,1.0,3.9131477,1.6393572,0.0,0.08903618,0.7320774,0.0
18,2.2549381,1.1846484,1.242293,0.50905716,0.0,0.0,1.0,9.170521,2.2549381,0.0,0.07361342,0.60526764,0.0
19,2.427809,1.2383771,1.2830386,0.52616096,0.0,0.0,1.0,8.835454,2.427809,0.0,0.08311712,0.68340945,0.0
20,2.4392912,1.2394257,1.3409752,0.5467177,0.0,0.0,1.0,8.372042,2.4311826,0.0,0.122780204,1.0095291,1.0
21,2.812598,1.2803395,1.381005,0.5034875,0.0,0.0,1.0,8.079939,2.5628219,0.0,0.15548803,1.2784609,1.0
22,3.155645,1.3581691,1.4242152,0.5427116,0.0,0.0,1.0,7.8032722,2.813237,0.0,0.1639153,1.347752,1.0
23,3.4289107,1.4437875,1.4867017,0.6089879,0.0,0.0,1.0,7.5409484,3.088712,0.0,0.15989466,1.3146932,1.0
24,3.5582361,1.5117985,1.5194527,0.66066587,0.0,0.0,1.0,7.286255,3.3075361,0.0,0.14795977,1.2165617,1.0
25,3.5873122,1.5343333,1.5718923,0.64318526,0.0,0.0,1.0,7.1622167,3.3800414,0.0,0.14292999,1.1752056,1.0
26,3.6008124,1.5577154,1.5842575,0.57318723,0.0,0.0,1.0,7.0441985,3.4552727,0.0,0.13625789,1.120346,1.0
27,3.3987854,1.540159,1.606668,0.59244263,0.0,0.0,1.0,6.8147097,3.3987854,0.0,0.11311479,0.93005764,0.0
28,3.4363263,1.5518268,1.6256276,0.5961509,0.0,0.0,1.0,6.594319,3.4363263,0.0,0.08423769,0.692623,0.0
29,3.7356846,1.6448681,1.6981975,0.6232171,0.0,0.0,1.0,6.488931,3.7356846,0.0,0.0848545,0.6976946,0.0
30,3.6179667,1.6082811,1.7310797,0.64336914,0.0,0.0,1.0,6.2811527,3.6179667,0.0,0.09172803,0.7542105,0.0
31,3.9245412,1.7035652,1.7291603,0.5165904,0.0,0.0,1.0,5.989815,3.9245412,0.0,0.0993603,0.81696486,0.0
32,4.2096305,1.7921717,1.9315856,0.6152821,0.0,0.0,1.0,5.8036265,4.2096305,0.0,0.09972032,0.81992507,0.0
33,4.346127,1.8345952,1.855032,0.5295912,0.0,0.0,1.0,5.6249185,4.346127,0.0,0.11147068,0.9165394,0.0
34,4.0454774,1.7411525,1.8387169,0.38191423,0.0,0.0,1.0,4.1401324,4.0454774,0.0,0.1075513,0.8843133,0.0
35,4.1990943,1.788897,1.8536128,0.29359022,0.0,0.0,1.0,3.075635,4.1990943,0.0,0.07510092,0.6174983,0.0
36,4.20895,1.7919602,1.8339944,0.22092666,0.0,0.0,1.0,2.3560917,4.20895,0.0,0.07114511,0.5849726,0.0
37,4.2976475,1.8195276,1.8315972,0.50087214,0.0,0.0,1.0,2.3364935,4.2976475,0.0,0.1007344,0.82826304,0.0
38,4.3477163,1.8350891,1.8207409,0.52049464,0.0,0.0,1.0,2.1095095,4.3477163,0.0,0.11363083,0.93430066,0.0
39,4.660927,1.8256031,1.8356922,0.48883843,0.0,0.0,1.0,1.9182998,4.3171954,0.0,0.1492881,1.2274835,1.0
40,4.5219793,1.8411587,1.8393838,0.4888385,0.0,0.0,1.0,1.9020872,4.367245,0.0,0.133933,1.10123,1.0
41,4.392284,1.8152881,1.8691427,0.3705023,0.0,0.0,1.0,1.880705,4.284007,0.0,0.13040394,1.0722133,1.0
42,4.416202,1.8563747,1.8670352,0.42101777,0.0,0.0,1.0,1.8592103,4.416202,0.0,0.11796171,0.96991026,0.0
43,4.515467,1.8721144,1.8833672,0.42101777,0.0,0.0,1.0,1.8377378,4.4668446,0.0,0.12540378,1.0311007,1.0
44,4.623727,1.8945655,1.9188554,0.51516557,0.0,0.0,1.0,1.8215609,4.53908,0.0,0.12810138,1.0532811,1.0
45,4.699063,1.9277016,1.9206277,0.40156546,0.0,0.0,1.0,1.8031,4.6456947,0.0,0.1256131,1.0328218,1.0
46,4.7100835,1.9369359,1.912352,0.5610326,0.0,0.0,1.0,1.789528,4.675406,0.0,0.12419859,1.0211915,1.0
47,4.973013,1.9244744,1.9378867,0.25859505,0.0,0.0,1.0,1.7677491,4.635311,0.0,0.14693731,1.2081548,1.0
48,4.663407,1.891401,1.9400269,0.25859505,0.0,0.0,1.0,1.7461059,4.5288987,0.0,0.13194166,1.0848569,1.0
49,1.2451646,0.84135836,1.9627364,0.8607907,0.0,0.0,1.0,1.7326216,1.1504102,0.0,0.15024248,1.2353307,1.0
50,1.4687504,0.8956611,1.1327438,0.9525771,0.0,0.0,1.0,1.7107984,1.325128,0.0,0.15928349,1.3096681,1.0
51,1.6916717,0.9573206,0.99349725,0.93756187,0.0,0.0,1.0,1.6865873,1.5235159,0.0,0.15997489,1.3153529,1.0
52,1.8727704,1.0161517,1.2630339,0.96822274,0.0,0.0,1.0,1.6649162,1.7128036,0.0,0.15407494,1.2668421,1.0
53,2.167842,1.1575787,2.109152,0.63149625,0.0,0.0,1.0,1.6433569,2.167842,0.0,0.10745316,0.88350636,0.0
54,2.1245162,1.1211689,2.0161624,0.920229,0.0,0.0,1.0,1.6219157,2.050694,0.0,0.13413043,1.1028534,1.0
55,2.48709,1.1582084,1.1754675,0.9441956,0.0,0.0,1.0,1.6056076,2.1698678,0.0,0.17242223,1.417698,1.0
56,4.614657,1.9180549,2.0657382,0.33078182,0.0,0.0,1.0,1.5865079,4.614657,0.0,0.11452778,0.9416756,0.0
57,4.3308377,1.8298432,1.8810023,0.52505875,0.0,0.0,1.0,1.5730722,4.3308377,0.0,0.099557936,0.81858987,0.0
58,4.1926517,1.7868947,1.8028612,0.5372137,0.0,0.0,1.0,1.5515078,4.1926517,0.0,0.11284265,0.92782,0.0
59,4.217725,1.7946874,1.8108251,0.55446386,0.0,0.0,1.0,1.5299028,4.217725,0.0,0.080324374,0.66044676,0.0
60,4.315665,1.8251275,1.8396714,0.5152422,0.0,0.0,1.0,2.5530703,4.315665,0.0,0.085768886,0.7052129,0.0
61,4.3281026,1.8289931,1.8526399,0.5062379,0.0,0.0,1.0,2.5558333,4.3281026,0.0,0.10710736,0.8806631,0.0
62,4.3411155,1.8330376,1.874791,0.5662325,0.0,0.0,1.0,2.5585656,4.3411155,0.0,0.11600823,0.95384824,0.0
63,4.378644,1.8447015,1.8746196,0.5496584,0.0,0.0,1.0,2.5614347,4.378644,0.0,0.116306156,0.9562979,0.0
64,4.438565,1.8633251,1.8734692,0.5346914,0.0,0.0,1.0,2.5642126,4.438565,0.0,0.11890408,0.97765857,0.0
65,4.2769103,1.8130825,1.878095,0.6011337,0.0,0.0,1.0,2.567112,4.2769103,0.0,0.104038626,0.8554312,0.0
66,4.193342,1.7871093,1.8053081,0.5458916,0.0,0.0,1.0,2.5700264,4.193342,0.0,0.115021326,0.94573367,0.0
67,4.3831987,1.8461171,1.9564446,0.532708,0.0,0.0,1.0,2.572956,4.3831987,0.0,0.084451966,0.6943849,0.0
68,4.3431544,1.8336712,2.036497,0.5276122,0.0,0.0,1.0,2.5760074,4.3431544,0.0,0.09555063,0.7856408,0.0
69,4.6289167,1.9224869,1.9885217,0.5591332,0.0,0.0,1.0,2.5789676,4.6289167,0.0,0.098409705,0.80914885,0.0
70,4.596842,1.9125179,2.0141406,0.572925,0.0,0.0,1.0,2.5789676,4.596842,0.0,0.104507856,0.85928935,0.0
71,4.5563645,1.8999375,2.0481062,0.62275743,0.0,0.0,1.0,2.5820642,4.5563645,0.0,0.11241349,0.9242914,0.0
72,4.4121766,1.8551235,1.8784035,0.5862118,0.0,0.0,1.0,2.5851457,4.4121766,0.0,0.1179434,0.96975964,0.0
73,5.036722,1.9615395,2.1150138,0.5525734,0.0,0.0,1.0,2.58844,4.7545676,0.0,0.14224267,1.1695542,1.0
74,4.611182,1.8417491,1.8922528,0.56493837,0.0,0.0,1.0,2.5915213,4.3691444,0.0,0.14087115,1.1582773,1.0
75,4.7509375,1.8961378,1.973032,0.58679086,0.0,0.0,1.0,2.5948153,4.544139,0.0,0.13743512,1.1300254,1.0
76,4.54644,1.8585579,2.0032248,0.7585123,0.0,0.0,1.0,2.570671,4.423227,0.0,0.13130093,1.0795885,1.0
77,4.2332296,1.7665741,1.7998545,0.60359114,0.0,0.0,1.0,2.5334463,4.1272707,0.0,0.13054232,1.0733511,1.0
78,4.2958813,1.8189787,1.8553289,0.62982947,0.0,0.0,1.0,2.5092812,4.2958813,0.0,0.11474167,0.94343424,0.0
79,4.2831845,1.8150325,1.862769,0.62982947,0.0,0.0,1.0,2.4851906,4.2831845,0.0,0.10674531,0.8776862,0.0
80,4.4056764,1.8531033,2.0546489,0.630748,0.0,0.0,1.0,1.5772127,4.4056764,0.0,0.10431483,0.8577022,0.0
81,4.7983994,1.9751625,2.0538518,0.6077045,0.0,0.0,1.0,1.1553,4.7983994,0.0,0.119750105,0.98461485,0.0
82,4.048523,1.742099,1.7963063,0.59328985,0.0,0.0,1.0,1.1527151,4.048523,0.0,0.107416555,0.88320535,0.0
83,4.0742254,1.7500875,2.2519498,0.44965202,0.0,0.0,1.0,1.1501865,4.0742254,0.0,0.0989028,0.81320316,0.0
84,4.3770137,1.8441948,2.1047375,0.6207729,0.0,0.0,1.0,1.1458688,4.3770137,0.0,0.10818306,0.8895078,0.0
85,4.720653,1.9509988,2.175597,0.70688987,0.0,0.0,1.0,1.143618,4.720653,0.0,0.108008295,0.8880708,0.0
86,4.689205,1.9412247,2.0070813,0.76915854,0.0,0.0,1.0,1.1433249,4.689205,0.0,0.09428152,0.77520585,0.0
87,2.5867012,1.2877612,2.0237439,0.7461224,0.0,0.0,1.0,1.1395619,2.5867012,0.0,0.10403622,0.8554114,0.0
88,2.9289598,1.3941361,2.0451386,0.7920384,0.0,0.0,1.0,1.1358569,2.9289598,0.0,0.09780408,0.8041692,0.0
89,2.765782,1.34342,1.9723119,0.93739486,0.0,0.0,1.0,1.1340216,2.765782,0.0,0.09972733,0.8199827,0.0
90,5.1045284,2.0703082,2.234084,0.48005196,0.0,0.0,1.0,1.1322361,5.1045284,0.0,0.09216159,0.75777525,0.0
91,6.48075,2.4980414,2.4980597,0.21660984,0.0,0.0,1.0,1.1286929,6.48075,0.0,0.07782429,0.63989043,0.0
92,5.265312,2.1202803,2.5015478,0.39331403,0.0,0.0,1.0,1.1251762,5.265312,0.0,0.07476833,0.6147636,0.0
93,5.302528,2.131847,2.4897766,0.42680445,0.0,0.0,1.0,1.1217351,5.302528,0.0,0.08265467,0.67960703,0.0
