window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,4.9500937,1.3984437,1.4472144,0.5937693,0.0,0.0,1.0,2.0234728,4.6860147,0.0,0.13949715,1.1610135,1.0
1,5.2276134,1.4311998,1.5398962,0.478807,0.0,0.0,1.0,1.348982,4.863294,0.0,0.14586766,1.2140343,1.0
2,5.2866435,1.4467658,1.490678,0.5360721,0.0,0.0,1.0,1.348982,4.947539,0.0,0.14368026,1.1958289,1.0
3,4.922297,1.4025358,1.4659332,0.5005859,0.0,0.0,1.0,1.5738127,4.7081614,0.0,0.13576461,1.1299481,1.0
4,4.669294,1.3602422,1.3841137,0.5716494,0.0,0.0,1.0,2.0234709,4.479264,0.0,0.13471505,1.1212128,1.0
5,4.9515657,1.41282,1.4766779,0.53726447,0.0,0.0,1.0,2.0234709,4.7638206,0.0,0.13368039,1.1126015,1.0
6,5.1986294,1.4006687,1.4852536,0.49501258,0.0,0.0,1.0,2.0234709,4.6980567,0.0,0.15672827,1.3044255,1.0
7,5.3479557,1.3705598,1.3691139,0.54153234,0.0,0.0,1.0,2.0234709,4.535104,0.0,0.1816808,1.5121017,1.0
8,5.6260242,1.377243,1.3518565,0.46046564,0.0,0.0,1.0,2.0234709,4.5712743,0.0,0.19935977,1.6592411,1.0
9,6.227571,1.4932086,1.457908,0.5456802,0.0,0.0,1.0,2.0234709,5.198893,0.0,0.18807599,1.5653278,1.0
10,6.1314864,1.5603096,1.5300945,0.5108971,0.0,0.0,1.0,2.0234709,5.5620513,0.0,0.15529665,1.2925104,1.0
11,5.868389,1.6141386,1.6669631,0.39671984,0.0,0.0,1.0,2.0234709,5.8533797,0.0,0.12103145,1.0073262,1.0
12,6.3642864,1.657194,1.6695039,0.37684602,0.0,0.0,1.0,2.0234709,6.0864,0.0,0.13582473,1.1304485,1.0
13,5.475302,1.544281,1.5982091,0.48919517,0.0,0.0,1.0,2.0234709,5.475302,0.0,0.12013709,0.9998827,0.0
14,5.4630446,1.5420161,1.648375,0.4328639,0.0,0.0,1.0,2.0234709,5.4630446,0.0,0.117218,0.97558755,0.0
15,5.4787865,1.5381622,1.5335749,0.5854591,0.0,0.0,1.0,2.0234709,5.442187,0.0,0.12245988,1.019215,1.0
16,5.1863837,1.4677955,1.5446697,0.47650868,0.0,0.0,1.0,1.1241515,5.061354,0.0,0.12863138,1.0705794,1.0
17,5.128573,1.4658798,1.4977611,0.56773996,0.0,0.0,1.0,1.3489815,5.0509863,0.0,0.12542434,1.0438876,1.0
18,4.851167,1.3965992,1.3982614,0.28863862,0.0,0.0,1.0,1.3489815,4.6760316,0.0,0.1330087,1.1070112,1.0
19,4.830499,1.4251403,1.400072,0.28863862,0.0,0.0,1.0,1.3489815,4.830499,0.0,0.107089005,0.8912855,0.0
20,5.321271,1.441037,1.487135,0.71969837,0.0,0.0,1.0,1.3489815,4.9165344,0.0,0.14841127,1.2352045,1.0
21,4.8377542,1.4264808,1.3987322,0.4753265,0.0,0.0,1.0,1.3489815,4.8377542,0.0,0.10395304,0.8651853,0.0
22,4.706111,1.402157,1.4576612,0.45293927,0.0,0.0,1.0,1.3489815,4.706111,0.0,0.11301337,0.94059306,0.0
23,5.05807,1.4202703,1.4392312,0.62835264,0.0,0.0,1.0,1.3489815,4.8041425,0.0,0.13829607,1.1510171,1.0
24,4.653677,1.3924687,1.3577943,0.4570282,0.0,0.0,1.0,1.3489815,4.653677,0.0,0.115574196,0.96190643,0.0
25,5.761524,1.578452,1.7162194,0.63412565,0.0,0.0,1.0,1.3489815,5.6602397,0.0,0.12629402,1.0511259,1.0
26,5.6865783,1.5833186,1.771075,0.6355518,0.0,0.0,1.0,1.3489815,5.6865783,0.0,0.11359154,0.94540507,0.0
27,5.4422083,1.5381662,1.6440505,0.67495596,0.0,0.0,1.0,1.3489815,5.4422083,0.0,0.114326276,0.95152014,0.0
28,4.9047594,1.3794112,1.6660391,0.742519,0.0,0.0,1.0,1.3489815,4.5830083,0.0,0.14425185,1.2005862,1.0
29,4.8546324,1.4295994,1.4933208,0.56565416,0.0,0.0,1.0,1.3489815,4.8546324,0.0,0.11051195,0.9197741,0.0
30,4.9761887,1.4520594,1.4794614,0.51221895,0.0,0.0,1.0,1.3489815,4.9761887,0.0,0.11146937,0.9277426,0.0
31,4.6751966,1.3964449,1.413191,0.5828292,0.0,0.0,1.0,1.3489815,4.6751966,0.0,0.119328804,0.9931555,0.0
32,4.6662593,1.3947935,1.4560848,0.5015187,0.0,0.0,1.0,2.0234725,4.6662593,0.0,0.11680093,0.9721163,0.0
33,4.9344616,1.4219378,1.4691683,0.5015187,0.0,0.0,1.0,2.0234725,4.813167,0.0,0.12880228,1.0720018,1.0
34,5.1484294,1.4169323,1.4315015,0.79345024,0.0,0.0,1.0,2.0234725,4.786077,0.0,0.14614148,1.2163134,1.0
35,4.791406,1.417917,1.4526198,0.82789266,0.0,0.0,1.0,3.3724542,4.791406,0.24704728,0.11304663,0.94086987,0.0
36,4.7953897,1.4171035,1.5113655,0.7091912,0.0,0.0,1.0,1.3489817,4.7870035,0.0,0.120752595,1.0050055,1.0
37,4.898705,1.4266719,1.5175457,0.70352477,0.0,0.0,1.0,1.3489817,4.8387885,0.0,0.12440195,1.0353785,1.0
38,5.2799683,1.4633421,1.4491304,0.69103616,0.0,0.0,1.0,6.0704803,5.0372515,0.8117557,0.13669237,1.1376698,1.0
39,5.987196,1.4703369,1.4686669,0.692298,0.0,0.0,1.0,6.0704803,5.0751085,0.8117557,0.18184635,1.5134795,1.0
40,5.9349113,1.4637599,1.4561214,0.46723887,0.0,0.0,1.0,6.0704803,5.039513,0.8117557,0.18114525,1.5076443,1.0
41,6.031964,1.4964125,1.5188228,0.8811843,0.0,0.0,1.0,6.0704803,5.216233,0.8117557,0.17383583,1.4468092,1.0
42,6.2903504,1.4907287,1.4852731,0.5912408,0.0,0.0,1.0,6.0704803,5.1854715,0.8117557,0.1932965,1.6087774,1.0
43,6.220601,1.5184644,1.5018603,0.589706,0.0,0.0,1.0,6.0704803,5.3355803,0.8117557,0.17709304,1.4739184,1.0
44,6.112912,1.5175481,1.4991437,0.42424792,0.0,0.0,1.0,6.0704803,5.330621,0.8117557,0.17053032,1.4192978,1.0
45,5.6784763,1.5333751,1.5435466,0.593332,0.0,0.0,1.0,6.0704803,5.4162784,0.8117557,0.13676956,1.1383122,1.0
46,5.7473016,1.5483568,1.5083201,0.5993457,0.0,0.0,1.0,6.0704803,5.4973607,0.8117557,0.13575904,1.1299018,1.0
47,5.4991527,1.5486878,1.5272708,0.42424792,0.0,0.0,1.0,12.140961,5.4991527,2.0823333,0.09855972,0.82029754,0.0
48,5.549569,1.5580033,1.5300269,0.59741354,0.0,0.0,1.0,13.4899435,5.549569,2.364681,0.108006604,0.8989225,0.0
49,5.679249,1.5819644,1.6378795,0.6360559,0.0,0.0,1.0,14.838924,5.679249,2.6470284,0.112294756,0.93461215,0.0
50,5.682933,1.582645,1.5755652,0.5907585,0.0,0.0,1.0,14.838924,5.682933,2.6470284,0.11462173,0.9539792,0.0
51,5.7033205,1.5864121,1.5494554,0.5159952,0.0,0.0,1.0,14.838924,5.7033205,2.6470284,0.11630125,0.9679576,0.0
52,5.224788,1.4979934,1.5358814,0.42891014,0.0,0.0,1.0,16.187902,5.224788,2.9293754,0.10136946,0.8436826,0.0
53,5.7342405,1.5921252,1.5800306,0.63762206,0.0,0.0,1.0,17.536886,5.7342405,3.2117236,0.08692865,0.72349393,0.0
54,5.463072,1.5420212,1.5048095,0.30275694,0.0,0.0,1.0,18.885866,5.463072,3.4940708,0.0772461,0.6429075,0.0
55,5.396083,1.5296435,1.5259172,0.63762206,0.0,0.0,1.0,22.932941,5.396083,4.3411407,0.10896634,0.90691024,0.0
56,5.237401,1.5003238,1.4715713,0.5801337,0.0,0.0,1.0,22.932941,5.237401,4.3411407,0.11868189,0.98777133,0.0
57,5.2843966,1.5090072,1.6511215,0.71732473,0.0,0.0,1.0,24.281923,5.2843966,4.6234884,0.11093178,0.92326826,0.0
58,5.641911,1.4940252,1.6511134,0.6756588,0.0,0.0,1.0,24.281923,5.2033124,4.6234884,0.14908776,1.2408347,1.0
59,5.4605045,1.4965906,1.7333285,0.7356857,0.0,0.0,1.0,24.281923,5.2171965,4.6234884,0.13616075,1.1332451,1.0
60,5.5618205,1.463646,1.5912836,0.72252446,0.0,0.0,1.0,24.281923,5.038897,4.6234884,0.15577684,1.2965069,1.0
61,5.308248,1.4790131,1.6398231,0.71732473,0.0,0.0,1.0,24.281923,5.122065,4.6234884,0.13262947,1.1038549,1.0
