window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,0.55539745,1.0451298,0.8351644,0.8810468,0.0,0.0,1.0,46.854977,0.55539745,0.52331036,0.10195237,0.6868877,0.0
1,0.4186483,0.9862958,0.81794584,0.8628744,0.0,0.0,1.0,46.854977,0.32643667,0.52331036,0.07869165,0.5301723,0.0
2,0.4186483,0.8940102,0.9946128,0.7868351,0.0,0.0,1.0,46.854977,0.0,0.52331036,0.13904892,0.93681973,0.0
3,0.34597164,0.99131554,0.90580076,0.81250113,0.0,0.0,1.0,44.59996,0.34597164,0.4196695,0.13732235,0.9251873,0.0
4,1.0436367,1.1705881,0.995479,0.92104197,0.0,0.0,1.0,42.97387,1.0436367,0.3449341,0.11369982,0.7660343,0.0
5,0.8414181,1.1186259,1.0602211,0.68121547,0.0,0.0,1.0,46.837635,0.8414181,0.5225134,0.10938555,0.73696756,0.0
6,0.84808743,1.1203396,1.0351208,0.7521936,0.0,0.0,1.0,46.837635,0.84808743,0.5225134,0.08751803,0.58963865,0.0
7,0.9799938,1.1542344,1.0994406,0.7421851,0.0,0.0,1.0,42.97387,0.9799938,0.3449341,0.08215687,0.55351865,0.0
8,1.2562433,1.2252197,1.1723098,0.77814883,0.0,0.0,1.0,43.77526,1.2562433,0.3817662,0.0977276,0.65842396,0.0
9,1.3316414,1.2445941,1.0927029,0.8110973,0.0,0.0,1.0,43.77526,1.3316414,0.3817662,0.10109796,0.68113124,0.0
10,1.2178239,1.2153474,1.1217824,0.72619313,0.0,0.0,1.0,45.084927,1.2178239,0.44195864,0.07924993,0.5339337,0.0
11,1.3597829,1.2518253,1.1998711,0.79904807,0.0,0.0,1.0,40.18099,1.3597829,0.2165729,0.08080461,0.5444081,0.0
12,1.3587242,1.2515533,1.1445378,0.88321054,0.0,0.0,1.0,35.371605,1.3587242,0.0,0.09351532,0.63004446,0.0
13,1.6561239,1.3279734,1.2158707,0.75978774,0.0,0.0,1.0,35.016693,1.6561239,0.0,0.10722871,0.7224362,0.0
14,0.0,0.8494527,1.0607774,0.86051565,0.0,0.0,1.0,34.668125,0.0,0.0,0.09998425,0.6736278,0.0
15,0.886359,1.1301739,1.1089143,0.9084701,0.0,0.0,1.0,34.668125,0.886359,0.0,0.10270722,0.6919734,0.0
16,1.0853621,1.1813099,1.1943778,0.6805345,0.0,0.0,1.0,33.187637,1.0853621,0.0,0.10084052,0.67939675,0.0
17,1.0842854,1.1810333,1.056592,0.7776496,0.0,0.0,1.0,31.929003,1.0842854,0.0,0.10858537,0.7315765,0.0
18,1.920924,1.3960166,1.2796786,0.7449394,0.0,0.0,1.0,29.6673,1.920924,0.0,0.0932996,0.62859106,0.0
19,1.077289,1.1792355,1.0469257,0.7571534,0.0,0.0,1.0,29.514603,1.077289,0.0,0.07063911,0.47591966,0.0
20,1.195179,1.2095286,1.2282659,0.7809236,0.0,0.0,1.0,29.6673,1.195179,0.0,0.090329275,0.608579,0.0
21,0.679324,1.076974,1.1102824,0.7901433,0.0,0.0,1.0,16.654951,0.679324,0.0,0.08059941,0.54302555,0.0
22,0.6728931,1.0753216,1.0958085,0.8022529,0.0,0.0,1.0,0.8450787,0.6728931,0.0,0.040934857,0.275792,0.0
23,1.1316562,1.1932057,1.0653386,0.8411356,0.0,0.0,1.0,0.87138826,1.1316562,0.0,0.09217872,0.6210393,0.0
