window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,9.0899105,1.1100762,1.3457342,0.6218868,0.0,0.0,1.0,1.2604551,6.861526,0.0,0.11054316,1.9279006,1.0
1,8.8906765,1.1814017,2.053413,1.0050666,0.0,0.0,1.0,1.4443691,7.673836,0.07683821,0.0833163,1.4530572,1.0
2,9.5735445,1.2102518,2.0784004,1.0050666,0.0,0.0,1.0,1.5502898,8.002403,0.3111363,0.0895029,1.5609531,1.0
3,7.3713746,0.9950588,1.7997018,1.0897324,0.0,0.0,1.0,1.5502898,5.551618,0.3111363,0.111038454,1.9365386,1.0
4,11.610396,1.3345361,1.408393,0.7955307,0.0,0.0,1.0,1.6673626,9.417849,0.5701031,0.09547827,1.6651651,1.0
5,11.005886,1.2311438,1.1839838,0.88585216,0.0,0.0,1.0,1.9428263,8.240338,1.1794329,0.11231997,1.9588885,1.0
6,11.76394,1.2682472,1.1681726,0.73918253,0.0,0.0,1.0,1.7974411,8.6629,0.8578388,0.11598256,2.0227652,1.0
7,10.94836,1.2466226,1.2155621,0.9466684,0.0,0.0,1.0,1.7603593,8.416622,0.7758132,0.106617436,1.859435,1.0
8,10.813303,1.2423464,1.1135551,0.81988543,0.0,0.0,1.0,1.7225828,8.367922,0.6922511,0.10521354,1.8349506,1.0
9,10.425181,1.2158523,1.1570119,0.7823334,0.0,0.0,1.0,1.5967413,8.066186,0.41388786,0.10524993,1.8355852,1.0
10,10.153629,1.1718224,1.1900735,0.5407533,0.0,0.0,1.0,1.5255215,7.5647397,0.2563486,0.11340452,1.9778033,1.0
11,9.113287,1.1782765,1.1845047,0.4753255,0.0,0.0,1.0,1.3821629,7.638244,0.0,0.08897526,1.5517509,1.0
12,9.452636,1.1120993,1.4686435,0.7226781,0.0,0.0,1.0,1.1882005,6.8845663,0.0,0.11844823,2.0657668,1.0
13,8.876152,1.1271703,1.0746292,0.81288993,0.0,0.0,1.0,1.155873,7.056207,0.0,0.099592455,1.7369175,1.0
14,8.510676,1.1182219,1.0449741,0.95885634,0.0,0.0,1.0,1.1237538,6.954295,0.0,0.09400282,1.6394329,1.0
15,11.042081,1.2126065,1.3550379,0.5233472,0.0,0.0,1.0,1.155873,8.029221,0.0,0.11881168,2.0721056,1.0
16,12.621315,1.319736,1.3648995,0.39310583,0.0,0.0,1.0,1.1879444,9.249294,0.0,0.11706428,2.0416305,1.0
17,11.243358,1.2449933,1.3281341,0.39310583,0.0,0.0,1.0,1.4194397,8.3980665,0.021693999,0.112842925,1.968009,1.0
18,8.821138,1.1079863,1.0784577,0.661669,0.0,0.0,1.0,1.6106069,6.8377247,0.44455874,0.10485911,1.8287693,1.0
19,9.633795,1.1650406,1.6188675,1.020115,0.0,0.0,1.0,1.7449906,7.487503,0.7418174,0.10429893,1.8189995,1.0
20,11.586071,1.2319117,1.1593263,0.87081724,0.0,0.0,1.0,1.853729,8.249083,0.9823484,0.12361033,2.1557953,1.0
21,10.315724,1.2492815,1.8103673,1.0897324,0.0,0.0,1.0,1.7053143,8.446904,0.65405285,0.093583725,1.6321237,1.0
22,8.574548,1.1086892,1.140152,0.5761665,0.0,0.0,1.0,1.7225882,6.8457294,0.69226295,0.098710835,1.7215419,1.0
23,8.644461,1.045716,1.0537964,0.55961245,0.0,0.0,1.0,1.5613186,6.1285424,0.33553237,0.12459269,2.1729279,1.0
24,9.454602,1.1876824,1.1796169,0.49829558,0.0,0.0,1.0,1.5255214,7.745365,0.25634834,0.09349123,1.6305106,1.0
25,7.608734,1.0511053,1.0262474,0.9877459,0.0,0.0,1.0,1.4158305,6.189919,0.013710438,0.0948895,1.6548967,1.0
26,7.064337,1.0290356,1.0722524,0.9775938,0.0,0.0,1.0,1.382163,5.9385724,0.0,0.08839457,1.5416235,1.0
27,8.21873,1.0503608,0.8812414,0.5911501,0.0,0.0,1.0,1.4545962,6.181441,0.09946067,0.11133221,1.9416617,1.0
28,6.2512703,1.0174553,0.9697586,0.9929939,0.0,0.0,1.0,1.382163,5.806688,0.0,0.069881655,1.2187537,1.0
29,7.734436,0.99433273,1.0285007,0.50556165,0.0,0.0,1.0,1.3166014,5.5433497,0.0,0.1220926,2.1293256,1.0
30,8.199697,0.9921788,1.0463514,0.4920452,0.0,0.0,1.0,1.3166014,5.518819,0.0,0.13691975,2.387915,1.0
31,8.495016,0.9924958,1.1053172,0.53240526,0.0,0.0,1.0,1.5255214,5.522429,0.25634834,0.14552137,2.5379293,1.0
32,8.569234,0.9972221,1.1950848,0.4920452,0.0,0.0,1.0,1.483526,5.5762563,0.16345388,0.1452692,2.5335314,1.0
33,10.900065,1.1340531,1.225551,0.52267,0.0,0.0,1.0,1.5613186,7.1345935,0.33553237,0.14380145,2.5079336,1.0
34,12.168974,1.2184999,1.2456632,0.5201512,0.0,0.0,1.0,1.6477213,8.096339,0.5266563,0.13974597,2.4372048,1.0
