window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,16.0,7.4430146,7.4430146,0.0,0.0,0.0,1.0,100000.0,0.0,20.0,0.32179064,5.3084636,1.0
1,16.0,7.4440694,7.4440694,0.0,0.0,0.0,1.0,100000.0,0.0,20.0,0.33656406,5.5521755,1.0
2,16.0,7.462582,7.462582,0.0,0.0,0.0,1.0,100000.0,0.0,20.0,0.3757467,6.1985574,1.0
3,16.0,7.4931655,7.4931655,0.0,0.0,0.0,1.0,100000.0,0.0,20.0,0.35349765,5.831523,1.0
4,16.0,7.5087905,7.5087905,0.0,0.0,0.0,1.0,100000.0,0.0,20.0,0.3597948,5.9354043,1.0
5,16.0,7.525558,7.525558,0.0,0.0,0.0,1.0,100000.0,0.0,20.0,0.35964975,5.9330115,1.0
6,16.0,7.5241637,7.5241637,0.0,0.0,0.0,1.0,100000.0,0.0,20.0,0.40528393,6.6858225,1.0
7,16.0,7.521298,7.521298,0.0,0.0,0.0,1.0,100000.0,0.0,20.0,0.39594126,6.5316997,1.0
8,16.0,7.5300684,7.5300684,0.0,0.0,0.0,1.0,100000.0,0.0,20.0,0.3901325,6.4358745,1.0
9,16.0,7.5423355,7.5423355,0.0,0.0,0.0,1.0,100000.0,0.0,20.0,0.3802488,6.272827,1.0
10,0.0,7.5634522,7.5634522,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4152529,6.850277,1.0
11,0.0,7.579828,7.579828,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.40103045,6.615654,1.0
12,0.0,7.591198,7.591198,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.40156406,6.624457,1.0
13,0.0,7.6124315,7.6124315,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4022758,6.6361985,1.0
14,0.0,7.633623,7.633623,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4132182,6.816711,1.0
15,0.0,7.655608,7.655608,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.41656396,6.871905,1.0
16,0.0,7.672343,7.672343,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.41514048,6.848422,1.0
17,0.0,7.695247,7.695247,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4014029,6.621798,1.0
18,0.0,7.7099905,7.7099905,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42227876,6.96618,1.0
19,0.0,7.718756,7.718756,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.41253504,6.8054414,1.0
20,0.0,7.715933,7.715933,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4054601,6.6887283,1.0
21,0.0,7.710858,7.710858,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.40037116,6.6047783,1.0
22,0.0,7.71685,7.71685,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.40334678,6.653866,1.0
23,0.0,7.723298,7.723298,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3844184,6.3416114,1.0
24,0.0,7.7291756,7.7291756,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.396012,6.532867,1.0
25,0.0,7.7347097,7.7347097,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.41905245,6.9129567,1.0
26,0.0,7.743332,7.743332,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.44149998,7.2832656,1.0
27,0.0,7.748973,7.748973,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43063876,7.1040916,1.0
28,0.0,7.7658496,7.7658496,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4282369,7.0644693,1.0
29,0.0,7.7752514,7.7752514,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43523112,7.17985,1.0
30,0.0,7.7847066,7.7847066,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4359072,7.191004,1.0
31,0.0,7.7889385,7.7889385,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.45073742,7.4356523,1.0
32,0.0,7.7968144,7.7968144,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4212098,6.948546,1.0
33,0.0,7.806366,7.806366,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.46660104,7.6973486,1.0
34,0.0,7.8175025,7.8175025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42282057,6.9751177,1.0
35,0.0,7.829842,7.829842,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43462002,7.1697693,1.0
36,0.0,7.842864,7.842864,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42149773,6.9532957,1.0
37,0.0,7.853695,7.853695,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4227907,6.974625,1.0
38,0.0,7.8629293,7.8629293,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42134935,6.9508476,1.0
39,0.0,7.87206,7.87206,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4264049,7.0342474,1.0
40,0.0,7.8759375,7.8759375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4234169,6.984956,1.0
41,0.0,7.880563,7.880563,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43534833,7.1817837,1.0
42,0.0,7.8836274,7.8836274,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4179897,6.895425,1.0
43,0.0,7.885835,7.885835,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43567616,7.187192,1.0
44,0.0,7.8854423,7.8854423,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.44011086,7.2603498,1.0
45,0.0,7.879044,7.879044,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.44240823,7.2982483,1.0
46,0.0,7.863754,7.863754,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4365765,7.2020445,1.0
47,0.0,7.8611274,7.8611274,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.44052738,7.267221,1.0
48,0.0,7.863447,7.863447,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42932808,7.08247,1.0
49,0.0,7.8669043,7.8669043,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.41845146,6.9030423,1.0
50,0.0,7.869933,7.869933,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42885607,7.0746837,1.0
51,0.0,7.871327,7.871327,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43028432,7.0982447,1.0
52,0.0,7.8661017,7.8661017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42011952,6.9305596,1.0
53,0.0,7.867701,7.867701,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.42898875,7.0768723,1.0
