window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,0.53234065,0.24059686,0.24060632,6.1498366e-05,0.0,0.0,1.0,0.0,0.53234065,0.0,0.021711318,0.29712483,0.0
1,0.532324,0.2405896,0.24059902,0.0001483401,0.0,0.0,1.0,0.0,0.532324,0.0,0.024712825,0.33820122,0.0
2,0.53233814,0.24059576,0.2406241,0.00011797824,0.0,0.0,1.0,0.0,0.53233814,0.0,0.02605892,0.35662284,0.0
3,0.532455,0.24064673,0.24164313,0.06398202,0.0,0.0,1.0,0.0,0.532455,0.0,0.028434746,0.38913664,0.0
4,0.53245145,0.24064517,0.24186778,0.0010935685,0.0,0.0,1.0,0.0,0.53245145,0.0,0.027996687,0.3831417,0.0
5,0.53243345,0.24063732,0.2416118,0.0489427,0.0,0.0,1.0,0.0,0.53243345,0.0,0.02623295,0.3590045,0.0
6,0.53241533,0.24062943,0.24147518,0.00093631865,0.0,0.0,1.0,0.0,0.53241533,0.0,0.026792746,0.36666545,0.0
7,0.5323694,0.24060939,0.24062002,7.8748555e-05,0.0,0.0,1.0,0.0,0.5323694,0.0,0.026258698,0.35935685,0.0
8,0.5323379,0.24059565,0.24060607,4.981875e-05,0.0,0.0,1.0,0.0,0.5323379,0.0,0.025060141,0.3429543,0.0
9,0.53231335,0.24058495,0.24059524,4.0088693e-05,0.0,0.0,1.0,0.0,0.53231335,0.0,0.024470283,0.33488196,0.0
10,0.53229547,0.24057716,0.24058737,4.0088697e-05,0.0,0.0,1.0,0.0,0.53229547,0.0,0.024655474,0.33741635,0.0
11,0.53223294,0.24054989,0.24058096,0.00013418224,0.0,0.0,1.0,0.0,0.53223294,0.0,0.022682467,0.31041527,0.0
12,0.5322278,0.24054766,0.24057454,7.408353e-05,0.0,0.0,1.0,0.0,0.5322278,0.0,0.024644699,0.3372689,0.0
13,0.5322163,0.24054264,0.24056953,6.646613e-05,0.0,0.0,1.0,0.0,0.5322163,0.0,0.026242089,0.35912958,0.0
14,0.5322048,0.24053761,0.24056745,0.000117246855,0.0,0.0,1.0,0.0,0.5322048,0.0,0.025740461,0.35226467,0.0
15,0.5321932,0.24053253,0.24056831,0.00015045128,0.0,0.0,1.0,0.0,0.5321932,0.0,0.027539797,0.37688902,0.0
16,0.5321815,0.24052744,0.2405632,0.00015045128,0.0,0.0,1.0,0.0,0.5321815,0.0,0.027548185,0.37700382,0.0
17,0.5321697,0.2405223,0.24055806,0.00015045128,0.0,0.0,1.0,0.0,0.5321697,0.0,0.027554255,0.37708688,0.0
18,0.5321578,0.24051711,0.24055289,0.00015045128,0.0,0.0,1.0,0.0,0.5321578,0.0,0.027552165,0.3770583,0.0
19,0.5321467,0.24051225,0.24054803,0.00015045128,0.0,0.0,1.0,0.0,0.5321467,0.0,0.027544642,0.37695533,0.0
20,0.5321362,0.24050769,0.24054347,0.00015045128,0.0,0.0,1.0,0.0,0.5321362,0.0,0.02754622,0.37697694,0.0
21,0.5321265,0.24050346,0.24053922,0.00015045128,0.0,0.0,1.0,0.0,0.5321265,0.0,0.02754482,0.37695777,0.0
22,0.5321175,0.24049953,0.2405353,0.00015045128,0.0,0.0,1.0,0.0,0.5321175,0.0,0.027535038,0.3768239,0.0
23,0.5321092,0.2404959,0.24053168,0.00015045128,0.0,0.0,1.0,0.0,0.5321092,0.0,0.027528502,0.37673447,0.0
24,0.5321017,0.24049263,0.24052839,0.00015045128,0.0,0.0,1.0,0.0,0.5321017,0.0,0.02752774,0.37672403,0.0
25,0.5320948,0.24048963,0.24052541,0.00015045128,0.0,0.0,1.0,0.0,0.5320948,0.0,0.027529275,0.37674505,0.0
26,0.5320887,0.24048696,0.24052274,0.00015045128,0.0,0.0,1.0,0.0,0.5320887,0.0,0.027529767,0.37675175,0.0
27,0.53208333,0.24048464,0.24052042,0.00015045128,0.0,0.0,1.0,0.0,0.53208333,0.0,0.027525906,0.3766989,0.0
28,0.5320788,0.24048264,0.2405184,0.00015045128,0.0,0.0,1.0,0.0,0.5320788,0.0,0.02753191,0.3767811,0.0
29,0.5320749,0.24048096,0.24051675,0.00015045128,0.0,0.0,1.0,0.0,0.5320749,0.0,0.027536537,0.37684444,0.0
30,0.5320718,0.24047962,0.2405154,0.00015045128,0.0,0.0,1.0,0.0,0.5320718,0.0,0.027538434,0.37687036,0.0
31,0.5320695,0.2404786,0.24051438,0.00015045128,0.0,0.0,1.0,0.0,0.5320695,0.0,0.02754023,0.37689495,0.0
32,0.532068,0.24047795,0.24051371,0.00015045128,0.0,0.0,1.0,0.0,0.532068,0.0,0.02754479,0.3769574,0.0
33,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02754621,0.3769768,0.0
34,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027546195,0.37697658,0.0
35,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027548557,0.37700891,0.0
36,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027547712,0.37699735,0.0
37,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027543908,0.3769453,0.0
38,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027540863,0.37690362,0.0
39,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027541433,0.3769114,0.0
40,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027539423,0.3768839,0.0
41,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027540432,0.37689772,0.0
42,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027540902,0.37690416,0.0
43,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02754134,0.37691015,0.0
44,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027541582,0.37691346,0.0
45,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027540827,0.37690312,0.0
46,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02753945,0.37688428,0.0
47,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027540237,0.37689504,0.0
48,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027540179,0.37689427,0.0
49,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.0275408,0.37690276,0.0
50,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027541852,0.37691715,0.0
51,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027541481,0.3769121,0.0
52,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027542738,0.37692928,0.0
53,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027543463,0.3769392,0.0
54,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027541548,0.37691298,0.0
55,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027541772,0.37691605,0.0
56,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02754489,0.37695873,0.0
57,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027545268,0.37696388,0.0
58,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027544195,0.37694922,0.0
59,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027553022,0.37707,0.0
60,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027549816,0.37702614,0.0
61,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027562,0.37719288,0.0
62,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02755331,0.37707397,0.0
63,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027557453,0.37713066,0.0
64,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027548883,0.3770134,0.0
65,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027552031,0.37705645,0.0
66,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027554236,0.37708664,0.0
67,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027558187,0.3771407,0.0
68,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02756075,0.37717578,0.0
69,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027558377,0.3771433,0.0
70,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02755976,0.37716222,0.0
71,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027559536,0.37715915,0.0
72,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027558794,0.37714902,0.0
73,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027557217,0.3771274,0.0
74,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027551487,0.377049,0.0
75,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02755727,0.37712815,0.0
76,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027561057,0.37717998,0.0
77,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02757254,0.37733713,0.0
78,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027577057,0.37739894,0.0
79,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027573776,0.37735403,0.0
80,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027573848,0.37735504,0.0
81,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027576193,0.3773871,0.0
82,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027583811,0.37749138,0.0
83,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02756838,0.37728018,0.0
84,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027568908,0.37728742,0.0
85,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02756605,0.3772483,0.0
86,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027570445,0.37730846,0.0
87,0.5320672,0.24047759,0.24051039,0.00013319921,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027517477,0.37658358,0.0
88,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027519813,0.37661555,0.0
89,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027404383,0.37503585,0.0
90,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027423494,0.3752974,0.0
91,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027510645,0.3764901,0.0
92,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027517786,0.3765878,0.0
93,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027537916,0.37686327,0.0
94,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027552618,0.3770645,0.0
95,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027595913,0.377657,0.0
96,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.0275984,0.37769103,0.0
97,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027834726,0.3809252,0.0
98,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027838562,0.3809777,0.0
99,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027834618,0.38092375,0.0
100,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027807489,0.38055247,0.0
101,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027646914,0.37835497,0.0
102,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027650144,0.37839916,0.0
103,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027607242,0.37781203,0.0
104,0.5320672,0.24047759,0.24051039,0.00013319921,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027554158,0.37708557,0.0
105,0.5320672,0.24047759,0.24051039,0.00013319921,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027659649,0.37852922,0.0
106,0.5320672,0.24047759,0.24051039,0.00013319921,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027698476,0.3790606,0.0
107,0.5320672,0.24047759,0.24051039,0.00013319921,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027736166,0.37957639,0.0
108,0.5320672,0.24047759,0.24051039,0.00013319921,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02778647,0.3802648,0.0
109,0.5320672,0.24047759,0.24051039,0.00013319921,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027749276,0.3797558,0.0
110,0.5320672,0.24047759,0.24051039,0.00013319921,0.0,0.0,1.0,0.0,0.5320672,0.0,0.0277691,0.3800271,0.0
111,0.5320672,0.24047759,0.24051039,0.00013319921,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027889665,0.38167706,0.0
112,0.5320672,0.24047759,0.24051039,0.00013319921,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027795238,0.3803848,0.0
113,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02848448,0.38981727,0.0
114,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.028477289,0.38971883,0.0
115,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.028522706,0.3903404,0.0
116,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.028555108,0.39078382,0.0
117,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02857921,0.39111367,0.0
118,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.028561225,0.39086753,0.0
119,0.5320672,0.24047759,0.24051337,0.00015045128,0.0,0.0,1.0,0.0,0.5320672,0.0,0.028239843,0.38646933,0.0
120,0.5320672,0.24047759,0.24051787,0.00014521448,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02811964,0.38482434,0.0
121,0.5320672,0.24047759,0.24051787,0.00014521448,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02829763,0.38726014,0.0
122,0.5320672,0.24047759,0.24051787,0.00014521448,0.0,0.0,1.0,0.0,0.5320672,0.0,0.028338563,0.38782033,0.0
123,0.5320672,0.24047759,0.24051787,0.00014521448,0.0,0.0,1.0,0.0,0.5320672,0.0,0.028338104,0.38781407,0.0
124,0.5320672,0.24047759,0.24051787,0.00014521448,0.0,0.0,1.0,0.0,0.5320672,0.0,0.02840005,0.3886618,0.0
125,0.5320672,0.24047759,0.24051787,0.00014521448,0.0,0.0,1.0,0.0,0.5320672,0.0,0.028183714,0.38570118,0.0
126,0.5320672,0.24047759,0.240526,0.044586204,0.0,0.0,1.0,0.0,0.5320672,0.0,0.027964853,0.38270602,0.0
127,0.5320672,0.24047759,0.24053162,0.0018104021,0.0,0.0,1.0,0.0,0.5320672,0.0,0.028327366,0.38766712,0.0
128,0.5320672,0.24047759,0.24054426,0.04582735,0.0,0.0,1.0,0.0,0.5320672,0.0,0.028050812,0.3838824,0.0
129,0.5322312,0.24054913,0.24380237,0.046690345,0.0,0.0,1.0,0.0,0.5322312,0.0,0.027972335,0.38280842,0.0
130,0.5322312,0.24054913,0.24380237,0.046690345,0.0,0.0,1.0,0.0,0.5322312,0.0,0.028175667,0.38559106,0.0
131,0.5322312,0.24054913,0.24339567,0.060270738,0.0,0.0,1.0,0.0,0.5322312,0.0,0.028082198,0.3843119,0.0
132,0.5322312,0.24054913,0.24339567,0.060270738,0.0,0.0,1.0,0.0,0.5322312,0.0,0.027882285,0.38157606,0.0
133,0.5322312,0.24054913,0.24339567,0.060270738,0.0,0.0,1.0,0.0,0.5322312,0.0,0.027888851,0.38166592,0.0
134,0.5322312,0.24054913,0.24339567,0.060270738,0.0,0.0,1.0,0.0,0.5322312,0.0,0.027077332,0.37056008,0.0
135,0.5322312,0.24054913,0.24339567,0.060270738,0.0,0.0,1.0,0.0,0.5322312,0.0,0.025832681,0.3535267,0.0
136,0.5322312,0.24054913,0.24339567,0.060270738,0.0,0.0,1.0,0.0,0.5322312,0.0,0.02604203,0.3563917,0.0
137,0.5322312,0.24054913,0.24440604,0.002769685,0.0,0.0,1.0,0.0,0.5322312,0.0,0.028111022,0.38470638,0.0
138,0.53223866,0.24055238,0.24475923,0.0029398785,0.0,0.0,1.0,0.0,0.53223866,0.0,0.02778846,0.38029206,0.0
139,0.5322461,0.24055563,0.24475926,0.0027833458,0.0,0.0,1.0,0.0,0.5322461,0.0,0.028315326,0.38750234,0.0
140,0.5322461,0.24055563,0.24475926,0.0027833458,0.0,0.0,1.0,0.0,0.5322461,0.0,0.028625133,0.3917421,0.0
141,0.5320672,0.24047759,0.24362203,0.05971687,0.0,0.0,1.0,0.0,0.5320672,0.0,0.03742769,0.5122073,0.0
142,0.5320672,0.24047759,0.24362203,0.05971687,0.0,0.0,1.0,0.0,0.5320672,0.0,0.03739218,0.5117214,0.0
143,0.5320672,0.24047759,0.24362203,0.05971687,0.0,0.0,1.0,0.0,0.5320672,0.0,0.03738095,0.51156765,0.0
144,0.5320672,0.24047759,0.24362203,0.05971687,0.0,0.0,1.0,0.0,0.5320672,0.0,0.037242316,0.50967044,0.0
145,0.5320672,0.24047759,0.24388036,0.066639654,0.0,0.0,1.0,0.0,0.5320672,0.0,0.036802027,0.503645,0.0
146,0.5320672,0.24047759,0.2430299,0.05988602,0.0,0.0,1.0,0.0,0.5320672,0.0,0.035069223,0.47993112,0.0
147,0.5320672,0.24047759,0.2432692,0.06001323,0.0,0.0,1.0,0.0,0.5320672,0.0,0.03515511,0.4811065,0.0
148,0.5320672,0.24047759,0.24406229,0.00237676,0.0,0.0,1.0,0.0,0.5320672,0.0,0.035145085,0.4809693,0.0
149,0.53223866,0.24055238,0.24475928,0.0020097166,0.0,0.0,1.0,0.0,0.53223866,0.0,0.03437207,0.47039038,0.0
150,0.5322312,0.24054913,0.47406518,0.04461396,0.0,0.0,1.0,0.0,0.5322312,0.0,0.03629189,0.49666363,0.0
151,0.5322461,0.24055563,0.4735272,0.071238406,0.0,0.0,1.0,0.0,0.5322461,0.0,0.027908865,0.38193983,0.0
152,0.5322461,0.24055563,0.24424487,0.05076745,0.0,0.0,1.0,0.0,0.5322461,0.0,0.027855035,0.38120314,0.0
153,0.532202,0.24053638,0.2422268,0.049928043,0.0,0.0,1.0,0.0,0.532202,0.0,0.031146722,0.4262507,0.0
154,0.532202,0.24053638,0.2422268,0.049928043,0.0,0.0,1.0,0.0,0.532202,0.0,0.029957326,0.40997353,0.0
155,0.5322092,0.24053954,0.4752006,0.0753531,0.0,0.0,1.0,0.0,0.5322092,0.0,0.03277898,0.44858855,0.0
156,0.53221655,0.24054272,0.47229877,0.0816768,0.0,0.0,1.0,0.0,0.53221655,0.0,0.028386312,0.3884738,0.0
157,0.532202,0.24053638,0.24085392,0.07234134,0.0,0.0,1.0,0.0,0.532202,0.0,0.021997722,0.30104434,0.0
158,0.5322461,0.24055563,0.48014075,0.06370482,0.0,0.0,1.0,0.0,0.5322461,0.0,0.017670268,0.24182205,0.0
159,0.5322312,0.24054913,0.47809228,0.07014937,0.0,0.0,1.0,0.0,0.5322312,0.0,0.019962497,0.27319178,0.0
160,0.5320672,0.24047759,0.35565755,0.07498086,0.0,0.0,1.0,0.0,0.5320672,0.0,0.019749325,0.27027446,0.0
161,0.532202,0.24053638,0.24082306,0.0009008158,0.0,0.0,1.0,0.0,0.532202,0.0,0.04151348,0.5681224,0.0
162,0.5322858,0.24057294,0.24076796,0.06372205,0.0,0.0,1.0,0.0,0.5322858,0.0,0.03765292,0.51528966,0.0
163,0.53219485,0.24053326,0.4788904,0.048171636,0.0,0.0,1.0,0.0,0.53219485,0.0,0.040079713,0.5485009,0.0
164,0.53218055,0.24052703,0.24666539,0.019298883,0.0,0.0,1.0,0.0,0.53218055,0.0,0.03548032,0.48555708,0.0
165,0.53192204,0.24041429,0.48476094,0.65058756,0.0,0.0,1.0,0.0,0.53192204,0.0,0.037737772,0.5164509,0.0
166,0.5319262,0.24041611,0.24326396,0.14021051,0.0,0.0,1.0,0.0,0.5319262,0.0,0.053341605,0.7299932,0.0
167,0.5319262,0.24041611,0.24410647,0.4444524,0.0,0.0,1.0,0.0,0.5319262,0.0,0.07126693,0.9753058,0.0
168,3.282175,1.4398857,1.0695101,0.6244899,0.0,0.0,1.0,0.0,3.282175,0.0,0.03396319,0.46479475,0.0
169,3.469712,1.5216764,1.1032624,0.5949758,0.0,0.0,1.0,0.0,3.469712,0.0,0.030823955,0.42183357,0.0
170,3.469712,1.5216764,1.1032624,0.5949758,0.0,0.0,1.0,0.0,3.469712,0.0,0.031178681,0.42668808,0.0
171,3.469712,1.5216764,1.1032624,0.5949758,0.0,0.0,1.0,0.0,3.469712,0.0,0.030137215,0.41243535,0.0
172,3.469712,1.5216764,1.1032624,0.5949758,0.0,0.0,1.0,0.0,3.469712,0.0,0.026046397,0.35645148,0.0
173,3.469712,1.5216764,1.1032624,0.5949758,0.0,0.0,1.0,0.0,3.469712,0.0,0.030925626,0.42322496,0.0
174,3.469712,1.5216764,1.1032624,0.5949758,0.0,0.0,1.0,0.0,3.469712,0.0,0.03147866,0.43079334,0.0
175,3.282175,1.4398857,1.0821918,0.6202105,0.0,0.0,1.0,0.0,3.282175,0.0,0.037326112,0.5108172,0.0
