window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,1.5378575,0.9831271,0.88199604,0.4476169,0.0,0.0,1.0,3.7485414,1.4920955,0.00018859288,0.077493295,1.0876278,1.0
1,1.2706405,0.87070924,0.6074675,0.59030133,0.0,0.0,1.0,3.6024566,1.227239,0.00017615022,0.07844912,1.101043,1.0
2,1.2743416,0.8792365,0.7193402,0.44166622,0.0,0.0,1.0,3.6024566,1.2473294,0.00017615022,0.07565837,1.0618745,1.0
3,1.2958761,0.8966099,0.7333177,0.4461922,0.0,0.0,1.0,3.6022863,1.2882609,0.00017613573,0.07245319,1.0168893,1.0
4,1.3354021,0.9166189,0.7357077,0.4461922,0.0,0.0,1.0,3.602088,1.3354021,0.00017611883,0.06728509,0.9443544,0.0
5,1.3642929,0.9288815,0.9241765,0.3903749,0.0,0.0,1.0,3.120524,1.3642929,0.00013510199,0.062475447,0.8768505,0.0
6,1.2796013,0.8929343,0.9188238,0.33245486,0.0,0.0,1.0,2.5693948,1.2796013,8.816001e-05,0.067324586,0.94490874,0.0
7,1.4064338,0.9224194,0.98609704,0.3206447,0.0,0.0,1.0,2.338924,1.3490682,6.8529844e-05,0.07990615,1.1214925,1.0
8,1.4099265,0.92435765,0.9166639,0.6287515,0.0,0.0,1.0,1.771181,1.3536347,2.017279e-05,0.07971546,1.1188161,1.0
9,1.5334628,0.93348086,0.84882873,0.6752467,0.0,0.0,1.0,1.5690475,1.375129,2.9562282e-06,0.09468919,1.3289742,1.0
10,1.8538113,1.1343229,1.0314623,0.6596381,0.0,0.0,1.0,1.3013318,1.8483126,0.0,0.07185544,1.0084999,1.0
11,1.2823863,0.88117635,0.7584317,0.7386368,0.0,0.0,1.0,1.1125709,1.2518996,0.0,0.07620725,1.069578,1.0
12,0.9947368,0.769682,0.77473456,0.63930833,0.0,0.0,1.0,1.037027,0.9892189,0.0,0.07238534,1.0159371,1.0
13,0.983918,0.76743203,0.72724265,0.35025588,0.0,0.0,1.0,1.1125709,0.983918,0.0,0.0628225,0.88172144,0.0
14,1.0415303,0.79188544,0.7680169,0.3335837,0.0,0.0,1.0,1.3013318,1.0415303,0.0,0.06714307,0.9423611,0.0
15,1.0990458,0.8162978,0.7721724,0.38774493,0.0,0.0,1.0,1.5625677,1.0990458,2.4043213e-06,0.07124261,0.9998987,0.0
16,1.1596559,0.83246964,0.8137222,0.49102783,0.0,0.0,1.0,1.8850207,1.1371466,2.9869e-05,0.07527942,1.0565559,1.0
17,1.5499647,0.9953258,0.9113423,0.41225168,0.0,0.0,1.0,2.2075546,1.5208355,5.7340563e-05,0.0751489,1.054724,1.0
18,1.3207059,0.90465844,0.815867,0.5966704,0.0,0.0,1.0,2.4279783,1.3072233,7.611497e-05,0.07334943,1.0294682,1.0
19,1.4686712,0.94574785,0.941269,0.4973421,0.0,0.0,1.0,2.4279783,1.40403,7.611497e-05,0.08062219,1.1315422,1.0
20,1.4692948,0.94756156,0.95112276,0.053159434,0.0,0.0,1.0,2.4279783,1.408303,7.611497e-05,0.08006622,1.1237391,1.0
21,1.3967401,0.94265366,0.94823444,0.053159434,0.0,0.0,1.0,2.4279783,1.3967401,7.611497e-05,0.056346357,0.790828,0.0
22,1.3725789,0.9323985,0.9398018,0.053159434,0.0,0.0,1.0,2.4279783,1.3725789,7.611497e-05,0.060690973,0.8518052,0.0
23,1.3698705,0.93124896,0.9178402,0.40131187,0.0,0.0,1.0,2.4279783,1.3698705,7.611497e-05,0.06441329,0.9040483,0.0
24,1.8135206,1.1195555,1.1743711,0.42136997,0.0,0.0,1.0,2.4279783,1.8135206,7.611497e-05,0.060768835,0.852898,0.0
25,1.8223162,1.1232888,1.2060997,0.36699054,0.0,0.0,1.0,1.8947264,1.8223162,3.069567e-05,0.055955872,0.78534746,0.0
26,1.9430307,1.1745259,1.248864,0.36699054,0.0,0.0,1.0,1.6422312,1.9430307,9.189597e-06,0.067386456,0.9457771,0.0
27,1.2500819,0.88040483,0.983353,0.53468466,0.0,0.0,1.0,1.6665317,1.2500819,1.125937e-05,0.052672647,0.739267,0.0
28,1.2113382,0.86396015,0.9867147,0.5262773,0.0,0.0,1.0,1.3931552,1.2113382,0.0,0.06218164,0.8727269,0.0
29,1.1690689,0.846019,0.9802993,0.50715655,0.0,0.0,1.0,1.195622,1.1690689,0.0,0.06303446,0.8846963,0.0
30,1.1628995,0.8434004,0.86241657,0.40004528,0.0,0.0,1.0,1.1434091,1.1628995,0.0,0.06430699,0.9025564,0.0
31,1.4943361,0.98407817,1.0678983,0.40078163,0.0,0.0,1.0,1.1438642,1.4943361,0.0,0.06885399,0.9663741,0.0
32,1.3276852,0.9064559,0.9899812,0.381435,0.0,0.0,1.0,1.1734991,1.3114581,0.0,0.073768675,1.0353523,1.0
33,1.2875966,0.87317246,1.0582739,0.44427648,0.0,0.0,1.0,1.1734991,1.2330424,0.0,0.080256544,1.1264104,1.0
34,1.5919365,0.99032754,1.0871139,0.5085168,0.0,0.0,1.0,1.2152692,1.5090597,0.0,0.08242983,1.1569127,1.0
35,1.5548822,1.0097768,1.1683238,0.47345725,0.0,0.0,1.0,1.2699343,1.5548822,0.0,0.07046354,0.9889643,0.0
36,1.6201589,1.0374835,1.1537306,0.45724988,0.0,0.0,1.0,1.3169636,1.6201589,0.0,0.062274862,0.87403524,0.0
37,1.6558182,1.052619,0.98670363,0.57534754,0.0,0.0,1.0,1.3183429,1.6558182,0.0,0.06436874,0.9034231,0.0
38,1.649112,1.0497725,1.1010015,0.59888244,0.0,0.0,1.0,1.3709723,1.649112,0.0,0.069123164,0.970152,0.0
39,1.6690716,1.0309072,1.1507672,0.45724988,0.0,0.0,1.0,1.4358953,1.6046652,0.0,0.07942053,1.1146768,1.0
40,1.5637273,1.0052254,1.0305969,0.34140557,0.0,0.0,1.0,1.3191321,1.544159,0.0,0.07382957,1.036207,1.0
41,1.5789909,1.0200098,1.073058,0.36126688,0.0,0.0,1.0,1.1188295,1.5789909,0.0,0.06417883,0.90075773,0.0
42,1.4539763,0.9669475,1.046858,0.6149477,0.0,0.0,1.0,1.1334233,1.4539763,0.0,0.06545815,0.9187131,0.0
43,2.0968611,1.2398189,1.278664,0.38878515,0.0,0.0,1.0,1.1968919,2.0968611,0.0,0.052619163,0.73851633,0.0
44,1.0366054,0.7897951,1.2081922,0.51505804,0.0,0.0,1.0,1.2937225,1.0366054,0.0,0.04892396,0.68665373,0.0
45,0.90784353,0.73514235,1.2027892,0.53125983,0.0,0.0,1.0,1.4052894,0.90784353,0.0,0.05475377,0.76847583,0.0
46,1.9030738,1.1575662,1.2190441,0.5913488,0.0,0.0,1.0,1.5429809,1.9030738,7.3603127e-07,0.060286537,0.8461289,0.0
47,0.55617326,0.58587646,1.1258721,0.48947507,0.0,0.0,1.0,1.6414396,0.55617326,9.122168e-06,0.057375897,0.8052777,0.0
48,1.5335494,1.0007222,1.1781826,0.4071671,0.0,0.0,1.0,1.6414396,1.5335494,9.122168e-06,0.06348316,0.89099395,0.0
49,2.0567782,1.2228057,1.2934487,0.518031,0.0,0.0,1.0,1.5428375,2.0567782,7.238165e-07,0.068683654,0.9639834,0.0
50,1.9903054,1.1945915,1.2690237,0.3210523,0.0,0.0,1.0,1.4052894,1.9903054,0.0,0.06823255,0.95765215,0.0
51,2.0896072,1.2103387,1.2537372,0.3210523,0.0,0.0,1.0,1.2942035,2.0274057,0.0,0.07749545,1.087658,1.0
52,0.20629431,0.43106955,0.853221,0.7780193,0.0,0.0,1.0,1.2223449,0.19144827,0.0,0.08703595,1.2215601,1.0
53,0.13590567,0.40748423,0.9776035,0.5519775,0.0,0.0,1.0,1.1278476,0.13588127,0.0,0.07128639,1.0005131,1.0
54,0.13638212,0.4076968,1.0890561,0.5745041,0.0,0.0,1.0,1.012998,0.13638212,0.0,0.059301652,0.8323059,0.0
55,0.12057514,0.40098757,1.0302018,0.5449937,0.0,0.0,1.0,1.0494452,0.12057514,0.0,0.06368398,0.8938124,0.0
56,0.12063197,0.3998479,1.0143192,0.45724985,0.0,0.0,1.0,1.0542978,0.117890075,0.0,0.07598449,1.0664515,1.0
57,0.1407553,0.40613362,0.6577161,0.4858744,0.0,0.0,1.0,0.8950965,0.13269924,0.0,0.08360844,1.1734546,1.0
58,0.22698578,0.43854517,0.40364942,0.5363911,0.0,0.0,1.0,0.77665174,0.20906082,0.0,0.08870409,1.2449727,1.0
59,0.23367369,0.44678724,1.0841103,0.4198726,0.0,0.0,1.0,0.7491484,0.22847913,0.0,0.07587808,1.0649581,1.0
60,1.8299417,1.1265254,1.1609297,0.19864322,0.0,0.0,1.0,0.71690094,1.8299417,0.0,0.06806698,0.9553283,0.0
61,1.8683245,1.1428169,1.1775054,0.19864322,0.0,0.0,1.0,0.70456755,1.8683245,0.0,0.06566348,0.9215949,0.0
62,0.6440742,0.6231859,0.9817827,0.47116363,0.0,0.0,1.0,0.6871274,0.6440742,0.0,0.066801995,0.93757415,0.0
63,0.8414628,0.70617366,0.9792418,0.49996388,0.0,0.0,1.0,0.6871274,0.83959335,0.0,0.071703106,1.0063618,1.0
64,0.9285271,0.74392146,1.013244,0.47116363,0.0,0.0,1.0,0.67516696,0.9285271,0.0,0.058951654,0.82739365,0.0
65,1.053568,0.79699486,1.014449,0.4891225,0.0,0.0,1.0,0.7742333,1.053568,0.0,0.061739933,0.86652744,0.0
66,1.1973171,0.8580089,1.0438688,0.47116363,0.0,0.0,1.0,1.0490441,1.1973171,0.0,0.06419763,0.90102154,0.0
67,1.2985042,0.90095764,0.9086848,0.5203399,0.0,0.0,1.0,1.3302245,1.2985042,0.0,0.06143129,0.8621956,0.0
68,1.4575464,0.9684628,1.0701596,0.52544016,0.0,0.0,1.0,1.6657288,1.4575464,1.1190985e-05,0.063268825,0.88798565,0.0
69,1.6140056,1.0211184,1.1541688,0.43753192,0.0,0.0,1.0,1.8187245,1.5816029,2.4222272e-05,0.075420424,1.0585349,1.0
70,1.6477431,1.0443901,1.0704286,0.49991915,0.0,0.0,1.0,2.1068745,1.636431,4.8765214e-05,0.07265706,1.0197507,1.0
71,1.4589843,0.9690731,1.0199323,0.52197266,0.0,0.0,1.0,2.64361,1.4589843,9.4481235e-05,0.059720885,0.8381899,0.0
72,1.4040571,0.9457594,1.0101349,0.52197266,0.0,0.0,1.0,3.2258134,1.4040571,0.00014406994,0.059725825,0.8382592,0.0
73,0.4092637,0.52352095,0.55865127,0.34248945,0.0,0.0,1.0,3.6037538,0.4092637,0.00017626071,0.06125149,0.8596721,0.0
74,0.44039312,0.5367117,0.5677059,0.40271312,0.0,0.0,1.0,3.603953,0.4403411,0.00017627767,0.071273886,1.0003376,1.0
75,0.45703086,0.54039526,0.65344197,0.5377506,0.0,0.0,1.0,3.604123,0.44901955,0.00017629217,0.074881904,1.0509766,1.0
76,0.8576643,0.7102917,0.90312976,0.49607983,0.0,0.0,1.0,3.6042933,0.8492954,0.00017630667,0.07325579,1.028154,1.0
77,0.5672199,0.5905652,0.6189689,0.5786165,0.0,0.0,1.0,3.6042933,0.5672199,0.00017630667,0.069481984,0.9751881,0.0
78,0.44274536,0.5377322,0.79960954,0.52250636,0.0,0.0,1.0,3.6042933,0.44274536,0.00017630667,0.06752665,0.9477448,0.0
79,1.4961662,0.98485494,0.97276497,0.19864322,0.0,0.0,1.0,3.6042933,1.4961662,0.00017630667,0.051790692,0.72688866,0.0
80,1.5371289,1.0022415,0.99959695,0.19864322,0.0,0.0,1.0,3.604123,1.5371289,0.00017629217,0.043631107,0.61236787,0.0
81,1.6054951,1.0312594,1.055559,0.2165194,0.0,0.0,1.0,3.6037538,1.6054951,0.00017626071,0.059014082,0.82826984,0.0
82,0.7012154,0.64743936,1.2177707,0.52336776,0.0,0.0,1.0,3.2258134,0.7012154,0.00014406994,0.06971258,0.97842455,0.0
83,0.7046354,0.648891,0.930923,0.5355045,0.0,0.0,1.0,3.2258134,0.7046354,0.00014406994,0.06718868,0.9430013,0.0
84,0.78734815,0.6839983,0.6047241,0.48725381,0.0,0.0,1.0,2.405623,0.78734815,7.4210875e-05,0.06008937,0.8433616,0.0
85,0.584594,0.5979396,0.6935407,0.5075545,0.0,0.0,1.0,2.0297127,0.584594,4.219302e-05,0.05617023,0.788356,0.0
86,0.17325886,0.42334908,0.50650465,0.3896046,0.0,0.0,1.0,1.5310796,0.17325886,0.0,0.058617715,0.82270676,0.0
