window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,10.31139,1.267172,1.3223182,0.37788886,2.0135615,6.0665812,0.0,0.1948219,2.9991531,1.0
1,11.492284,1.3533977,1.3953295,0.37788886,2.0135615,6.7601666,0.0,0.19585557,3.015066,1.0
2,12.076343,1.4120083,1.4535621,0.3057006,2.0135615,7.23162,0.0,0.18929712,2.914103,1.0
3,12.976666,1.4775996,1.5259854,0.3057006,1.9876215,7.759226,0.0,0.1897577,2.9211934,1.0
4,15.170889,1.6512938,1.6105986,0.3037937,1.6417292,9.156392,0.0,0.18687083,2.876752,1.0
5,14.8662815,1.6283151,1.6542399,0.37788886,1.6417292,8.971556,0.0,0.18690479,2.8772745,1.0
6,16.398354,1.7121725,1.6367166,0.5327973,1.7674441,9.6460905,0.0,0.19835724,3.0535774,1.0
7,16.247688,1.7011546,1.6415019,0.71260023,1.7446245,9.557464,0.0,0.20162806,3.1039295,1.0
8,15.704618,1.6614405,1.5780799,0.58862406,1.6677436,9.23801,0.0,0.21963029,3.3810618,1.0
9,14.770911,1.5931597,1.6278768,0.31709656,1.1732173,8.688771,0.0,0.21961005,3.3807504,1.0
10,12.10452,1.435942,1.5943357,0.29442808,1.3185081,7.424139,0.0,0.18196443,2.8012211,1.0
11,21.401201,2.0916872,2.075417,0.33454713,1.3185081,12.698843,0.0,0.1921463,2.9579642,1.0
12,21.186327,2.062311,2.046227,0.607804,1.4787456,12.462544,0.0,0.20301183,3.1252317,1.0
13,14.538806,1.5761861,1.964891,0.82715493,1.7451303,8.552238,0.0,0.21311145,3.2807086,1.0
14,20.510397,2.012881,2.0173452,0.33875465,1.7451303,12.0649395,0.0,0.20259842,3.1188676,1.0
15,20.523474,2.0138373,2.011716,0.33006135,1.7451303,12.072631,0.0,0.21896987,3.3708951,1.0
16,12.848139,1.4525497,1.4155939,0.32613465,1.7451303,7.5577283,0.0,0.21045262,3.2397778,1.0
17,12.536316,1.4297465,1.4075594,0.74073935,1.7451303,7.3743033,0.0,0.20968586,3.2279742,1.0
18,12.61094,1.4352037,1.4067444,0.4100419,1.7451303,7.4181995,0.0,0.21704665,3.3412886,1.0
19,12.439426,1.4226611,1.4064215,0.27413595,1.7451303,7.3173094,0.0,0.21523371,3.3133795,1.0
20,11.978091,1.3889242,1.3705373,0.28394988,1.7451303,7.0459356,0.0,0.21491505,3.308474,1.0
21,11.137728,1.3428005,1.3508749,0.28144112,1.7451303,6.6749244,0.0,0.18904772,2.9102638,1.0
22,11.272311,1.3611742,1.3482854,0.30591986,2.542775,6.8227196,0.6426473,0.1860003,2.8633506,1.0
23,10.851044,1.3345913,1.3204538,0.30591986,2.542775,6.6088905,0.6426473,0.18409106,2.833959,1.0
24,11.947908,1.4077716,1.4330798,0.26684773,2.542775,7.1975408,0.6426473,0.1874528,2.8857107,1.0
25,10.895741,1.3801463,1.4164901,0.26684773,2.8888123,6.9753275,1.0984149,0.16927195,2.6058288,1.0
26,10.595032,1.3167123,1.341483,0.26684773,2.8888123,6.465075,1.0984149,0.18352029,2.8251724,1.0
27,11.133491,1.3393914,1.3701154,0.32613465,2.8888123,6.6475015,1.0984149,0.19020696,2.9281094,1.0
28,10.372338,1.3086356,1.2898985,0.26684773,2.8888123,6.4001074,1.0984149,0.1801499,2.7732875,1.0
29,9.4745865,1.2058461,1.3194753,0.4100419,2.8888123,5.573286,1.0984149,0.20378967,3.137206,1.0
30,10.466874,1.2784108,1.2687534,0.28394988,2.8888123,6.1569843,1.0984149,0.20992672,3.231682,1.0
31,9.892443,1.2364033,1.2162181,0.4848512,2.8888123,5.8190837,1.0984149,0.20504954,3.156601,1.0
32,9.3174,1.1995101,1.1932846,0.4100419,5.1031337,5.5223203,4.014909,0.192506,2.9635015,1.0
33,9.054944,1.190734,1.1672045,0.30511647,2.2143216,5.4517274,0.2100398,0.18762586,2.888375,1.0
34,7.776362,1.081657,1.0406986,0.34475058,2.2143216,4.5743303,0.2100398,0.1984554,3.0550885,1.0
35,6.6107078,0.99641424,1.0089267,0.49278072,2.2143216,3.8886516,0.2100398,0.20317587,3.127757,1.0
36,7.33862,1.0496455,0.9830169,0.52487475,2.2143216,4.3168354,0.2100398,0.1951806,3.0046751,1.0
37,6.120281,0.9635537,0.99040973,0.53291386,2.2143216,3.6243272,0.2100398,0.1927735,2.9676197,1.0
38,7.8880763,1.0898266,1.0956323,0.4848512,2.2191198,4.6400447,0.2163595,0.20164312,3.1041615,1.0
39,9.108844,1.1790998,1.2084746,0.53291386,2.2191198,5.3581433,0.2163595,0.20326383,3.1291113,1.0
40,10.540433,1.2837901,1.3060005,0.52487475,2.2191198,6.2002544,0.2163595,0.20217556,3.1123579,1.0
41,13.045621,1.4721335,1.4033555,0.58591294,2.2191198,7.715257,0.2163595,0.19318537,2.9739602,1.0
42,13.747596,1.5183258,1.5116751,0.63478786,2.2191198,8.086821,0.2163595,0.20225264,3.1135447,1.0
43,16.20538,1.6980605,1.6051556,0.6792836,2.2191198,9.532576,0.2163595,0.20176293,3.106006,1.0
44,16.225857,1.699558,1.6189902,0.6792837,2.7885616,9.544621,0.96637416,0.19992737,3.0777488,1.0
45,16.250507,1.7013607,1.6314753,0.6792837,2.8205495,9.559122,1.0085056,0.19845475,3.0550787,1.0
46,15.775857,1.66665,1.6265273,0.6507583,2.8205495,9.279916,1.0085056,0.20006487,3.0798652,1.0
47,16.178213,1.6960739,1.6326044,0.7214374,2.8205495,9.516596,1.0085056,0.1953377,3.0070937,1.0
48,15.905021,1.6871473,1.7226657,0.71665806,2.8205495,9.444792,1.0085056,0.19190718,2.9542832,1.0
49,15.556406,1.6585615,1.6035907,0.4848512,2.8205495,9.214852,1.0085056,0.1926847,2.9662523,1.0
50,15.841554,1.6714544,1.6360383,0.70138216,2.1762977,9.318561,0.15995826,0.19489934,3.0003455,1.0
51,15.856338,1.6725355,1.840371,0.6817188,2.8823748,9.327257,1.089936,0.19723757,3.036341,1.0
52,16.156448,1.704402,1.8609972,0.6817188,2.8823748,9.583586,1.089936,0.19224992,2.9595594,1.0
53,17.727001,1.8093349,2.0542812,0.67832845,2.2219896,10.427648,0.22013938,0.19551924,3.0098884,1.0
54,15.866094,1.7191532,1.8242853,0.94907945,1.7684258,9.702242,0.0,0.18286912,2.815148,1.0
55,16.225536,1.6995345,2.0010548,0.95319176,1.7684258,9.544433,0.0,0.1989695,3.0630028,1.0
56,15.847427,1.671884,1.7131486,0.58323526,1.7684258,9.322016,0.0,0.20403795,3.1410282,1.0
57,15.288319,1.6603347,1.647688,0.3007325,1.4578283,9.2291155,0.0,0.18680926,2.875804,1.0
58,14.393922,1.625388,1.6105767,0.55741036,1.2173018,8.94801,0.0,0.17791651,2.7389061,1.0
59,13.430939,1.6096628,1.6000003,0.27502698,1.2173018,8.821519,0.0,0.16193713,2.4929142,1.0
60,13.416533,1.6022667,1.5780865,0.61997586,1.2173018,8.762027,0.0,0.16355063,2.517753,1.0
61,14.46794,1.6790906,1.7897215,0.7026177,1.2918704,9.379985,0.0,0.16563179,2.5497909,1.0
62,17.945143,1.8912272,2.0656188,0.6551338,1.3032937,11.086376,0.0,0.17978159,2.7676177,1.0
63,17.980324,1.82786,2.0619402,0.82704526,1.7396269,10.576661,0.0,0.20529844,3.1604326,1.0
64,16.96756,1.7673424,1.7562597,0.5801907,1.7396269,10.089868,0.0,0.19146998,2.9475527,1.0
65,16.08556,1.7696477,1.7724351,0.6024063,1.7396269,10.108411,0.0,0.17470334,2.6894414,1.0
66,16.849096,1.8151455,2.082032,0.64021266,1.7396269,10.474388,0.0,0.17791328,2.7388563,1.0
67,15.634468,1.732353,1.7000424,0.4572625,1.7396269,9.808418,0.0,0.17520075,2.6970987,1.0
68,15.080057,1.673792,1.6892211,0.6205855,1.7913544,9.337364,0.0,0.1791054,2.7572083,1.0
69,14.087612,1.5805097,1.6186106,0.4100419,2.2065892,8.587017,0.19985542,0.18384708,2.8302033,1.0
70,14.630019,1.6210159,1.5880529,0.4572625,1.9071453,8.912842,0.0,0.18401094,2.8327258,1.0
71,13.5051155,1.5398602,1.7736336,0.6876227,2.570368,8.260039,0.67899036,0.182812,2.814269,1.0
72,12.660873,1.5101811,1.4742922,0.53291386,2.01076,8.021305,0.0,0.17230934,2.6525874,1.0
73,11.569828,1.413072,1.3962277,0.4100419,2.3039453,7.240176,0.3280836,0.17594668,2.708582,1.0
74,11.4684305,1.4277811,1.4816294,0.72286993,3.3560457,7.358494,1.7138104,0.16862042,2.595799,1.0
75,9.888733,1.3221319,1.3286861,0.3007325,3.3560457,6.5086694,1.7138104,0.16134271,2.4837635,1.0
76,11.263677,1.4082459,1.3664184,0.60151404,3.3560457,7.201356,1.7138104,0.16965517,2.6117284,1.0
77,9.358831,1.2830777,1.3454168,0.3007325,3.3560457,6.1945243,1.7138104,0.15976626,2.459495,1.0
78,9.927091,1.3213179,1.3301951,0.7366749,3.3989072,6.502122,1.7702634,0.16272151,2.5049891,1.0
79,9.99683,1.3079113,1.2697657,0.60151404,3.4691448,6.3942814,1.8627738,0.16952467,2.6097193,1.0
80,9.263961,1.2841796,1.2629484,0.6347878,3.5899906,6.2033873,2.0219405,0.15652724,2.4096324,1.0
81,9.040998,1.2588053,1.2370487,0.678634,3.5899906,5.999281,2.0219405,0.15905921,2.4486105,1.0
