window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,34.0,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.21538413,215384.12,1.0
1,34.0,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.22796553,227965.53,1.0
2,34.0,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.21414281,214142.81,1.0
3,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.24552336,245523.36,1.0
4,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.2709919,270991.9,1.0
5,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.26601264,266012.62,1.0
6,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.24794123,247941.22,1.0
7,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
8,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
9,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
10,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
11,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
12,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
13,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
14,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
15,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
16,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
17,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
18,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
19,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
20,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
21,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
22,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
23,34.0,5.7104025,5.7104025,8.9571666e-23,0.0,20.0,0.0,0.21842378,218423.78,1.0
