window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,7.8848004,1.9474196,1.8624765,0.6592714,2.0234728,5.8402376,0.0,0.21890707,2.0002348,1.0
1,7.791276,1.7034767,1.8326179,0.68939596,1.348982,4.810021,0.0,0.3032448,2.7708597,1.0
2,8.306401,1.8563697,1.8678634,0.7239798,1.348982,5.4557166,0.0,0.27282417,2.4928951,1.0
3,9.036385,2.0091603,1.9403675,0.6688186,1.5738127,6.10098,0.0,0.25988615,2.3746758,1.0
4,10.26519,2.0006201,1.9584106,0.5550192,2.0234709,6.0649133,0.0,0.32599366,2.9787245,1.0
5,7.940363,1.7317302,1.7980691,0.6808998,2.0234709,4.929341,0.0,0.3004418,2.7452476,1.0
6,8.688857,1.7747668,1.915237,0.6530885,2.0234709,5.111092,0.0,0.33775163,3.0861614,1.0
7,8.480659,1.7457675,1.8327563,0.6907225,2.0234709,4.9886227,0.0,0.33542952,3.0649433,1.0
8,8.696211,1.775791,1.8408134,0.6974026,2.0234709,5.115418,0.0,0.35404927,3.2350788,1.0
9,8.660959,1.7708809,1.8063513,0.65652347,2.0234709,5.0946817,0.0,0.3506924,3.2044058,1.0
10,8.657219,1.7767317,1.8326373,0.63331896,2.0234709,5.1193905,0.0,0.325528,2.9744694,1.0
11,9.20567,2.0088239,1.984002,0.68143183,2.0234709,6.0995593,0.0,0.2686723,2.454958,1.0
12,7.9761024,1.7826574,1.8093603,0.66157246,2.0234709,5.144416,0.0,0.28155613,2.5726824,1.0
13,9.212233,2.0148346,1.9737786,0.5484471,2.0234709,6.1249437,0.0,0.2670515,2.440148,1.0
14,7.964357,1.7876244,1.8570149,0.63331896,2.0234709,5.1653924,0.0,0.27887636,2.5481963,1.0
15,8.97516,2.0205312,1.9842337,0.64038473,2.0234709,6.149001,0.0,0.2531559,2.3131788,1.0
16,7.177565,1.7806884,1.8508488,0.6848848,1.1241515,5.1361003,0.0,0.23372583,2.1356392,1.0
17,7.7626686,2.0018644,1.9793389,0.37367025,1.3489815,6.070168,0.0,0.19662511,1.7966362,1.0
18,7.0450044,1.7427201,1.7589557,0.54264295,1.3489815,4.9757533,0.0,0.23947713,2.188191,1.0
19,7.18392,1.7473913,1.7831031,0.6313507,1.3489815,4.9954805,0.0,0.24642415,2.2516685,1.0
20,7.8235884,1.7689615,1.949319,0.63712645,1.3489815,5.0865755,0.0,0.27769342,2.5373874,1.0
21,7.6887336,1.7355055,1.8315523,0.6800035,1.3489815,4.9452844,0.0,0.28290755,2.5850308,1.0
22,7.7592688,1.7466773,1.9337392,0.6247399,1.3489815,4.992465,0.0,0.28273094,2.583417,1.0
23,8.784211,2.0375462,1.9691895,0.6072086,1.3489815,6.2208586,0.0,0.23828603,2.1773074,1.0
24,7.0455594,1.7176259,1.7951669,0.638983,1.3489815,4.8697753,0.0,0.24914756,2.2765532,1.0
25,6.191636,1.6041775,1.8644272,0.70611006,1.3489815,4.3906617,0.0,0.23769985,2.1719513,1.0
26,9.11503,2.0140922,1.9539762,0.6000437,1.3489815,6.121808,0.0,0.26232752,2.3969834,1.0
27,8.574276,2.0135522,1.9688181,0.6088752,1.3489815,6.119528,0.0,0.2348702,2.1460958,1.0
28,9.173284,2.0773528,2.0748577,0.36650118,1.3489815,6.3889694,0.0,0.24571005,2.2451434,1.0
29,8.821106,1.9999522,1.9169346,0.6298516,1.3489815,6.0620923,0.0,0.2517529,2.3003592,1.0
30,8.171299,2.0062256,2.0129957,0.55228376,1.3489815,6.088586,0.0,0.2164013,1.9773386,1.0
31,9.226103,2.0307612,1.9742436,0.6113543,1.3489815,6.1922045,0.0,0.26264343,2.39987,1.0
32,6.076325,1.5816464,1.8835258,0.6638754,2.0234725,4.295509,0.0,0.23907357,2.1845036,1.0
33,8.99934,2.0130413,1.9730384,0.5669286,2.0234725,6.11737,0.0,0.2567518,2.346036,1.0
34,7.3812466,1.7405673,1.8953801,0.68661577,2.0234725,4.9666615,0.0,0.2614565,2.3890245,1.0
35,7.16264,1.7758702,1.8383816,0.71359915,3.3724542,5.115752,0.2033892,0.23455165,2.1431851,1.0
36,9.292988,1.9839733,1.8773458,0.65996206,1.3489817,5.9946103,0.0,0.2814889,2.572068,1.0
37,9.265543,1.9931067,1.9142699,0.65503085,1.3489817,6.0331826,0.0,0.2769674,2.5307534,1.0
38,9.313902,2.0477955,1.9687716,0.6527399,6.0704803,6.264144,0.7728889,0.2616757,2.3910275,1.0
39,10.256737,2.0713077,2.0107493,0.5484471,6.0704803,6.36344,0.7728889,0.3007501,2.7480648,1.0
40,10.82286,2.0803142,2.0664284,0.56702375,6.0704803,6.401476,0.7728889,0.3254084,2.9733768,1.0
