window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,7.3048244,1.5093898,1.5190234,0.44402662,2.0135615,6.982261,0.06814513,0.15283538,1.131993,1.0
1,8.34322,1.5614272,1.57895,0.45964006,2.0135615,7.35977,0.06814513,0.18656102,1.3817859,1.0
2,9.251884,1.5792389,1.5684344,0.54177517,2.0135615,7.4889855,0.06814513,0.22582082,1.6725682,1.0
3,7.808192,1.6232398,1.6617305,0.48930827,1.9876215,7.808192,0.024320731,0.12949602,0.95912737,0.0
4,7.3740234,1.563392,1.6595666,0.50678766,1.6417292,7.3740234,0.0,0.12039848,0.8917453,0.0
5,9.788019,1.7187574,1.8056412,0.41848424,1.6417292,8.501129,0.0,0.19340962,1.4325109,1.0
6,8.544058,1.5734167,1.6426264,0.43900764,1.7674441,7.446748,0.0,0.19185714,1.4210123,1.0
7,8.269388,1.5889379,1.6026326,0.48062155,1.7446245,7.559347,0.0,0.17124799,1.2683682,1.0
8,8.255721,1.6849293,1.7661068,0.35483775,1.6677436,8.255721,0.0,0.1283283,0.95047843,0.0
9,7.24538,1.5207782,1.581436,0.3894403,1.1732173,7.064879,0.0,0.14487012,1.0729975,1.0
10,7.9864254,1.6361262,1.6753111,0.38787505,1.3185081,7.901677,0.0,0.1391518,1.030644,1.0
11,8.498582,1.7184062,1.7183838,0.38645574,1.3185081,8.498582,0.0,0.09084948,0.67288727,0.0
12,7.8996353,1.6358447,1.6891954,0.34385678,1.4787456,7.8996353,0.0,0.115951896,0.85881126,0.0
13,6.953298,1.4688374,1.5052594,0.4767345,1.7451303,6.6880717,0.0,0.15031217,1.1133046,1.0
14,6.296466,1.4148567,1.4928149,0.39492664,1.7451303,6.296466,0.0,0.12979874,0.9613695,0.0
15,7.3619995,1.5589154,1.5864365,0.37243938,1.7451303,7.3415475,0.0,0.13608906,1.0079595,1.0
16,6.7421174,1.4616971,1.4626143,0.4008256,1.7451303,6.6362724,0.0,0.14116703,1.04557,1.0
17,8.07232,1.558039,1.5404997,0.36883628,1.7451303,7.3351893,0.0,0.1737799,1.2871212,1.0
18,6.432503,1.4336087,1.4640043,0.5162253,1.7451303,6.432503,0.0,0.12831771,0.9504001,0.0
19,6.398633,1.351988,1.4357337,0.4094602,1.7451303,5.8403816,0.0,0.17188676,1.2730993,1.0
20,6.1471596,1.3622425,1.3841326,0.46292454,1.7451303,5.9147735,0.0,0.15017043,1.1122547,1.0
21,5.503775,1.3055886,1.3327854,0.405568,1.7451303,5.503775,0.0,0.092308395,0.6836929,0.0
22,5.842724,1.3523108,1.3462964,0.36243978,2.542775,5.842724,0.96222824,0.10374985,0.76843536,0.0
23,5.462688,1.299925,1.3532254,0.3447198,2.542775,5.462688,0.96222824,0.11115643,0.82329303,0.0
24,5.744789,1.338811,1.3386422,0.3917996,2.542775,5.744789,0.96222824,0.11292506,0.83639264,0.0
