window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,20.685755,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.27986333,2.9592972,1.0
1,20.725807,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.29068595,3.0737364,1.0
2,20.930899,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.34610203,3.6597106,1.0
3,20.669237,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.2754003,2.9121048,1.0
4,20.695177,5.7104025,5.7104025,9.2458487e-23,0.0,20.0,0.0,0.28240934,2.986219,1.0
5,20.757032,5.7104025,5.7104025,9.2458487e-23,0.0,20.0,0.0,0.29912314,3.162952,1.0
6,20.754932,5.7104025,5.7104025,9.2458487e-23,0.0,20.0,0.0,0.2985557,3.156952,1.0
7,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
8,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
9,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
10,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
11,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
12,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
13,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
14,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
15,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
16,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
17,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
18,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
19,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
20,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
21,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
22,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
23,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
24,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
25,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
26,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
27,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
28,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
29,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
30,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
31,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
32,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
33,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
34,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
35,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
36,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
37,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
38,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
39,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
40,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
41,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
42,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
43,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
44,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
45,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
46,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
47,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
48,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
49,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
50,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
51,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
52,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
53,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
54,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
55,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
56,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
57,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
58,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
59,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
60,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
61,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
62,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
63,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
64,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
65,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
66,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
67,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
68,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
69,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
70,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
71,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
72,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
73,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
74,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
75,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
76,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
77,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
78,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
79,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
80,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
81,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
82,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
83,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
84,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
85,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
86,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
87,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
88,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
89,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
90,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
91,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
92,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
93,20.763168,5.7104025,5.7104025,9.24677e-23,0.0,20.0,0.0,0.30078098,3.1804821,1.0
