window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,6.5679336,1.4730189,1.4184034,0.33428618,2.0135615,6.4057355,0.053818736,0.19302054,1.4634231,1.0
1,6.976237,1.5255972,1.4870143,0.3350441,2.0135615,6.770265,0.053818736,0.20951658,1.5884912,1.0
2,7.068223,1.5456415,1.5493419,0.42664102,2.0135615,6.9092336,0.053818736,0.19181138,1.4542557,1.0
3,7.2672763,1.57895,1.6109976,0.42664102,1.9876215,7.140164,0.0013793064,0.17979863,1.3631787,1.0
4,7.6622124,1.6432767,1.6678778,0.4830357,1.6417292,7.586145,0.0,0.16056246,1.2173358,1.0
5,7.6861567,1.6219211,1.6455194,0.3566046,1.6417292,7.438085,0.0,0.22538185,1.7087768,1.0
6,7.789907,1.6589798,1.7017632,0.42664102,1.7674441,7.695016,0.0,0.16765612,1.2711178,1.0
7,6.8992753,1.5246042,1.577053,0.52736956,1.7446245,6.76338,0.0,0.18310846,1.3882728,1.0
8,6.2788625,1.438247,1.7010927,0.6301318,1.6677436,6.1646595,0.0,0.17493361,1.3262936,1.0
9,8.101601,1.6817584,2.3992496,0.5923432,1.1732173,7.8529415,0.0,0.22560318,1.7104548,1.0
10,7.083524,1.5541772,1.6891226,0.57239914,1.3185081,6.968412,0.0,0.17527638,1.3288924,1.0
11,7.2168927,1.5792056,1.6302255,0.61571014,1.3185081,7.141936,0.0,0.16014393,1.2141627,1.0
12,7.4551845,1.610294,1.6955543,0.58357006,1.4787456,7.357474,0.0,0.16871852,1.2791727,1.0
13,6.6097794,1.4959993,1.5582643,0.34663442,1.7451303,6.5650606,0.0,0.14874883,1.1277685,1.0
14,6.42574,1.440436,1.6018323,0.60671484,1.7451303,6.1798363,0.0,0.22456463,1.7025808,1.0
15,6.2093906,1.4189439,1.4863669,0.3736894,1.7451303,6.03083,0.0,0.19918673,1.5101733,1.0
16,6.6355295,1.4844881,1.455859,0.32696238,1.7451303,6.485253,0.0,0.18852793,1.4293616,1.0
17,6.2703657,1.4415214,1.4494917,0.47775266,1.7451303,6.1873612,0.0,0.16317661,1.2371556,1.0
18,5.878886,1.3750474,1.3958747,0.37277073,1.7451303,5.7264924,0.0,0.1893259,1.4354116,1.0
19,5.6265373,1.3455756,1.4092575,0.5450194,1.7451303,5.522162,0.0,0.17123021,1.2982155,1.0
20,5.697443,1.3594325,1.3268311,0.29814315,1.7451303,5.6182327,0.0,0.16174679,1.226315,1.0
21,5.506732,1.3266537,1.292036,0.50825524,1.7451303,5.3909755,0.0,0.17551915,1.330733,1.0
22,5.1528087,1.2843472,1.2851331,0.2584427,2.542775,5.097661,1.1236612,0.15267894,1.1575654,1.0
23,5.6291056,1.331023,1.331873,0.36377293,2.542775,5.421268,1.1236612,0.21021959,1.5938212,1.0
24,5.6917343,1.3519106,1.4665672,0.5327241,2.542775,5.566083,1.1236612,0.17924795,1.3590035,1.0
25,5.9198704,1.3771627,1.3597611,0.5098513,2.8888123,5.7411575,1.8232003,0.19924408,1.5106082,1.0
26,5.4659734,1.3167123,1.2399356,0.358307,2.8888123,5.3220506,1.8232003,0.18613349,1.4112077,1.0
27,4.721917,1.2246674,1.2112828,0.42036703,2.8888123,4.683897,1.8232003,0.14622438,1.1086289,1.0
28,5.2347217,1.2833351,1.217674,0.33078572,2.8888123,5.0906444,1.8232003,0.18619184,1.4116501,1.0
29,5.483661,1.33668,1.3464025,0.5481533,2.8888123,5.460489,1.8232003,0.14062913,1.0662074,1.0
30,4.989536,1.2667788,1.2436252,0.3602222,2.8888123,4.9758587,1.8232003,0.13705081,1.0390776,1.0
31,4.463247,1.1738154,1.2308606,0.4073251,2.8888123,4.331336,1.8232003,0.1816069,1.3768884,1.0
32,5.039686,1.2019401,1.170825,0.55563766,5.1031337,4.5263267,6.2996078,0.14496599,1.0990882,1.0
33,4.8014417,1.2199475,1.1545547,0.5633201,2.2143216,4.651173,0.45966956,0.18852495,1.4293389,1.0
34,4.178228,1.133683,1.0635451,0.5900006,2.2143216,4.0530953,0.45966956,0.17905256,1.3575222,1.0
35,4.070965,1.1191231,1.0379775,0.61498064,2.2143216,3.9521508,0.45966956,0.17667139,1.3394688,1.0
36,3.0958848,0.9830279,1.0340421,0.6026185,2.2143216,3.0085928,0.45966956,0.16479233,1.2494054,1.0
37,3.6178696,1.0586858,1.8549398,0.5851176,2.2143216,3.5331345,0.45966956,0.16382883,1.2421005,1.0
38,4.437875,1.1771326,1.1361744,0.5129492,2.2191198,4.354335,0.4693694,0.1633784,1.2386855,1.0
39,4.3231716,1.1656303,1.2285234,0.3005518,2.2191198,4.2745886,0.4693694,0.15020503,1.138809,1.0
40,5.801797,1.3772799,1.3620757,0.5842275,2.2191198,5.74197,0.4693694,0.15444215,1.1709335,1.0
41,5.1826773,1.2890933,1.3842149,0.3019312,2.2191198,5.130566,0.4693694,0.15153459,1.1488893,1.0
42,7.099896,1.5575106,1.9227457,0.6412373,2.2191198,6.991523,0.4693694,0.17273681,1.309638,1.0
43,7.1242285,1.5673972,1.5509038,0.30899864,2.2191198,7.0600677,0.4693694,0.15607548,1.183317,1.0
44,7.218967,1.5587937,1.529844,0.40241262,2.7885616,7.000418,1.6205363,0.21425612,1.6244249,1.0
45,7.269907,1.5628797,1.6489686,0.5269909,2.8205495,7.028747,1.6852022,0.22277716,1.6890289,1.0
46,7.0207624,1.5579203,1.6350828,0.29664114,2.8205495,6.9943633,1.6852022,0.14184512,1.0754267,1.0
47,7.5123615,1.6175796,1.6188295,0.33303365,2.8205495,7.407985,1.6852022,0.17123047,1.2982174,1.0
48,7.357005,1.6102264,1.6303126,0.32696238,2.8205495,7.357005,1.6852022,0.12886912,0.97704655,0.0
49,8.36863,1.7497149,2.4983187,0.5704251,2.8205495,8.324088,1.6852022,0.14868234,1.1272644,1.0
50,7.5377903,1.6318823,1.7017032,0.33253574,2.1762977,7.507147,0.38280144,0.1434446,1.0875534,1.0
51,7.9261956,1.6779715,1.7736632,0.603874,2.8823748,7.8266864,1.8101864,0.16939633,1.2843115,1.0
52,8.258591,1.7346617,1.7321364,0.5401615,2.8823748,8.219724,1.8101864,0.14654341,1.1110477,1.0
53,8.548425,1.7793908,2.0691845,0.6705621,2.2219896,8.529834,0.475171,0.13890249,1.0531164,1.0
54,8.069906,1.7130525,1.7297943,0.31794217,1.7684258,8.069906,0.0,0.13141823,0.9963731,0.0
55,8.309599,1.747625,1.7409633,0.3191231,1.7684258,8.309599,0.0,0.12912278,0.97896975,0.0
56,8.732757,1.7752795,2.5465138,0.62198657,1.7684258,8.50133,0.0,0.21910888,1.6612171,1.0
57,7.991306,1.6947845,1.7086687,0.33525202,1.4578283,7.9432526,0.0,0.15000537,1.1372952,1.0
58,8.314671,1.7426381,2.2850714,0.64827174,1.2173018,8.275025,0.0,0.14683677,1.1132718,1.0
59,7.686203,1.655468,1.6390883,0.432744,1.2173018,7.670668,0.0,0.13775092,1.0443857,1.0
60,7.397103,1.6061658,1.6274529,0.5139785,1.2173018,7.3288527,0.0,0.15761645,1.195,1.0
61,8.161578,1.7226264,1.69737,0.5243916,1.2918704,8.136283,0.0,0.1414292,1.0722733,1.0
62,8.693022,1.7855704,1.7835798,0.52882075,1.3032937,8.572678,0.0,0.177248,1.3438406,1.0
63,8.684792,1.8017412,1.8070471,0.5181408,1.7396269,8.684792,0.0,0.12757666,0.96724755,0.0
64,9.003763,1.8219135,1.8382775,0.5785023,1.7396269,8.824647,0.0,0.19939622,1.5117617,1.0
65,8.967591,1.8330191,2.457824,0.5935961,1.7396269,8.901643,0.0,0.15674907,1.1884239,1.0
66,8.459771,1.7658838,1.748978,0.56511986,1.7396269,8.436189,0.0,0.14078361,1.0673786,1.0
67,8.340332,1.7320126,1.734095,0.5064668,1.7396269,8.201358,0.0,0.18426852,1.397068,1.0
68,7.810183,1.673792,1.6787813,0.38592887,1.7913544,7.79771,0.0,0.13659707,1.0356375,1.0
69,7.5788236,1.6328921,1.601175,0.3876579,2.2065892,7.514148,0.44403797,0.15626925,1.1847861,1.0
70,6.7194796,1.5182722,1.5177372,0.32825312,1.9071453,6.7194796,0.0,0.12972426,0.98353,0.0
71,7.25234,1.5859705,1.5532676,0.5279143,2.570368,7.1888375,1.1794426,0.1558272,1.1814345,1.0
72,6.6603527,1.5028245,1.501218,0.53050107,2.01076,6.6123805,0.04815547,0.1499748,1.1370634,1.0
73,6.3592143,1.4571886,1.4102218,0.4194083,2.3039453,6.2959833,0.6408502,0.15572497,1.1806595,1.0
74,5.078678,1.2778686,1.3337748,0.62400705,3.3560457,5.052745,2.7677457,0.14166947,1.0740949,1.0
75,5.3849945,1.3146145,2.1887345,0.56833273,3.3560457,5.307507,2.7677457,0.16109757,1.2213929,1.0
76,5.211913,1.3008264,1.2791934,0.55452776,3.3560457,5.211913,2.7677457,0.12369638,0.9378284,0.0
77,4.3139706,1.1567959,1.3121227,0.61169183,3.3560457,4.213339,2.7677457,0.16981944,1.2875195,1.0
78,4.315313,1.1581005,1.2925174,0.33108926,3.3989072,4.222384,2.8543932,0.16691662,1.2655112,1.0
79,4.474845,1.18852,1.2635285,0.33010972,3.4691448,4.4332843,2.9963837,0.14755854,1.1187441,1.0
80,4.685693,1.2042305,1.7834977,0.6166814,3.5899906,4.542207,3.240682,0.18596897,1.4099603,1.0
81,4.4707265,1.1891441,1.1978139,0.36991253,3.5899906,4.4376116,3.240682,0.14437585,1.0946139,1.0
82,4.234372,1.1547463,1.2452328,0.43184727,3.5899906,4.199129,3.240682,0.14517775,1.1006937,1.0
83,4.2757,1.1557848,1.2804275,0.3233904,3.5899906,4.2063293,3.240682,0.1580387,1.1982015,1.0
84,3.8299894,1.0817579,1.3128786,0.47607762,3.5899906,3.6930952,3.240682,0.18348485,1.3911265,1.0
85,4.136536,1.1346527,1.2067927,0.59925056,3.5988877,4.0598187,3.258668,0.16080728,1.219192,1.0
86,4.5459576,1.179697,1.2905219,0.5822364,3.6197703,4.372114,3.3008838,0.19740896,1.4966948,1.0
87,2.640707,0.8961718,0.9010098,0.5021354,3.6197703,2.4064136,3.3008838,0.13102984,0.9934285,0.0
