window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,7.4447336,1.4730189,1.4184034,0.33428618,2.042933,6.3909516,1.0,2.0135615,6.4057355,0.053818736,0.19302054,1.4634231,1.0
1,8.16475,1.5255972,1.4870143,0.3350441,2.1136322,6.726888,1.0,2.0135615,6.770265,0.053818736,0.20951658,1.5884912,1.0
2,7.250997,1.5456415,1.5493419,0.42664102,1.9002553,5.713,0.9054999,2.0135615,6.9092336,0.053818736,0.19181138,1.4542557,1.0
3,7.287253,1.57895,1.6109976,0.42664102,1.9412057,5.9075813,0.9054999,1.9876215,7.140164,0.0013793064,0.17979863,1.3631787,1.0
4,6.520737,1.6432767,1.6678778,0.4830357,1.8892995,5.660942,0.79879624,1.6417292,7.586145,0.0,0.16056246,1.2173358,1.0
5,9.283265,1.6219211,1.6455194,0.3566046,2.1819081,7.05131,1.0,1.6417292,7.438085,0.0,0.22538185,1.7087768,1.0
6,7.629022,1.6589798,1.7017632,0.42664102,2.0395966,6.3750978,0.9054999,1.7674441,7.695016,0.0,0.16765612,1.2711178,1.0
7,5.616451,1.5246042,1.577053,0.52736956,1.6678476,4.6086845,0.7310714,1.7446245,6.76338,0.0,0.18310846,1.3882728,1.0
8,4.1967454,1.438247,1.7010927,0.6301318,1.4143765,3.4042835,0.6109973,1.6677436,6.1646595,0.0,0.17493361,1.3262936,1.0
9,6.376337,1.6817584,2.3992496,0.5923432,1.7176777,4.8454585,0.6502719,1.1732173,7.8529415,0.0,0.22560318,1.7104548,1.0
10,5.230423,1.5541772,1.6891226,0.57239914,1.6203787,4.38313,0.6731074,1.3185081,6.968412,0.0,0.17527638,1.3288924,1.0
11,4.801467,1.5792056,1.6302255,0.61571014,1.5753376,4.1691113,0.62541306,1.3185081,7.141936,0.0,0.16014393,1.2141627,1.0
12,5.331403,1.610294,1.6955543,0.58357006,1.6595575,4.5692925,0.66012317,1.4787456,7.357474,0.0,0.16871852,1.2791727,1.0
13,6.8586435,1.4959993,1.5582643,0.34663442,2.0398703,6.3763986,1.0,1.7451303,6.5650606,0.0,0.14874883,1.1277685,1.0
14,4.887277,1.440436,1.6018323,0.60671484,1.4499184,3.5731654,0.6347543,1.7451303,6.1798363,0.0,0.22456463,1.7025808,1.0
15,7.1076984,1.4189439,1.4863669,0.3736894,1.8659643,5.5500617,1.0,1.7451303,6.03083,0.0,0.19918673,1.5101733,1.0
16,7.5537767,1.4844881,1.455859,0.32696238,2.0799668,6.566922,1.0,1.7451303,6.485253,0.0,0.18852793,1.4293616,1.0
17,5.4124346,1.4415214,1.4494917,0.47775266,1.6674666,4.606874,0.80771273,1.7451303,6.1873612,0.0,0.16317661,1.2371556,1.0
18,6.599176,1.3750474,1.3958747,0.37277073,1.810426,5.2861643,1.0,1.7451303,5.7264924,0.0,0.1893259,1.4354116,1.0
19,4.312894,1.3455756,1.4092575,0.5450194,1.4441153,3.545591,0.707201,1.7451303,5.522162,0.0,0.17123021,1.2982155,1.0
20,6.599569,1.3594325,1.3268311,0.29814315,1.9848964,6.1151834,1.0,1.7451303,5.6182327,0.0,0.16174679,1.226315,1.0
21,4.5642476,1.3266537,1.292036,0.50825524,1.4822938,3.7270017,0.7588089,1.7451303,5.3909755,0.0,0.17551915,1.330733,1.0
22,6.4812984,1.2843472,1.2851331,0.2584427,1.9906559,6.14255,1.0,2.542775,5.097661,1.1236612,0.15267894,1.1575654,1.0
23,6.54801,1.331023,1.331873,0.36377293,1.7734721,5.110573,1.0,2.542775,5.421268,1.1236612,0.21021959,1.5938212,1.0
24,4.534076,1.3519106,1.4665672,0.5327241,1.4703162,3.670088,0.7236612,2.542775,5.566083,1.1236612,0.17924795,1.3590035,1.0
25,5.1187773,1.3771627,1.3597611,0.5098513,1.5359894,3.982143,0.75641257,2.8888123,5.7411575,1.8232003,0.19924408,1.5106082,1.0
26,6.0880146,1.3167123,1.2399356,0.358307,1.7672751,5.081127,1.0,2.8888123,5.3220506,1.8232003,0.18613349,1.4112077,1.0
27,4.468935,1.2246674,1.2112828,0.42036703,1.5173446,3.8935497,0.9191596,2.8888123,4.683897,1.8232003,0.14622438,1.1086289,1.0
28,5.9288216,1.2833351,1.217674,0.33078572,1.7885432,5.182185,1.0,2.8888123,5.0906444,1.8232003,0.18619184,1.4116501,1.0
29,3.9283729,1.33668,1.3464025,0.5481533,1.4297595,3.477378,0.7031246,2.8888123,5.460489,1.8232003,0.14062913,1.0662074,1.0
