window_index,window_score,successor_score,successor_median_score,successor_dispersion,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,7.4447336,1.4730189,1.4184034,0.33428618,2.0135615,6.4057355,0.053818736,0.19302054,1.4634231,1.0
1,8.16475,1.5255972,1.4870143,0.3350441,2.0135615,6.770265,0.053818736,0.20951658,1.5884912,1.0
2,8.007729,1.5456415,1.5493419,0.42664102,2.0135615,6.9092336,0.053818736,0.19181138,1.4542557,1.0
3,8.047768,1.57895,1.6109976,0.42664102,1.9876215,7.140164,0.0013793064,0.17979863,1.3631787,1.0
4,8.163204,1.6432767,1.6678778,0.4830357,1.6417292,7.586145,0.0,0.16056246,1.2173358,1.0
5,9.283265,1.6219211,1.6455194,0.3566046,1.6417292,7.438085,0.0,0.22538185,1.7087768,1.0
6,8.425205,1.6589798,1.7017632,0.42664102,1.7674441,7.695016,0.0,0.16765612,1.2711178,1.0
7,7.6824927,1.5246042,1.577053,0.52736956,1.7446245,6.76338,0.0,0.18310846,1.3882728,1.0
8,6.8686805,1.438247,1.7010927,0.6301318,1.6677436,6.1646595,0.0,0.17493361,1.3262936,1.0
9,9.805647,1.6817584,2.3992496,0.5923432,1.1732173,7.8529415,0.0,0.22560318,1.7104548,1.0
10,7.7705617,1.5541772,1.6891226,0.57239914,1.3185081,6.968412,0.0,0.17527638,1.3288924,1.0
11,7.6772733,1.5792056,1.6302255,0.61571014,1.3185081,7.141936,0.0,0.16014393,1.2141627,1.0
12,8.076375,1.610294,1.6955543,0.58357006,1.4787456,7.357474,0.0,0.16871852,1.2791727,1.0
13,6.8586435,1.4959993,1.5582643,0.34663442,1.7451303,6.5650606,0.0,0.14874883,1.1277685,1.0
14,7.699478,1.440436,1.6018323,0.60671484,1.7451303,6.1798363,0.0,0.22456463,1.7025808,1.0
15,7.1076984,1.4189439,1.4863669,0.3736894,1.7451303,6.03083,0.0,0.19918673,1.5101733,1.0
16,7.459834,1.4844881,1.455859,0.32696238,1.7451303,6.485253,0.0,0.18852793,1.4293616,1.0
17,6.70094,1.4415214,1.4494917,0.47775266,1.7451303,6.1873612,0.0,0.16317661,1.2371556,1.0
18,6.599176,1.3750474,1.3958747,0.37277073,1.7451303,5.7264924,0.0,0.1893259,1.4354116,1.0
19,6.0985403,1.3455756,1.4092575,0.5450194,1.7451303,5.522162,0.0,0.17123021,1.2982155,1.0
20,6.0632544,1.3594325,1.3268311,0.29814315,1.7451303,5.6182327,0.0,0.16174679,1.226315,1.0
21,6.015016,1.3266537,1.292036,0.50825524,1.7451303,5.3909755,0.0,0.17551915,1.330733,1.0
22,5.378786,1.2843472,1.2851331,0.2584427,2.542775,5.097661,1.1236612,0.15267894,1.1575654,1.0
23,6.54801,1.331023,1.331873,0.36377293,2.542775,5.421268,1.1236612,0.21021959,1.5938212,1.0
24,6.265468,1.3519106,1.4665672,0.5327241,2.542775,5.566083,1.1236612,0.17924795,1.3590035,1.0
25,6.767176,1.3771627,1.3597611,0.5098513,2.8888123,5.7411575,1.8232003,0.19924408,1.5106082,1.0
26,6.0880146,1.3167123,1.2399356,0.358307,2.8888123,5.3220506,1.8232003,0.18613349,1.4112077,1.0
27,4.8619795,1.2246674,1.2112828,0.42036703,2.8888123,4.683897,1.8232003,0.14622438,1.1086289,1.0
28,5.824092,1.2833351,1.217674,0.33078572,2.8888123,5.0906444,1.8232003,0.18619184,1.4116501,1.0
29,5.587023,1.33668,1.3464025,0.5481533,2.8888123,5.460489,1.8232003,0.14062913,1.0662074,1.0
30,5.0439143,1.2667788,1.2436252,0.3602222,2.8888123,4.9758587,1.8232003,0.13705081,1.0390776,1.0
31,4.9026866,1.1738154,1.2308606,0.4073251,2.8888123,4.331336,1.8232003,0.1816069,1.3768884,1.0
