window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,7.3810296,1.4640846,1.442485,0.33703104,0.0,0.0,1.0,2.0135615,5.912434,0.053818736,0.27128336,1.7096888,1.0
1,7.775623,1.5123574,1.4788618,0.33998737,0.0,0.0,1.0,2.0135615,6.2236834,0.053818736,0.2717228,1.7124581,1.0
2,7.896974,1.5456415,1.5248046,0.33998737,0.0,0.0,1.0,2.0135615,6.4382906,0.053818736,0.26138785,1.647325,1.0
3,8.078217,1.57895,1.5859237,0.34248737,0.0,0.0,1.0,1.9876215,6.6530547,0.0013793064,0.25578794,1.6120331,1.0
4,8.037974,1.6005132,1.6358427,0.33998737,0.0,0.0,1.0,1.6417292,6.7920885,0.0,0.24183378,1.5240909,1.0
5,8.322638,1.6547341,1.6629949,0.3399874,0.0,0.0,1.0,1.6417292,7.14169,0.0,0.23364076,1.4724566,1.0
6,7.48012,1.590118,1.5735198,0.34877816,0.0,0.0,1.0,1.7674441,6.725063,0.0,0.20957458,1.3207861,1.0
7,7.519853,1.5832943,1.6238238,0.33703104,0.0,0.0,1.0,1.7446245,6.681065,0.0,0.21559148,1.358706,1.0
8,6.966076,1.5619454,1.5935025,0.28219348,0.0,0.0,1.0,1.6677436,6.5434136,0.0,0.18795791,1.184553,1.0
9,6.855865,1.4927788,1.5613976,0.28959337,0.0,0.0,1.0,1.1732173,6.097446,0.0,0.21506375,1.3553802,1.0
10,6.6404996,1.5035571,1.5795147,0.3267374,0.0,0.0,1.0,1.3185081,6.1669416,0.0,0.19348711,1.2193993,1.0
11,6.918144,1.5123271,1.5794826,0.27277,0.0,0.0,1.0,1.3185081,6.223488,0.0,0.20927687,1.3189099,1.0
12,6.055976,1.4523013,1.569365,0.32242796,0.0,0.0,1.0,1.4787456,5.836458,0.0,0.17572543,1.1074612,1.0
13,5.7771482,1.4383919,1.4421668,0.44912505,0.0,0.0,1.0,1.7451303,5.746774,0.0,0.16107026,1.015101,1.0
14,5.9880433,1.3938833,1.35914,0.3687378,0.0,0.0,1.0,1.7451303,5.4597955,0.0,0.20253722,1.2764351,1.0
15,5.575421,1.4118161,1.4062415,0.36875877,0.0,0.0,1.0,1.7451303,5.575421,0.0,0.14216064,0.8959283,0.0
16,5.729719,1.4357468,1.3952898,0.36782506,0.0,0.0,1.0,1.7451303,5.729719,0.0,0.13112246,0.8263632,0.0
17,6.6964817,1.4652765,1.4234153,0.36978856,0.0,0.0,1.0,1.7451303,5.920119,0.0,0.21812697,1.3746852,1.0
18,5.527102,1.4043221,1.3702619,0.36457515,0.0,0.0,1.0,1.7451303,5.527102,0.0,0.14253908,0.89831334,0.0
19,5.666292,1.4073662,1.3615654,0.32963416,0.0,0.0,1.0,1.7451303,5.5467286,0.0,0.1684465,1.0615877,1.0
20,5.7679186,1.3803204,1.3298,0.35963684,0.0,0.0,1.0,1.7451303,5.3723454,0.0,0.19205527,1.2103755,1.0
21,5.345603,1.299715,1.3122901,0.3753496,0.0,0.0,1.0,1.7451303,4.852624,0.0,0.2047305,1.2902577,1.0
22,4.8759985,1.2843472,1.3255798,0.36488858,0.0,0.0,1.0,2.542775,4.7535357,1.1236612,0.17035367,1.0736071,1.0
23,5.4111924,1.2989839,1.3188933,0.34843883,0.0,0.0,1.0,2.542775,4.84791,1.1236612,0.21134973,1.3319736,1.0
24,5.600149,1.349234,1.3655273,0.35583645,0.0,0.0,1.0,2.542775,5.1719084,1.1236612,0.1962125,1.2365754,1.0
25,5.121417,1.2695485,1.3456435,0.33365163,0.0,0.0,1.0,2.8888123,4.6581182,1.8232003,0.20376498,1.2841727,1.0
26,5.2656817,1.2755075,1.31465,0.3394043,0.0,0.0,1.0,2.8888123,4.69654,1.8232003,0.2136131,1.3462378,1.0
27,5.6328645,1.3032199,1.2514963,0.33484286,0.0,0.0,1.0,2.8888123,4.875222,1.8232003,0.22912847,1.4440191,1.0
28,4.56901,1.226444,1.2501293,0.3245599,0.0,0.0,1.0,2.8888123,4.3801923,1.8232003,0.17821696,1.1231633,1.0
29,5.639404,1.2672166,1.2218082,0.35305524,0.0,0.0,1.0,2.8888123,4.6430826,1.8232003,0.2559558,1.6130909,1.0
30,5.041216,1.2042196,1.2092646,0.34275323,0.0,0.0,1.0,2.8888123,4.236895,1.8232003,0.24473777,1.5423925,1.0
31,5.1954875,1.2365506,1.2095307,0.31800365,0.0,0.0,1.0,2.8888123,4.4453564,1.8232003,0.23517543,1.4821285,1.0
32,5.0465117,1.2640413,1.2054507,0.3245599,0.0,0.0,1.0,5.1031337,4.622609,6.2996078,0.20024763,1.2620056,1.0
33,4.424066,1.1599969,1.1680248,0.32889268,0.0,0.0,1.0,2.2143216,3.951759,0.45966956,0.21285823,1.3414805,1.0
34,3.1422877,1.0218403,1.0707356,0.3392566,0.0,0.0,1.0,2.2143216,3.0609636,0.45966956,0.17071892,1.075909,1.0
35,3.9419787,1.0973146,1.0659031,0.3354111,0.0,0.0,1.0,2.2143216,3.547601,0.45966956,0.20907238,1.3176212,1.0
36,3.5290995,1.0496455,1.0598369,0.36442012,0.0,0.0,1.0,2.2143216,3.240244,0.45966956,0.199089,1.2547036,1.0
37,2.6533837,0.9400932,1.0172269,0.3245599,0.0,0.0,1.0,2.2143216,2.5338805,0.45966956,0.18005532,1.1347492,1.0
38,3.5772223,1.0264335,1.1360328,0.3316711,0.0,0.0,1.0,2.2191198,3.0905788,0.4693694,0.23005949,1.4498867,1.0
39,4.977166,1.3190308,1.3255125,0.29431382,0.0,0.0,1.0,2.2191198,4.977166,0.4693694,0.11683391,0.7363136,0.0
40,5.152566,1.3260112,1.2795229,0.33897558,0.0,0.0,1.0,2.2191198,5.022174,0.4693694,0.17044473,1.074181,1.0
41,5.9128366,1.3416096,1.3727286,0.33606887,0.0,0.0,1.0,2.2191198,5.1227484,0.4693694,0.22859558,1.4406608,1.0
