window_index,window_score,successor_score,successor_median_score,successor_dispersion,manifold_uncertainty_score,manifold_z,uncertainty_confidence,local_score,successor_z,local_z,context_distance,context_ratio,context_ood
0,4.6573334,1.4742932,1.4383031,0.4613732,0.0,0.0,1.0,2.0135615,4.3202925,0.043509074,0.19975114,1.2228956,1.0
1,4.6569037,1.5020392,1.508651,0.5829948,0.0,0.0,1.0,2.0135615,4.4548855,0.043509074,0.18450616,1.1295644,1.0
2,5.3630953,1.5283883,1.680443,0.40282822,0.0,0.0,1.0,2.0135615,4.582702,0.043509074,0.24281651,1.4865459,1.0
3,5.622193,1.5735363,1.5951785,0.41416207,0.0,0.0,1.0,1.9876215,4.801711,0.0,0.243088,1.488208,1.0
4,5.82214,1.5987631,1.6531659,0.41416207,0.0,0.0,1.0,1.6417292,4.924084,0.0,0.24845849,1.5210867,1.0
5,6.1153893,1.6141568,1.6062378,0.32981777,0.0,0.0,1.0,1.6417292,4.9987574,0.0,0.26759365,1.6382339,1.0
6,5.6426578,1.590118,1.6212163,0.5291672,0.0,0.0,1.0,1.7674441,4.882148,0.0,0.23604129,1.4450674,1.0
7,5.158943,1.57307,1.5665071,0.23940977,0.0,0.0,1.0,1.7446245,4.7994494,0.0,0.19829956,1.2140088,1.0
8,5.0172954,1.5717648,1.5572649,0.23940977,0.0,0.0,1.0,1.6677436,4.793118,0.0,0.18517034,1.1336305,1.0
9,5.00989,1.541787,1.5111413,0.33058465,0.0,0.0,1.0,1.1732173,4.6476984,0.0,0.19971186,1.222655,1.0
10,4.9182243,1.5541772,1.5731124,0.39566365,0.0,0.0,1.0,1.3185081,4.707802,0.0,0.18420239,1.1277046,1.0
11,5.2779894,1.6306362,1.644611,0.5748331,0.0,0.0,1.0,1.3185081,5.078697,0.0,0.18165621,1.1121167,1.0
12,4.6615915,1.5366803,1.5420871,0.6468051,0.0,0.0,1.0,1.4787456,4.622926,0.0,0.16724609,1.0238966,1.0
13,4.949428,1.5270002,1.5280596,0.41295472,0.0,0.0,1.0,1.7451303,4.5759687,0.0,0.20143111,1.2331805,1.0
14,4.7160664,1.4785304,1.497591,0.3483854,0.0,0.0,1.0,1.7451303,4.3408465,0.0,0.20368344,1.2469695,1.0
15,5.4551067,1.4780563,1.5184082,0.5727171,0.0,0.0,1.0,1.7451303,4.3385468,0.0,0.28345016,1.735309,1.0
16,5.458637,1.4906567,1.5125711,0.69213843,0.0,0.0,1.0,1.7451303,4.39967,0.0,0.27567235,1.6876925,1.0
17,4.7424784,1.5060856,1.4793228,0.5596555,0.0,0.0,1.0,1.7451303,4.4745145,0.0,0.1912915,1.1711048,1.0
18,5.098114,1.56964,2.0072217,0.63188326,0.0,0.0,1.0,1.7451303,4.7828107,0.0,0.19410922,1.1883552,1.0
19,4.916337,1.5262614,1.4913769,0.72287524,0.0,0.0,1.0,1.7451303,4.5723853,0.0,0.1984492,1.2149249,1.0
20,4.8407598,1.512645,1.5337646,0.72690713,0.0,0.0,1.0,1.7451303,4.5063334,0.0,0.1979773,1.212036,1.0
21,4.7591767,1.4905087,1.481285,0.64818007,0.0,0.0,1.0,1.7451303,4.398952,0.0,0.20155977,1.2339681,1.0
22,4.1258583,1.3472795,1.3778827,0.51226836,0.0,0.0,1.0,2.542775,3.704161,1.094511,0.21647318,1.3252695,1.0
23,4.2421517,1.4158957,1.5414351,0.7018096,0.0,0.0,1.0,2.542775,4.0370116,1.094511,0.18705776,1.1451855,1.0
24,3.9976022,1.4077716,1.4107794,0.59920615,0.0,0.0,1.0,2.542775,3.9976022,1.094511,0.14466436,0.8856491,0.0
25,3.7100778,1.3437294,1.3064117,0.32094043,0.0,0.0,1.0,2.8888123,3.6869395,1.7817309,0.16627164,1.0179309,1.0
26,3.9522946,1.3880022,1.3793617,0.6788063,0.0,0.0,1.0,2.8888123,3.9017026,1.7817309,0.1693942,1.0370475,1.0
27,4.0341606,1.311875,1.3866886,0.496949,0.0,0.0,1.0,2.8888123,3.5324168,1.7817309,0.22963178,1.4058278,1.0
28,3.9165845,1.3306501,1.3193594,0.5649852,0.0,0.0,1.0,2.8888123,3.6234932,1.7817309,0.2010919,1.2311039,1.0
29,3.714966,1.3093978,1.2315933,0.58053917,0.0,0.0,1.0,2.8888123,3.5204003,1.7817309,0.18913601,1.1579088,1.0
30,3.4851453,1.2847677,1.411877,0.71368986,0.0,0.0,1.0,2.8888123,3.4009223,1.7817309,0.17490034,1.0707566,1.0
31,3.29131,1.2621715,1.1905062,0.629919,0.0,0.0,1.0,2.8888123,3.29131,1.7817309,0.15803687,0.96751684,0.0
32,4.943445,1.2233056,1.2102765,0.6444135,0.0,0.0,1.0,5.1031337,3.102775,6.1793065,0.15813752,0.968133,0.0
33,2.897446,1.1599969,1.6472703,0.6830212,0.0,0.0,1.0,2.2143216,2.7956705,0.44221264,0.18033257,1.1040132,1.0
34,2.3180947,1.0218403,1.0653123,0.43507245,0.0,0.0,1.0,2.2143216,2.1254861,0.44221264,0.2056339,1.2589104,1.0
35,2.0716786,1.007308,1.1818691,0.5307517,0.0,0.0,1.0,2.2143216,2.0549912,0.44221264,0.16713251,1.0232012,1.0
36,1.8178643,0.958425,1.0329704,0.58066696,0.0,0.0,1.0,2.2143216,1.8178643,0.44221264,0.15901028,0.9734761,0.0
37,1.5717803,0.8962812,0.9533698,0.46941036,0.0,0.0,1.0,2.2143216,1.5164106,0.44221264,0.18038349,1.1043249,1.0
38,2.3208416,1.0418694,1.2021747,0.6440975,0.0,0.0,1.0,2.2191198,2.2226453,0.4517417,0.18396124,1.1262283,1.0
39,2.7677047,1.1254845,1.1464399,0.4735759,0.0,0.0,1.0,2.2191198,2.6282542,0.4517417,0.1881047,1.151595,1.0
40,3.3913147,1.2827872,1.3964223,0.5589228,0.0,0.0,1.0,2.2191198,3.3913147,0.4517417,0.15672916,0.9595109,0.0
41,3.9747977,1.3979267,1.380617,0.5046065,0.0,0.0,1.0,2.2191198,3.9498456,0.4517417,0.16629097,1.0180492,1.0
42,4.8427963,1.5820059,1.6082147,0.6871027,0.0,0.0,1.0,2.2191198,4.8427963,0.4517417,0.13791142,0.84430695,0.0
43,5.1024194,1.5438238,1.5365883,0.45348975,0.0,0.0,1.0,2.2191198,4.657579,0.4517417,0.20791616,1.2728826,1.0
44,4.7109795,1.5548322,1.555175,0.51063645,0.0,0.0,1.0,2.7885616,4.7109795,1.582636,0.15423793,0.94425935,0.0
45,4.9126916,1.5964146,1.6172944,0.6526213,0.0,0.0,1.0,2.8205495,4.9126916,1.646163,0.11973454,0.7330263,0.0
46,5.2890477,1.6739993,1.6508226,0.6979427,0.0,0.0,1.0,2.8205495,5.2890477,1.646163,0.1244869,0.7621207,0.0
47,5.5302963,1.676444,1.7996255,0.7485975,0.0,0.0,1.0,2.8205495,5.300907,1.646163,0.18353827,1.1236389,1.0
48,4.819202,1.577142,1.6255273,0.51425666,0.0,0.0,1.0,2.8205495,4.819202,1.646163,0.15434861,0.944937,0.0
49,4.908576,1.5955662,1.6827492,0.71747404,0.0,0.0,1.0,2.8205495,4.908576,1.646163,0.13840759,0.8473445,0.0
50,5.0062537,1.6157022,1.7028253,0.64454675,0.0,0.0,1.0,2.1762977,5.0062537,0.36669824,0.13383579,0.81935555,0.0
51,5.2637806,1.6687906,1.7382944,0.6914337,0.0,0.0,1.0,2.8823748,5.2637806,1.7689462,0.15109064,0.9249913,0.0
52,5.2922473,1.6746589,1.8105067,0.7019166,0.0,0.0,1.0,2.8823748,5.2922473,1.7689462,0.15278223,0.93534744,0.0
53,6.137036,1.8488096,1.8313514,0.6582588,0.0,0.0,1.0,2.2219896,6.137036,0.45744112,0.15818805,0.9684423,0.0
54,5.7032557,1.7294326,1.7857245,0.63431627,0.0,0.0,1.0,1.7684258,5.557949,0.0,0.17554393,1.0746968,1.0
55,5.459255,1.7090871,2.0276723,0.7230743,0.0,0.0,1.0,1.7684258,5.459255,0.0,0.15846711,0.9701508,0.0
56,5.5429783,1.6547827,1.718911,0.6022341,0.0,0.0,1.0,1.7684258,5.1958294,0.0,0.19452393,1.1908941,1.0
57,5.5406427,1.7258649,1.7258859,0.6147331,0.0,0.0,1.0,1.4578283,5.5406427,0.0,0.13095284,0.8017058,0.0
58,6.1223927,1.7642136,1.7132639,0.41607794,0.0,0.0,1.0,1.2173018,5.7266684,0.0,0.19559225,1.1974345,1.0
59,6.5517125,1.7493422,1.731721,0.23655403,0.0,0.0,1.0,1.2173018,5.654529,0.0,0.23739135,1.4533325,1.0
60,5.6031666,1.738754,1.7898159,0.4754805,0.0,0.0,1.0,1.2173018,5.6031666,0.0,0.14539173,0.8901021,0.0
61,5.5018325,1.7178643,1.7721877,0.7048806,0.0,0.0,1.0,1.2918704,5.5018325,0.0,0.14202735,0.869505,0.0
62,5.9644103,1.8132234,1.8475696,0.62339056,0.0,0.0,1.0,1.3032937,5.9644103,0.0,0.13571772,0.8308769,0.0
63,5.7109,1.7271047,1.8030636,0.44327188,0.0,0.0,1.0,1.7396269,5.5466566,0.0,0.17716216,1.0846037,1.0
64,6.328919,1.8131061,1.7918411,0.29365274,0.0,0.0,1.0,1.7396269,5.9638414,0.0,0.19191147,1.1749004,1.0
65,5.9679065,1.8139441,1.8004395,0.64708495,0.0,0.0,1.0,1.7396269,5.9679065,0.0,0.15183707,0.929561,0.0
66,5.734771,1.7658838,1.720072,0.53177124,0.0,0.0,1.0,1.7396269,5.734771,0.0,0.1619529,0.99149114,0.0
67,5.636318,1.7455881,1.7101054,0.60990983,0.0,0.0,1.0,1.7396269,5.636318,0.0,0.15302347,0.9368243,0.0
68,5.496292,1.7167221,1.7828362,0.63843185,0.0,0.0,1.0,1.7913544,5.496292,0.0,0.09983596,0.61120534,0.0
69,5.073686,1.6296031,1.733161,0.6774154,0.0,0.0,1.0,2.2065892,5.073686,0.42685637,0.123468146,0.7558838,0.0
70,4.8375626,1.580927,1.7822037,0.7311755,0.0,0.0,1.0,1.9071453,4.8375626,0.0,0.12921858,0.7910885,0.0
71,4.9179597,1.5975006,1.5540153,0.5939422,0.0,0.0,1.0,2.570368,4.9179597,1.1493102,0.093446486,0.5720883,0.0
72,4.9020357,1.5942179,1.6446897,0.74919677,0.0,0.0,1.0,2.01076,4.9020357,0.037945542,0.10879585,0.6660586,0.0
73,4.200189,1.4495343,1.7097095,0.73629725,0.0,0.0,1.0,2.3039453,4.200189,0.6202026,0.15404572,0.94308263,0.0
74,4.2084537,1.451238,1.5129253,0.6189783,0.0,0.0,1.0,3.3560457,4.2084537,2.7096424,0.1488035,0.9109893,0.0
75,4.3886037,1.3667223,1.3369522,0.5918658,0.0,0.0,1.0,3.3560457,3.7984762,2.7096424,0.23584785,1.4438831,1.0
76,3.9894876,1.4049255,1.3857683,0.7114268,0.0,0.0,1.0,3.3560457,3.983796,2.7096424,0.16400953,1.004082,1.0
77,3.7401216,1.3546927,1.3319445,0.60711235,0.0,0.0,1.0,3.3560457,3.7401216,2.7096424,0.15733391,0.96321326,0.0
78,2.9164526,1.1848958,1.1706724,0.6172644,0.0,0.0,1.0,3.3989072,2.9164526,2.794764,0.15954547,0.97675264,0.0
